window_id,source_path,source_sha256,decode_status,decoded_frames_in_window,metadata_fps,metadata_total_frames,frame_shapes,first_timestamp_seconds,last_in_window_timestamp_seconds,boundary_timestamp_seconds,monotonic_backend_timestamps,max_timestamp_step_seconds,max_error_if_index_divided_by_8_7_seconds,issues,calibration_compatibility,visual_modality_review,runner_uses_reference_counts
jiufu_8db6ed7f9c3ad8_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092004-677.MP4,afbf6151458a4281eaeccbf9aee28873cea0550d29d55d72d4dc652f65df3223,PASS,264,8.755088568599406,1061.0,"[[1440, 1080, 3]]",0.0,29.89166666666667,30.083333333333336,True,0.23166666666666735,0.3408045977011511,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_8a93efdf555173_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092254-844.MP4,5f9403a440abf2ff4d0c513733dbeb0d94b007c0eb1f1d8f27fa274777e7ca28,PASS,261,8.720837540521869,1094.0,"[[1440, 1080, 3]]",0.0,29.93166666666667,30.12666666666667,True,0.43666666666666654,0.3168965517241378,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_75a484b3f5253b_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092746-1425.MP4,6cf212a381b0171be8395030ed351e77854b336fa0518b75c26f2e1064ef6acd,PASS,263,8.677776962043902,394.0,"[[1440, 1080, 3]]",0.0,29.973333333333336,30.088333333333335,True,0.3033333333333333,0.295402298850572,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_35f0adf19ed368_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092858-622.MP4,394d240144ce4e0c06f7cd041bbea61ff849671ef3d7247f9f4dd10968cb7509,PASS,265,8.755425845543028,985.0,"[[1440, 1080, 3]]",0.0,29.988333333333337,30.103333333333335,True,0.23999999999999844,0.3567241379310353,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_7045c3900be0cc_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T093120-921.MP4,f10892e9a2958a51389454ec6c7eadfaa3882a218c8c3a7dad8e1eaacaa8b045,REVIEW,243,8.557055505682685,842.0,"[[1440, 1080, 3]]",0.0,29.89666666666667,30.028333333333336,True,2.5249999999999986,2.2191954022988476,timestamp_gap_over_0.5_seconds_requires_review,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_21e342957e0fd7_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094111-1420.MP4,0828e96939e139966ec7df7ecdfa56695278c282cb7046100bc22b2b7578ccf6,PASS,263,8.747341287169158,1035.0,"[[1440, 1080, 3]]",0.0,29.866666666666667,30.018333333333334,True,0.3200000000000003,0.3391379310344824,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_36ee658c295629_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094529-1469.MP4,f066ce57d6ebbc0f16ff4d05c97f669c2742969819f4f01d0faefc278e6521f2,REVIEW,243,8.58665858596989,1039.0,"[[1440, 1080, 3]]",0.0,29.991666666666667,30.068333333333335,True,2.518333333333331,2.3460344827586184,timestamp_gap_over_0.5_seconds_requires_review,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_c92bd308748a09_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094758-A1021154.MP4,a0e7a4660e4115799d52a352c02cc825bb72209ecd243554dd08e89332f691e9,PASS,264,8.60407433009393,1058.0,"[[1440, 1080, 3]]",0.0,29.928333333333335,30.095000000000002,True,0.26666666666666217,0.3369540229885075,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_551d99f2e9c264_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095041-1241.MP4,2d06dcb0ec015bd99fad2dcd75a599fd9ed3d0c3e7572e9df0eafbbf273798df,PASS,264,8.562392091552201,934.0,"[[1440, 1080, 3]]",0.0,29.945,30.013333333333335,True,0.28500000000000014,0.3368390804597716,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_c95ae69597cc50_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095351-1279.MP4,494c972b666398509a34919e716c251d21b7a38d3e1d6eda9c96fedb91e0c7b5,PASS,264,8.530399371293848,796.0,"[[1440, 1080, 3]]",0.0,29.936666666666667,30.048333333333336,True,0.27333333333333343,0.37580459770115127,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_94796ccea127be_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095542-989.MP4,b1dfe6938828378d182dc18b596ebc8ab4b1657186770ee420311ff9c8f1bd46,PASS,264,8.731280022605256,515.0,"[[1440, 1080, 3]]",0.0,29.991666666666667,30.10166666666667,True,0.3250000000000002,0.32844827586206904,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_56e83ecf9a14bb_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095754-1574.MP4,7a56f836ca145be3070b1e7fce0680866516d0759cf02ee238db49d9fcfb5775,REVIEW,245,8.296424327535918,384.0,"[[1440, 1080, 3]]",0.0,29.96166666666667,30.061666666666667,True,2.333333333333334,2.1806321839080463,timestamp_gap_over_0.5_seconds_requires_review,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_3cbd345626f05c_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100519-161.MP4,ae96fd3579eed742e763dc102594f8d45c399449dbb8c8776b8c01e74bd6f2d8,PASS,263,8.750483558994198,754.0,"[[1440, 1080, 3]]",0.0,29.831666666666667,30.008333333333336,True,0.2766666666666655,0.3584482758620702,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_3ac83315834f77_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100915-713.MP4,f1988dc6e78716128e2a929234f01793494ef096ec9669774ff5181f678be7a1,PASS,264,8.624502432551969,1235.0,"[[1440, 1080, 3]]",0.0,29.92,30.045,True,0.3433333333333333,0.35327586206896555,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_c68c62cb67dede_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101454-623.MP4,7067ef15d912539fb33e3e9ef74a652f2f97e2a18069d7c133ecf682960605dd,PASS,264,8.564104187106372,902.0,"[[1440, 1080, 3]]",0.0,29.978333333333335,30.078333333333337,True,0.23000000000000043,0.35005747126437115,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_3721f7cf5a844c_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101712-653.MP4,e1ab3b0064edcaaedf8b119260d149dfcd108d19d22d244d216cc097bf3dc3ab,PASS,264,8.750930158392686,686.0,"[[1440, 1080, 3]]",0.0,29.98166666666667,30.081666666666667,True,0.22666666666666657,0.3519540229885081,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_65b745e540b8c7_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101932-281.MP4,4c8d9c04dc56f3188e487fb12f415f52c6c98f4f0e2fc7e4bcdd4223028f92c5,PASS,264,8.725089046539695,494.0,"[[1440, 1080, 3]]",0.0,29.998333333333335,30.098333333333336,True,0.28,0.3201149425287362,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_2e919f7b4ce7d4_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102206-353.MP4,dee598461d22c14bbf763b0a5d8f4de1f50133bdd716f9aeac3cfeecf00fbde0,PASS,264,8.761024440452886,1447.0,"[[1440, 1080, 3]]",0.0,29.96666666666667,30.068333333333335,True,0.27333333333333343,0.33764367816091934,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_f7266533e3399d_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102521-558.MP4,726f02390a5697d766a305a226195ac5276b7ff995ad0902753ed2f2132fd134,PASS,264,8.672343109429201,275.0,"[[1440, 1080, 3]]",0.0,29.97666666666667,30.075000000000003,True,0.2716666666666665,0.34850574712643834,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_943fc8675c704c_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102849-347.MP4,a0b60995fc1672c81c7f7454626e6bfd7aaa273d8c4df7df56732ac8deb1ae10,REVIEW,245,8.56980345067307,904.0,"[[1440, 1080, 3]]",0.0,29.978333333333335,30.103333333333335,True,2.448333333333334,2.1622413793103448,timestamp_gap_over_0.5_seconds_requires_review,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_bd77cfa7950eaa_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133223-743.MP4,e46c40d45c574c6a60220be3039e659128d482eba742802872575b6c1441fdd6,PASS,260,8.705518308406395,844.0,"[[1440, 1080, 3]]",0.0,29.98166666666667,30.15666666666667,True,0.22333333333333272,0.3114942528735618,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_2aaced556ff39d_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133413-957.MP4,999a7a0653e9603aed4e24fc3bbefa39eb59ffb2deb413d7e2dd1346f188c196,REVIEW,245,8.476839811625782,603.0,"[[1440, 1080, 3]]",0.0,29.953333333333337,30.081666666666667,True,2.3566666666666674,2.163505747126438,timestamp_gap_over_0.5_seconds_requires_review,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_90ed4ac916a295_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133635-179.MP4,d0ff392a646cecbed45c68741d7e4181f691454cd51adaa5afed13481baee6f4,PASS,264,8.537895059834305,742.0,"[[1440, 1080, 3]]",0.0,29.921666666666667,30.075000000000003,True,0.24166666666666714,0.33241379310344854,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_cd5eea76388f30_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133817-728.MP4,f57dd81d00358adfd5382f992ebf74e67fa3f481fbd0959effe2d3b4991e7cd5,PASS,264,8.736304914171514,408.0,"[[1440, 1080, 3]]",0.0,29.925,30.00166666666667,True,0.3766666666666669,0.350459770114945,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_6cbcb0311b3ebf_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134035-956.MP4,fd65cc31cf09f54d7139ed94b4891a70120ba901fb1f28f8986b27e35827660f,PASS,265,8.752039976314611,1010.0,"[[1440, 1080, 3]]",0.0,29.991666666666667,30.158333333333335,True,0.21666666666666634,0.35327586206896555,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_4f7144680fca9d_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134435-583.MP4,669d0f1fdbb08315f1d5f6d28184f079b0748106c62f52bf30e8bfe4712dc1d7,REVIEW,246,8.620058565153734,1099.0,"[[1440, 1080, 3]]",0.0,29.998333333333335,30.158333333333335,True,2.4299999999999997,2.123850574712643,timestamp_gap_over_0.5_seconds_requires_review,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_6a641dd078f572_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134713-753.MP4,6f026c4a5d68839b20f46bd7a6ecc136f9444d76497ab1e26d694e912057f43e,PASS,264,8.606120854931477,1010.0,"[[1440, 1080, 3]]",0.0,29.945,30.055000000000003,True,0.25333333333333385,0.31833333333333513,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_edd9eebe6de991_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134930-943.MP4,ec6dd3673e5e9a4c7f5141a8e8e45194a80ae0d8ca73fa08f8ad56180ceba3df,PASS,263,8.73226663211764,674.0,"[[1440, 1080, 3]]",0.0,29.92666666666667,30.060000000000002,True,0.42666666666666675,0.27373563218391084,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_58c38973aff558_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135104-771.MP4,02638e8059e5e914bee1cd0acc292e9f73251028e66fed2b8d8e7f8706f36ade,PASS,264,8.752488190379987,491.0,"[[1440, 1080, 3]]",0.0,29.883333333333336,30.07166666666667,True,0.28666666666666707,0.34655172413793167,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_665326590feedb_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135221-447.MP4,927f93651fa4f25b112ff4139a645e7b556ceb5fa08d14f04ad28aa5cb9225d9,PASS,264,8.615103114397895,1130.0,"[[1440, 1080, 3]]",0.0,29.971666666666668,30.19,True,0.23333333333333428,0.2582183908046005,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_053d6bd561c20b_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135554-1838.MP4,0b95b167d71443c9113f97dfe62f5b423f5067160b753b98a9f1c9f10fe245c1,REVIEW,244,8.435307152529854,571.0,"[[1440, 1080, 3]]",0.0,29.958333333333336,30.096666666666668,True,2.503333333333334,2.299827586206897,timestamp_gap_over_0.5_seconds_requires_review,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_9a14e05c1c184c_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135926-728.MP4,0bf58d721146d33a7e8e3f06692274a5ae00ac19e123e8432295126a1624bf4e,REVIEW,242,8.231127679403542,368.0,"[[1440, 1080, 3]]",0.0,29.80666666666667,30.025000000000002,True,2.508333333333333,2.299655172413793,timestamp_gap_over_0.5_seconds_requires_review,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_124bf365605cd6_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140349-1299.MP4,c840fcba0e8f4ba80ec558a0c4b74c7d6f335afdfbf6ae52b22c5775dcd52cfa,PASS,263,8.751768033946252,825.0,"[[1440, 1080, 3]]",0.0,29.951666666666668,30.05666666666667,True,0.21000000000000085,0.24931034482758818,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_cc565ea0bfa396_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140619-1246.MP4,d0f7e0e01f838d0f51f7588091bb2d2715e015746080c08605c6e52f12a5d25e,PASS,264,8.743458965357355,440.0,"[[1440, 1080, 3]]",0.0,29.943333333333335,30.123333333333335,True,0.21999999999999975,0.3129310344827587,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_0a14da4ad52431_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T142101-1134.MP4,dceaba2d9d0ae52eb41344ef1683a56c0e66c5004605432814b595bd6240d440,PASS,264,8.742940807362476,627.0,"[[1440, 1080, 3]]",0.0,29.93166666666667,30.14666666666667,True,0.41500000000000004,0.3422988505747142,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_abada3dda3e8b7_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T080938-846.MP4,4a6d75ab782108e66deddf452de98a8be66aa74d3a5af268e78a34b877fff75e,PASS,265,8.574250905498847,868.0,"[[1440, 1080, 3]]",0.0,29.83666666666667,30.041666666666668,True,0.2816666666666663,0.5081609195402308,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_0ef3b83bc00130_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081221-1428.MP4,b03751e8c05bf5b717477fb154425b7b8a87f30193b16039afa67e9e876a03e6,PASS,264,8.57310275403038,951.0,"[[1440, 1080, 3]]",0.0,29.983333333333334,30.05666666666667,True,0.26166666666666316,0.3316091954023008,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_6d14fba7168351_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081505A1021142.MP4,9b20906cd1e9432dce57976705fe9b2315ab8c20b5d5e6d872ebf29de64c2870,PASS,264,8.738059551240465,651.0,"[[1440, 1080, 3]]",0.0,29.978333333333335,30.081666666666667,True,0.30499999999999994,0.32310344827586235,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_c5ff3e35124405_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081638-1408.MP4,fded0a5d1b2b0854abede125ea300268b77e71a204a3211707c6c3e0c45bf1d4,REVIEW,244,8.52216568437237,776.0,"[[1440, 1080, 3]]",0.0,29.94166666666667,30.008333333333336,True,2.3983333333333334,2.1673563218390797,timestamp_gap_over_0.5_seconds_requires_review,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_a6ed80c55f7be6_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081830-1436.MP4,9eb1ac6f8918e3abbfa28e77ab90ad76ee755d6489d1c8d6d82a477c2b84108a,PASS,264,8.736407949006374,699.0,"[[1440, 1080, 3]]",0.0,29.986666666666668,30.085,True,0.2783333333333329,0.3333908045977019,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_6fa0bbd661c8bb_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T082631-1423.MP4,e9b70e3d14894b7e3565b123fc01b8f1865d105632206ed5be6b85b2f26e8a45,PASS,263,8.682406702208683,304.0,"[[1440, 1080, 3]]",0.0,29.865000000000002,30.073333333333334,True,0.2483333333333333,0.25856321839080465,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_58da0349ace78c_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T082946-1601.MP4,5a0d705eb2cbbc794b961a5fa5b7d3402dac4e568a5985733e6d154188fcc291,REVIEW,243,8.530411262916985,820.0,"[[1440, 1080, 3]]",0.0,29.885,30.10666666666667,True,2.503333333333334,2.328160919540231,timestamp_gap_over_0.5_seconds_requires_review,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_9eb853207f9233_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083424-640.MP4,764b10efe23b149753f99fb2e24a4c03379e036671d89966e1b3b4c2fedb7cc9,PASS,264,8.745260374995652,419.0,"[[1440, 1080, 3]]",0.0,29.855,30.078333333333337,True,0.22333333333333627,0.37488505747126766,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_8c114c09325c47_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083719-1574.MP4,cfdadef108a4a7132fa7427f10deed8cc6383bf0f563b538aaf974060d0f43b1,PASS,263,8.575524955942532,957.0,"[[1440, 1080, 3]]",0.0,29.89166666666667,30.000000000000004,True,0.22833333333333528,0.3136206896551741,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_494e84a71f0d53_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083924-1268.MP4,87e60da87c860e23740dfbc5a8f157bca6dd32c4e15eb133b0519a2d1e36e09a,PASS,264,8.729971724787935,494.0,"[[1440, 1080, 3]]",0.0,29.958333333333336,30.081666666666667,True,0.2516666666666669,0.3372413793103455,,NOT_VERIFIED,NOT_PERFORMED,False
jiufu_ce59136a4ecc21_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T084037-1479.MP4,d0b1731a87c46a166eafe32b1f9ecfad53cd158bf02514df18bad6e51c2f3ea4,PASS,264,8.54859894921191,781.0,"[[1440, 1080, 3]]",0.0,29.953333333333337,30.063333333333336,True,0.3149999999999977,0.3633333333333333,,NOT_VERIFIED,NOT_PERFORMED,False
