window_id,source_path,source_sha256,sampling_plan_available,status,reason,source_frames,target_frames,reused_source_frames,inference_performed,predicted_count
jiufu_8a93efdf555173_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092254-844.MP4,5f9403a440abf2ff4d0c513733dbeb0d94b007c0eb1f1d8f27fa274777e7ca28,True,ready_for_signal_candidate,,261,261,24,False,
jiufu_75a484b3f5253b_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092746-1425.MP4,6cf212a381b0171be8395030ed351e77854b336fa0518b75c26f2e1064ef6acd,True,ready_for_signal_candidate,,263,261,17,False,
jiufu_35f0adf19ed368_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092858-622.MP4,394d240144ce4e0c06f7cd041bbea61ff849671ef3d7247f9f4dd10968cb7509,True,ready_for_signal_candidate,,265,261,23,False,
jiufu_7045c3900be0cc_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T093120-921.MP4,f10892e9a2958a51389454ec6c7eadfaa3882a218c8c3a7dad8e1eaacaa8b045,False,abstain,long_timestamp_gap,,,,False,
jiufu_21e342957e0fd7_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094111-1420.MP4,0828e96939e139966ec7df7ecdfa56695278c282cb7046100bc22b2b7578ccf6,True,ready_for_signal_candidate,,263,261,23,False,
jiufu_36ee658c295629_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094529-1469.MP4,f066ce57d6ebbc0f16ff4d05c97f669c2742969819f4f01d0faefc278e6521f2,False,abstain,long_timestamp_gap,,,,False,
jiufu_c92bd308748a09_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094758-A1021154.MP4,a0e7a4660e4115799d52a352c02cc825bb72209ecd243554dd08e89332f691e9,True,ready_for_signal_candidate,,264,261,23,False,
jiufu_551d99f2e9c264_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095041-1241.MP4,2d06dcb0ec015bd99fad2dcd75a599fd9ed3d0c3e7572e9df0eafbbf273798df,True,ready_for_signal_candidate,,264,261,16,False,
jiufu_c95ae69597cc50_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095351-1279.MP4,494c972b666398509a34919e716c251d21b7a38d3e1d6eda9c96fedb91e0c7b5,True,ready_for_signal_candidate,,264,261,23,False,
jiufu_94796ccea127be_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095542-989.MP4,b1dfe6938828378d182dc18b596ebc8ab4b1657186770ee420311ff9c8f1bd46,True,ready_for_signal_candidate,,264,261,19,False,
jiufu_56e83ecf9a14bb_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095754-1574.MP4,7a56f836ca145be3070b1e7fce0680866516d0759cf02ee238db49d9fcfb5775,False,abstain,long_timestamp_gap,,,,False,
jiufu_3cbd345626f05c_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100519-161.MP4,ae96fd3579eed742e763dc102594f8d45c399449dbb8c8776b8c01e74bd6f2d8,True,ready_for_signal_candidate,,263,261,23,False,
jiufu_3ac83315834f77_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100915-713.MP4,f1988dc6e78716128e2a929234f01793494ef096ec9669774ff5181f678be7a1,True,ready_for_signal_candidate,,264,261,15,False,
jiufu_c68c62cb67dede_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101454-623.MP4,7067ef15d912539fb33e3e9ef74a652f2f97e2a18069d7c133ecf682960605dd,True,ready_for_signal_candidate,,264,261,21,False,
jiufu_3721f7cf5a844c_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101712-653.MP4,e1ab3b0064edcaaedf8b119260d149dfcd108d19d22d244d216cc097bf3dc3ab,True,ready_for_signal_candidate,,264,261,22,False,
jiufu_65b745e540b8c7_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101932-281.MP4,4c8d9c04dc56f3188e487fb12f415f52c6c98f4f0e2fc7e4bcdd4223028f92c5,True,ready_for_signal_candidate,,264,261,21,False,
jiufu_2e919f7b4ce7d4_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102206-353.MP4,dee598461d22c14bbf763b0a5d8f4de1f50133bdd716f9aeac3cfeecf00fbde0,True,ready_for_signal_candidate,,264,261,21,False,
jiufu_f7266533e3399d_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102521-558.MP4,726f02390a5697d766a305a226195ac5276b7ff995ad0902753ed2f2132fd134,True,ready_for_signal_candidate,,264,261,15,False,
jiufu_943fc8675c704c_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102849-347.MP4,a0b60995fc1672c81c7f7454626e6bfd7aaa273d8c4df7df56732ac8deb1ae10,False,abstain,long_timestamp_gap,,,,False,
jiufu_bd77cfa7950eaa_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133223-743.MP4,e46c40d45c574c6a60220be3039e659128d482eba742802872575b6c1441fdd6,True,ready_for_signal_candidate,,260,261,17,False,
jiufu_2aaced556ff39d_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133413-957.MP4,999a7a0653e9603aed4e24fc3bbefa39eb59ffb2deb413d7e2dd1346f188c196,False,abstain,long_timestamp_gap,,,,False,
jiufu_90ed4ac916a295_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133635-179.MP4,d0ff392a646cecbed45c68741d7e4181f691454cd51adaa5afed13481baee6f4,True,ready_for_signal_candidate,,264,261,10,False,
jiufu_cd5eea76388f30_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133817-728.MP4,f57dd81d00358adfd5382f992ebf74e67fa3f481fbd0959effe2d3b4991e7cd5,True,ready_for_signal_candidate,,264,261,22,False,
jiufu_6cbcb0311b3ebf_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134035-956.MP4,fd65cc31cf09f54d7139ed94b4891a70120ba901fb1f28f8986b27e35827660f,True,ready_for_signal_candidate,,265,261,12,False,
jiufu_4f7144680fca9d_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134435-583.MP4,669d0f1fdbb08315f1d5f6d28184f079b0748106c62f52bf30e8bfe4712dc1d7,False,abstain,long_timestamp_gap,,,,False,
jiufu_6a641dd078f572_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134713-753.MP4,6f026c4a5d68839b20f46bd7a6ecc136f9444d76497ab1e26d694e912057f43e,True,ready_for_signal_candidate,,264,261,12,False,
jiufu_edd9eebe6de991_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134930-943.MP4,ec6dd3673e5e9a4c7f5141a8e8e45194a80ae0d8ca73fa08f8ad56180ceba3df,True,ready_for_signal_candidate,,263,261,27,False,
jiufu_58c38973aff558_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135104-771.MP4,02638e8059e5e914bee1cd0acc292e9f73251028e66fed2b8d8e7f8706f36ade,True,ready_for_signal_candidate,,264,261,22,False,
jiufu_665326590feedb_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135221-447.MP4,927f93651fa4f25b112ff4139a645e7b556ceb5fa08d14f04ad28aa5cb9225d9,True,ready_for_signal_candidate,,264,261,21,False,
jiufu_053d6bd561c20b_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135554-1838.MP4,0b95b167d71443c9113f97dfe62f5b423f5067160b753b98a9f1c9f10fe245c1,False,abstain,long_timestamp_gap,,,,False,
jiufu_9a14e05c1c184c_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135926-728.MP4,0bf58d721146d33a7e8e3f06692274a5ae00ac19e123e8432295126a1624bf4e,False,abstain,long_timestamp_gap,,,,False,
jiufu_124bf365605cd6_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140349-1299.MP4,c840fcba0e8f4ba80ec558a0c4b74c7d6f335afdfbf6ae52b22c5775dcd52cfa,True,ready_for_signal_candidate,,263,261,8,False,
jiufu_cc565ea0bfa396_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140619-1246.MP4,d0f7e0e01f838d0f51f7588091bb2d2715e015746080c08605c6e52f12a5d25e,True,ready_for_signal_candidate,,264,261,9,False,
jiufu_0a14da4ad52431_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T142101-1134.MP4,dceaba2d9d0ae52eb41344ef1683a56c0e66c5004605432814b595bd6240d440,True,ready_for_signal_candidate,,264,261,18,False,
jiufu_abada3dda3e8b7_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T080938-846.MP4,4a6d75ab782108e66deddf452de98a8be66aa74d3a5af268e78a34b877fff75e,True,ready_for_signal_candidate,,265,261,19,False,
jiufu_0ef3b83bc00130_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081221-1428.MP4,b03751e8c05bf5b717477fb154425b7b8a87f30193b16039afa67e9e876a03e6,True,ready_for_signal_candidate,,264,261,19,False,
jiufu_6d14fba7168351_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081505A1021142.MP4,9b20906cd1e9432dce57976705fe9b2315ab8c20b5d5e6d872ebf29de64c2870,True,ready_for_signal_candidate,,264,261,16,False,
jiufu_c5ff3e35124405_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081638-1408.MP4,fded0a5d1b2b0854abede125ea300268b77e71a204a3211707c6c3e0c45bf1d4,False,abstain,long_timestamp_gap,,,,False,
jiufu_a6ed80c55f7be6_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081830-1436.MP4,9eb1ac6f8918e3abbfa28e77ab90ad76ee755d6489d1c8d6d82a477c2b84108a,True,ready_for_signal_candidate,,264,261,15,False,
jiufu_6fa0bbd661c8bb_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T082631-1423.MP4,e9b70e3d14894b7e3565b123fc01b8f1865d105632206ed5be6b85b2f26e8a45,True,ready_for_signal_candidate,,263,261,12,False,
jiufu_58da0349ace78c_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T082946-1601.MP4,5a0d705eb2cbbc794b961a5fa5b7d3402dac4e568a5985733e6d154188fcc291,False,abstain,long_timestamp_gap,,,,False,
jiufu_9eb853207f9233_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083424-640.MP4,764b10efe23b149753f99fb2e24a4c03379e036671d89966e1b3b4c2fedb7cc9,True,ready_for_signal_candidate,,264,261,20,False,
jiufu_8c114c09325c47_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083719-1574.MP4,cfdadef108a4a7132fa7427f10deed8cc6383bf0f563b538aaf974060d0f43b1,True,ready_for_signal_candidate,,263,261,22,False,
jiufu_494e84a71f0d53_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083924-1268.MP4,87e60da87c860e23740dfbc5a8f157bca6dd32c4e15eb133b0519a2d1e36e09a,True,ready_for_signal_candidate,,264,261,17,False,
jiufu_ce59136a4ecc21_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T084037-1479.MP4,d0b1731a87c46a166eafe32b1f9ecfad53cd158bf02514df18bad6e51c2f3ea4,True,ready_for_signal_candidate,,264,261,24,False,
jiufu_8953d49083882b_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T084011-1150.MP4,deec34ecb4b34bd8d3207f5193803af77e445fe9de4a248aa5d4c18649bf8f83,True,ready_for_signal_candidate,,264,261,14,False,
jiufu_5eaab17afa3dcc_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T084144-1644.MP4,8f63c3a4d9b08b03b3205442402c7189442d2af287d7a27895107ed51f939de5,True,ready_for_signal_candidate,,263,261,18,False,
jiufu_577eb87b4ec0fa_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T090832-1442.MP4,7b88d383d450abead5797bcd87aa324de5891f8aeda03a13dc5e726fc73e5893,True,ready_for_signal_candidate,,264,261,18,False,
jiufu_ac7d209f2a6aec_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T091037-214.MP4,e777f2fba5b2e04dbbbba64f9193c91619df55af1084833fda62dd806e2fc8ee,True,ready_for_signal_candidate,,263,261,25,False,
jiufu_f0f7415c6e495e_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105437-1308.MP4,5dc86fc6a2965e384a7aa138d910c94f38bd8715aa33cf30f4c027ee353c8595,False,abstain,long_timestamp_gap,,,,False,
jiufu_45e262858c1edf_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105821-1146.MP4,bd4537a71dfabd161ba17481a42cd4cd24aa4a076e31eae716cf21d83fda60ed,True,ready_for_signal_candidate,,264,261,17,False,
jiufu_59f7f9462f2c30_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105955-165.MP4,7b6e596f819af37c2fd00445dfbb589b4fec61867d2365aff4bd1ada625c8233,True,ready_for_signal_candidate,,264,261,19,False,
jiufu_1f327de387886e_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T110201-1371.MP4,06664a68e006934edd8cdb2cd633e1050494858be433311c778e726a7e6011f8,True,ready_for_signal_candidate,,264,261,18,False,
jiufu_6454a9e613172b_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T110405-A1022182.MP4,14c393db9294fb279c0cd14c96d67f21232598beeef31560e01c13bdfef7093b,True,ready_for_signal_candidate,,263,261,20,False,
jiufu_6328167f32f25e_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T114908-1371.MP4,c2632ec86124126fa4261f41c0e0f5dabfba1920d1bc13ea30237eaf4ee22962,False,abstain,long_timestamp_gap,,,,False,
jiufu_80fa8dbe195b66_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115158-353.MP4,8aba69a8e117a98f20977364dd765a409573c765f43eda42ca2ddf4c2d84a186,True,ready_for_signal_candidate,,264,261,19,False,
jiufu_012d9efb7d8d4c_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115451-1213.MP4,144aac92b2e81698882897c357ad5f123879b7ff6a9fb7e87c0c91ff18f5cdcd,True,ready_for_signal_candidate,,264,261,14,False,
jiufu_ce6835d13f136d_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115945-1414.MP4,5638b582a3450d6cace8f358cb13772c37300668a4dddfb3f1b15dc30b06ea42,False,abstain,long_timestamp_gap,,,,False,
jiufu_5623dc263f1364_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120407-872.MP4,df51519b0d4f44182b08fcea13d31fdbd026474ed0d1f5ac5d2c5922e62d797e,True,ready_for_signal_candidate,,263,261,20,False,
jiufu_8254fd394c755d_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120953-1180.MP4,248eb5674e40a8f80d4dcc321dd1312c073c87f027b295b81e9cdaf28ac0cc86,True,ready_for_signal_candidate,,264,261,14,False,
jiufu_33ff2c90bde0a7_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121220-872.MP4,d9a86658c1508f64adc9f76ca5e2f87e556d8b31a8279d3005601a3d02c4f831,True,ready_for_signal_candidate,,263,261,20,False,
jiufu_c37db5cf8c7d4e_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121453-1165.MP4,164a702742ae6ff85617eb2255567fcc88cbfac43e9a47b23e1ca404e89a9f9f,True,ready_for_signal_candidate,,264,261,18,False,
jiufu_3f44e994a4ccb7_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T122439-1145.MP4,b9baf33f308c0414b3ea22cfbf4bd5b0c67f536ac579ad195b783b11a433dca8,False,abstain,long_timestamp_gap,,,,False,
jiufu_58a951a34f7249_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085430-A1022182.MP4,4ec1444af3b70ab3f8f18e4555a417e78d4635642d7f61e41e2d2c5f2bd49520,False,abstain,long_timestamp_gap,,,,False,
jiufu_8ac17622997976_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085718-1408.MP4,a5f4414b202f6745c8a997aa75bf36af3df0b1582655464c720adce6ea23538d,True,ready_for_signal_candidate,,264,261,20,False,
jiufu_ee2427b1f91c14_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085932-1428.MP4,ed70cd9cabe7f3ac524441246add637148d7ffdaaa207a952958e5a42077b948,True,ready_for_signal_candidate,,263,261,16,False,
jiufu_d40d50640e24a1_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090206-165.MP4,78d9c04a6dc43045a5ca140e078cbae366037b02d0c7cbfca696ae652fe4206d,True,ready_for_signal_candidate,,263,261,22,False,
jiufu_e20abde4e3a043_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090617-1422.MP4,3042fef9ca648146469ceb9ff34be600529fae9a46d622d5c052694ffea401bb,True,ready_for_signal_candidate,,264,261,17,False,
jiufu_6c914b8beaa069_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090931-1308.MP4,83c58869665e06e28b574e4b3883be9fd17217b448a466656d69b0f2cfe66242,True,ready_for_signal_candidate,,265,261,19,False,
jiufu_fffa829b4cfc5f_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091121-878.MP4,1f43a24a6032b7b1c4ca04f17694a378872966eeeac431152ffe315ce4310834,True,ready_for_signal_candidate,,264,261,19,False,
jiufu_39742bec07007b_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091233-1146.MP4,61708b88e52e7d3638209763cf893bf1a1c505d0eec9c76226b6ba864a443de5,True,ready_for_signal_candidate,,264,261,18,False,
jiufu_a7f96cc7661e4a_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091500-1371.MP4,1097ed961e852118c1a2dad444f3650239cd775dca0b9e0be09fb3d4aabcc38b,True,ready_for_signal_candidate,,264,261,24,False,
jiufu_cae153a2ef6cb6_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091834-1630.MP4,602d6d991851a5ee8036eae9af9a5fb8bdc2727428a6d54320168218a8c35110,True,ready_for_signal_candidate,,263,261,22,False,
jiufu_f5a7ada186a785_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T092133-281.MP4,1b83b3a680b6c41f31e65ead2429ccb8a5c81bb8ad27c9bec712917ccb12e9fa,True,ready_for_signal_candidate,,264,261,17,False,
jiufu_8f2aab0fc1ae4b_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T092359-347.MP4,8db9ed12d06e30bf493e328ca3391382c8f335e5cd7d3db34d55942fad1f2068,True,ready_for_signal_candidate,,263,261,19,False,
jiufu_b230c11bab398b_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T093138-1078.MP4,41d2f8c61a1cf3e608fc1de8540ded41afaa64661b13abf39582234bcbabf646,False,abstain,long_timestamp_gap,,,,False,
jiufu_05aaedc28c6708_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T093355-161.MP4,2b6d55bae13adb97b891d46b236e6ebebb1f7714ff75d6c28dccefa3afaa17f3,True,ready_for_signal_candidate,,264,261,19,False,
jiufu_0d1522aef374ec_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T085035-A1022205.MP4,b7ac9bb12a1b50c41064b1bd1e422f2b176aa91e831e49c08d44f2a089250585,True,ready_for_signal_candidate,,264,261,13,False,
jiufu_d34b02325b217f_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T085306-1831.MP4,ed0b4b7154420ee0f95f7780a6f5f6b2a1132be0daecb308d2646f7da9383d70,False,abstain,long_timestamp_gap,,,,False,
jiufu_2cdb051142d5ab_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T085946-670.MP4,29e2dfab719a79aab089f726a04c11791e3942ca74893cc582f543e814d6b5ac,True,ready_for_signal_candidate,,264,261,17,False,
jiufu_d4707a9c23271d_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T091831-670.MP4,5e7deca3a1ffb8f61212d34ae91391f3269220f4252a24d644bab4e4342e8c90,True,ready_for_signal_candidate,,263,261,32,False,
jiufu_61a48001d2c6ac_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T091954-A1022186.MP4,ad064575fb220a51cc84101cbf318deb15d66771b64fef28c0d499adaa84309c,False,abstain,long_timestamp_gap,,,,False,
jiufu_2f0c90ece853b4_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T092219-710.MP4,cded3ab983f3e443a0bb6dc4986bf59d36a916e405f064e9b895d8c322dd08ce,True,ready_for_signal_candidate,,264,261,16,False,
jiufu_57c74728570ec9_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T092442-A1022211.MP4,0e36587d53a27550e2fe99f5fac763b265ecd31faf084ff9d478781bbbf1faf3,True,ready_for_signal_candidate,,264,261,13,False,
jiufu_2fc7ddf8f284e4_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T092718-627.MP4,dc4fd35dcbafffdfaee9c5681f064fb156b8ca381ad9aa3cd24a3a12aab6f3de,True,ready_for_signal_candidate,,264,261,12,False,
jiufu_a04e9f770a2bb9_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T093041-606.MP4,3af8e3f457be218332c68383bdda5ce85ff828dcb09f3c01dd6185008d654e25,True,ready_for_signal_candidate,,264,261,15,False,
jiufu_333df78fe49441_first30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T093303-878.MP4,83870099a9e924c15cadf97e1692df31d1ab071af60517688c5c7a376fedf9bd,True,ready_for_signal_candidate,,264,261,21,False,
