window_id,prediction_status,tp,fp,fn,predicted_count,truth_count,mean_matched_time_error_seconds
jiufu_aed96a8cd6dde3_first30,ok,2,7,9,9,11,0.09733333333333682
jiufu_d57a389e370ce5_first30,ok,15,5,5,20,20,0.13972720306513348
jiufu_b79d91910dc17a_first30,ok,2,7,11,9,13,0.12456896551724195
jiufu_d31bd7d7642ce6_first30,abstain,0,0,11,,11,
jiufu_73db0107967f0e_first30,abstain,0,0,5,,5,
jiufu_8db6ed7f9c3ad8_first30,ok,7,9,5,16,12,0.15891954022988605
jiufu_75a484b3f5253b_first30,ok,5,5,2,10,7,0.19971954022988525
jiufu_35f0adf19ed368_first30,ok,16,5,4,21,20,0.1227787356321839
jiufu_7045c3900be0cc_first30,abstain,0,0,9,,9,
jiufu_21e342957e0fd7_first30,ok,22,0,2,22,24,0.12849947753396126
jiufu_36ee658c295629_first30,abstain,0,0,13,,13,
jiufu_c92bd308748a09_first30,ok,8,7,9,15,17,0.145665229885057
jiufu_551d99f2e9c264_first30,ok,4,8,11,12,15,0.08935344827586233
jiufu_c95ae69597cc50_first30,ok,8,2,5,10,13,0.2001293103448268
jiufu_94796ccea127be_first30,ok,9,5,4,14,13,0.10648659003831473
jiufu_56e83ecf9a14bb_first30,abstain,0,0,14,,14,
jiufu_3ac83315834f77_first30,ok,1,6,6,7,7,0.14379310344827445
jiufu_c68c62cb67dede_first30,ok,3,10,7,13,10,0.16096168582375356
jiufu_3721f7cf5a844c_first30,ok,5,1,1,6,6,0.16002988505747018
jiufu_65b745e540b8c7_first30,ok,7,5,4,12,11,0.16726436781609152
jiufu_2e919f7b4ce7d4_first30,ok,0,0,18,0,18,
jiufu_f7266533e3399d_first30,ok,15,2,2,17,17,0.1104045977011509
jiufu_943fc8675c704c_first30,abstain,0,0,9,,9,
jiufu_bd77cfa7950eaa_first30,ok,7,8,8,15,15,0.173929392446633
jiufu_2aaced556ff39d_first30,abstain,0,0,8,,8,
jiufu_90ed4ac916a295_first30,ok,2,2,20,4,22,0.27216091954022903
jiufu_cd5eea76388f30_first30,ok,6,5,8,11,14,0.1495172413793108
jiufu_6cbcb0311b3ebf_first30,ok,7,10,7,17,14,0.15402463054187074
jiufu_4f7144680fca9d_first30,abstain,0,0,18,,18,
jiufu_6a641dd078f572_first30,ok,10,7,10,17,20,0.12456436781609166
jiufu_edd9eebe6de991_first30,ok,11,9,8,20,19,0.15078787878787717
jiufu_58c38973aff558_first30,ok,6,8,4,14,10,0.17549425287356288
jiufu_665326590feedb_first30,ok,3,5,13,8,16,0.08860919540229872
jiufu_053d6bd561c20b_first30,abstain,0,0,15,,15,
jiufu_9a14e05c1c184c_first30,abstain,0,0,14,,14,
jiufu_124bf365605cd6_first30,ok,7,3,10,10,17,0.10957307060755406
jiufu_cc565ea0bfa396_first30,ok,9,8,6,17,15,0.1673269476372915
jiufu_0a14da4ad52431_first30,ok,9,8,9,17,18,0.16720689655172333
jiufu_abada3dda3e8b7_first30,ok,12,4,6,16,18,0.10157471264367814
jiufu_0ef3b83bc00130_first30,ok,9,7,8,16,17,0.17137931034482698
jiufu_c5ff3e35124405_first30,abstain,0,0,10,,10,
jiufu_a6ed80c55f7be6_first30,ok,1,5,2,6,3,0.10350574712643645
jiufu_6fa0bbd661c8bb_first30,ok,10,5,9,15,19,0.16911379310344746
jiufu_9eb853207f9233_first30,ok,4,10,9,14,13,0.11765229885057527
jiufu_494e84a71f0d53_first30,ok,3,2,1,5,4,0.19692720306513353
jiufu_8953d49083882b_first30,ok,18,7,6,25,24,0.15344955300127625
jiufu_577eb87b4ec0fa_first30,ok,6,10,8,16,14,0.15825670498084224
jiufu_ac7d209f2a6aec_first30,ok,5,2,1,7,6,0.1644390804597697
jiufu_f0f7415c6e495e_first30,abstain,0,0,22,,22,
jiufu_45e262858c1edf_first30,ok,10,3,10,13,20,0.14465862068965468
jiufu_59f7f9462f2c30_first30,ok,7,10,12,17,19,0.101600985221674
jiufu_6454a9e613172b_first30,ok,20,5,3,25,23,0.12832011494252882
jiufu_6328167f32f25e_first30,abstain,0,0,13,,13,
jiufu_80fa8dbe195b66_first30,ok,14,4,8,18,22,0.12787274220032815
jiufu_012d9efb7d8d4c_first30,ok,4,6,15,10,19,0.147341954022989
jiufu_5623dc263f1364_first30,ok,8,6,4,14,12,0.10887212643678187
jiufu_8254fd394c755d_first30,ok,7,5,7,12,14,0.08638752052545166
jiufu_33ff2c90bde0a7_first30,ok,6,5,2,11,8,0.11964750957854335
jiufu_c37db5cf8c7d4e_first30,ok,3,3,4,6,7,0.14959770114942325
jiufu_3f44e994a4ccb7_first30,abstain,0,0,21,,21,
jiufu_58a951a34f7249_first30,abstain,0,0,16,,16,
jiufu_8ac17622997976_first30,ok,5,5,5,10,10,0.1535655172413802
jiufu_ee2427b1f91c14_first30,ok,8,6,6,14,14,0.15954310344827616
jiufu_d40d50640e24a1_first30,ok,23,6,6,29,29,0.1403438280859561
jiufu_e20abde4e3a043_first30,ok,14,4,7,18,21,0.1355779967159281
jiufu_fffa829b4cfc5f_first30,ok,5,6,8,11,13,0.17196781609195372
jiufu_39742bec07007b_first30,ok,7,3,13,10,20,0.07476847290640468
jiufu_a7f96cc7661e4a_first30,ok,9,5,7,14,16,0.15128480204342287
jiufu_f5a7ada186a785_first30,ok,7,11,6,18,13,0.08895894909688044
jiufu_8f2aab0fc1ae4b_first30,ok,19,11,7,30,26,0.15772595281306642
jiufu_b230c11bab398b_first30,abstain,0,0,18,,18,
jiufu_05aaedc28c6708_first30,ok,5,6,4,11,9,0.20082528735632116
jiufu_0d1522aef374ec_first30,ok,8,6,6,14,14,0.1650258620689658
jiufu_2cdb051142d5ab_first30,ok,13,1,1,14,14,0.15126702033598616
jiufu_d4707a9c23271d_first30,ok,11,3,3,14,14,0.1283375130616513
jiufu_2f0c90ece853b4_first30,ok,14,3,3,17,17,0.16466912972085332
jiufu_57c74728570ec9_first30,ok,12,6,8,18,20,0.13017145593869728
jiufu_2fc7ddf8f284e4_first30,ok,10,8,9,18,19,0.13642758620689577
jiufu_a04e9f770a2bb9_first30,ok,9,11,14,20,23,0.16655810983397273
jiufu_333df78fe49441_first30,ok,11,4,3,15,14,0.1200522466039715
jiufu_4263d1ee2b7d38_first30,ok,19,1,3,20,22,0.09907199032063002
jiufu_7cb985938d0a6a_first30,ok,2,10,10,12,12,0.2264022988505756
jiufu_7c448f9ef64639_first30,ok,8,8,7,16,15,0.14271695402298876
jiufu_bc495978774317_first30,ok,6,7,4,13,10,0.1345613026819913
jiufu_e3cef2504bbb4a_first30,ok,10,5,6,15,16,0.1382597701149422
jiufu_d7a117e86dae24_first30,ok,10,5,5,15,15,0.10995517241379264
jiufu_f339ead1fdb0ac_first30,ok,9,9,7,18,16,0.10456832694763733
jiufu_92e9f652faa64a_first30,ok,16,2,9,18,25,0.15671623563218445
jiufu_fe09caa146ddbd_first30,ok,6,7,8,13,14,0.10163218390804496
jiufu_f6c192eaf6c290_first30,ok,5,3,8,8,13,0.11910574712643789
jiufu_42e874dae20aee_first30,ok,1,6,8,7,9,0.2905977011494253
jiufu_b45e99f5e3803e_first30,ok,19,4,3,23,22,0.14998548094373898
jiufu_fbbccb98b40ed8_first30,ok,3,5,5,8,8,0.15729501915708757
jiufu_b7367092cbf12f_first30,ok,11,1,7,12,18,0.10351724137930983
jiufu_61a3c1628d9017_first30,abstain,0,0,22,,22,
jiufu_fbaed9c05fdf1a_first30,ok,6,13,6,19,12,0.15256513409961714
jiufu_09732493a874e4_first30,ok,6,15,4,21,10,0.13078735632183888
jiufu_afbc3c7536759a_first30,abstain,0,0,20,,20,
jiufu_c2f523dbca4113_first30,ok,6,10,10,16,16,0.1609176245210722
jiufu_19a4aa849045e9_first30,ok,14,4,3,18,17,0.1600377668308705
jiufu_bfba3aa9a87b7c_first30,ok,12,8,4,20,16,0.08547030651341074
jiufu_542013dcb78dc0_first30,ok,6,10,7,16,13,0.18367816091954015
jiufu_596ccaaf7a001c_first30,ok,10,4,5,14,15,0.09881379310344747
jiufu_9b4d8a24856a9f_first30,ok,3,7,3,10,6,0.11652107279693369
jiufu_a1fad2b6534006_first30,ok,9,3,9,12,18,0.1119501915708809
jiufu_1686565c1da471_first30,abstain,0,0,10,,10,
jiufu_4923eea2509695_first30,ok,14,9,7,23,21,0.11305993431855464
jiufu_ff4c4ac565e3b0_first30,ok,3,7,7,10,10,0.29255555555555396
jiufu_24afbde80aa2d4_first30,ok,5,2,2,7,7,0.16977471264367727
jiufu_6434f8ad9b4978_first30,abstain,0,0,17,,17,
jiufu_0f495ca37676e0_first30,abstain,0,0,17,,17,
jiufu_135fcf30e11031_first30,ok,13,6,3,19,16,0.12706189213085786
jiufu_21792037472910_first30,ok,4,3,2,7,6,0.05501149425287355
jiufu_fdc3b301cd9ef1_first30,ok,3,3,3,6,6,0.05062835249042178
