video_id,source_path,source_sha256,browser_video_path,browser_sha256,frames,max_timestamp_delta_seconds,max_decoded_pixel_delta
16170075,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\16170075_anchored30s.mp4,a24211a65dcded9ddff601d6dd5494720e3950fd3cd1b4283aa9206212cdbd61,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\16170075_browser_lossless.mp4,d34813d4162545cacb71abe0206c2da54d7d7d0e2c77b08e34fd01386be869a7,260,0.0,0
170272,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\170272_anchored30s.mp4,64530145abf522ca806efd9ef8e3b360811c4128eaf614516e98d1464956bbdd,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\170272_browser_lossless.mp4,14cd45a09e2d668c87730dbaef597391705a4cc8636ac059cb73294fd6ce9d94,261,3.637978807091713e-15,0
170333,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\170333_anchored30s.mp4,11ecf7668a04bb26cd6d2723499af86bc9a81c6fae0f925443ee5fe90233650e,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\170333_browser_lossless.mp4,769b9cec1009289a22644ef93bdcb13db5d5e94e95049555588fd5329befd94f,260,0.0,0
170334,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\170334_anchored30s.mp4,efe61b0af0a16776e8e60a8cbb9dc5c5366bd21e8bfd6f9dd7258179d9601142,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\170334_browser_lossless.mp4,76aff527b78ae66c322fd27e3974420473d005212d6cc1d388e81a9dfd58d6ac,258,0.0,0
177395,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\177395_anchored30s.mp4,cdebf7251ad28d6f19bcf6bb0fff064399fb21d3251484de4cabff12f239a764,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\177395_browser_lossless.mp4,4d6c6e567c1ced1354b542e311d6956d44a0c1137ed125a7632efd899ef86095,259,0.0,0
190546,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\190546_anchored30s.mp4,032f431ed5546f19036d8d9c5fe9d992d8d2e498a1aa7e5ebfaea9f5e333b152,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\190546_browser_lossless.mp4,2b115e803b6d4e62ea7235b455dbcac3fde4eba458113f1aa6e0e20fb46b5f8f,260,0.0,0
190588,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\190588_anchored30s.mp4,091709c8254971ddc4a6652db9da2cef6e88a63fd1732b290dfbd262bf8ca428,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\190588_browser_lossless.mp4,18dc737f476c94bc6d4af22590b1de5108692e36cf6f7b313a60e75aabfb7109,259,3.637978807091713e-15,0
196434,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\196434_anchored30s.mp4,5acd0bebf2ab3be8ff7cad8aea2243148a149329dadb92d127424917ec088c0d,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\196434_browser_lossless.mp4,c9914292cfd2dfd63a1a3ff3854c6d5baaec12229fa56f6d3f79d1191ac27409,258,0.0,0
200713,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\200713_anchored30s.mp4,a28e51ad2ab6dbeae198c27fead3f989f2a93b23df5d033ed45283e59404bfa5,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\200713_browser_lossless.mp4,5e832818837afdd29d2b38776fcff1f6ddb719a33ab049338e68eef8dd2080de,259,0.0,0
200718,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\200718_anchored30s.mp4,924581359a7aaf4590e1389ed8802be62b3591b605d5a6159e6ef4eed4c3301e,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\200718_browser_lossless.mp4,6c8361ad474978e5e67f93dc7c4d7d9162f2ea501b1e678db9b6cc7c54102b29,260,3.637978807091713e-15,0
210989,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\210989_anchored30s.mp4,3ed37a73a88214da1088067b95cf19d4d5ca8f915d304980deb2a694203041ff,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\210989_browser_lossless.mp4,3615671f76019eeedafebbf3094ce63d480766f5b71ec780389aea3e933e874c,260,0.0,0
211056,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\211056_anchored30s.mp4,f94d49f81f2dfa60b9d0c0e8838125868c479a9b7db40c1d71bf5de277790087,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\211056_browser_lossless.mp4,55e00e5e536e90b53135e3f1c0c77cadc3f78e29c546d8112bdd305efb916028,261,0.0,0
211070,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\211070_anchored30s.mp4,46ac2150d7b690b392fe64a0ab8dd5e1a993c82f28f6f7e6e0c3952439b3c2ed,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\211070_browser_lossless.mp4,f3a3d44b95c3868052d31017b50eb4b5a7604a0420bd77bea195907d01bc4c62,262,0.0,0
ba170296,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\ba170296_anchored30s.mp4,d3173ef64e07d91615d6aa3547e3d19fbeee4494fcede8ae25a2dc9642a9389d,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\ba170296_browser_lossless.mp4,179ecac59a63373ebff7f4b07bbf78cf848dfb10e526f2857f6f6ad8edaf3a53,260,0.0,0
