grid_index,time_seconds,is_human_reference
21,2.4137931034482762,False
28,3.218390804597701,False
42,4.8275862068965525,False
49,5.6321839080459775,False
58,6.666666666666667,False
65,7.471264367816093,False
74,8.505747126436782,False
83,9.540229885057473,False
97,11.149425287356323,False
137,15.74712643678161,False
147,16.896551724137932,False
161,18.505747126436784,False
171,19.655172413793107,False
179,20.57471264367816,False
187,21.49425287356322,False
194,22.298850574712645,False
202,23.218390804597703,False
217,24.942528735632187,False
224,25.74712643678161,False
233,26.7816091954023,False
