frame_name,left_temp,right_temp,left_x,left_y,right_x,right_y,left_conf,right_conf,nostril_spacing,roi_radius,left_source,right_source,status,left_temp_r16,left_temp_r17,left_temp_r18,left_temp_r19,left_temp_r20,left_temp_r21,left_temp_r22,left_temp_r23,left_temp_r24,right_temp_r16,right_temp_r17,right_temp_r18,right_temp_r19,right_temp_r20,right_temp_r21,right_temp_r22,right_temp_r23,right_temp_r24
frame_000000.jpg,31.87004728764605,30.858254672446506,759.5146484375,1267.5594482421875,589.0631713867188,1269.232681274414,0.9985719919204712,0.004650344606488943,170.45968947986836,20,detected,opposite_inferred,opposite_inferred_repair,31.944157503541096,31.926781773004578,31.909107447880626,31.889901614648327,31.87004728764605,31.852540828867664,31.831863457078676,31.81379191309806,31.79645488853523,30.976886036843567,30.95040261489839,30.922160703996767,30.889907416423938,30.858254672446506,30.82977901358372,30.79502483966245,30.763015248786413,30.72973415998673
frame_000001.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000002.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000003.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000004.jpg,25.840773343206465,30.401902637159257,1021.7261962890625,1328.968002319336,851.2747192382812,1330.6412353515625,0.00041206367313861847,0.9983353018760681,170.45968947986836,20,opposite_inferred,detected,opposite_inferred_repair,25.788589152763777,25.803565234082768,25.81570052337896,25.829495438155995,25.840773343206465,25.853314431633496,25.868312994661345,25.88256373592183,25.89710712582521,30.47611896076886,30.457657380159834,30.439636884028513,30.420912063672965,30.401902637159257,30.386409302617228,30.368832565160456,30.354050282144264,30.33990738048119
frame_000005.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000006.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000007.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000008.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000009.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000010.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000011.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
