relative_seconds,absolute_seconds
0.0,0.0
0.07,0.07
0.19333333333333338,0.19333333333333338
0.33666666666666667,0.33666666666666667
0.4633333333333334,0.4633333333333334
0.5166666666666667,0.5166666666666667
0.6283333333333334,0.6283333333333334
0.7466666666666667,0.7466666666666667
0.8200000000000001,0.8200000000000001
1.2316666666666667,1.2316666666666667
1.2533333333333334,1.2533333333333334
1.2716666666666667,1.2716666666666667
1.3966666666666667,1.3966666666666667
1.4516666666666667,1.4516666666666667
1.5383333333333333,1.5383333333333333
1.5950000000000002,1.5950000000000002
1.7333333333333334,1.7333333333333334
1.9100000000000001,1.9100000000000001
1.9233333333333336,1.9233333333333336
2.1283333333333334,2.1283333333333334
2.1933333333333334,2.1933333333333334
2.35,2.35
2.4533333333333336,2.4533333333333336
2.58,2.58
2.6833333333333336,2.6833333333333336
2.8066666666666666,2.8066666666666666
2.921666666666667,2.921666666666667
3.0683333333333334,3.0683333333333334
3.146666666666667,3.146666666666667
3.2783333333333338,3.2783333333333338
3.371666666666667,3.371666666666667
3.4983333333333335,3.4983333333333335
3.6033333333333335,3.6033333333333335
3.726666666666667,3.726666666666667
3.8233333333333337,3.8233333333333337
3.851666666666667,3.851666666666667
4.016666666666667,4.016666666666667
4.216666666666667,4.216666666666667
4.243333333333333,4.243333333333333
4.433333333333334,4.433333333333334
4.48,4.48
4.661666666666667,4.661666666666667
4.7,4.7
4.848333333333334,4.848333333333334
4.9783333333333335,4.9783333333333335
5.038333333333334,5.038333333333334
5.203333333333334,5.203333333333334
5.301666666666667,5.301666666666667
5.426666666666667,5.426666666666667
5.588333333333334,5.588333333333334
5.651666666666667,5.651666666666667
5.763333333333334,5.763333333333334
5.886666666666667,5.886666666666667
6.048333333333334,6.048333333333334
6.11,6.11
6.211666666666667,6.211666666666667
6.336666666666667,6.336666666666667
6.5166666666666675,6.5166666666666675
6.531666666666667,6.531666666666667
6.670000000000001,6.670000000000001
6.796666666666667,6.796666666666667
6.968333333333334,6.968333333333334
6.983333333333333,6.983333333333333
7.130000000000001,7.130000000000001
7.183333333333334,7.183333333333334
7.323333333333334,7.323333333333334
7.481666666666667,7.481666666666667
7.595000000000001,7.595000000000001
7.706666666666667,7.706666666666667
7.763333333333334,7.763333333333334
7.941666666666667,7.941666666666667
8.040000000000001,8.040000000000001
8.166666666666668,8.166666666666668
8.221666666666668,8.221666666666668
8.391666666666667,8.391666666666667
8.491666666666667,8.491666666666667
8.618333333333334,8.618333333333334
8.693333333333333,8.693333333333333
8.850000000000001,8.850000000000001
8.866666666666667,8.866666666666667
9.086666666666668,9.086666666666668
9.186666666666667,9.186666666666667
9.296666666666667,9.296666666666667
9.413333333333334,9.413333333333334
9.516666666666667,9.516666666666667
9.641666666666667,9.641666666666667
9.746666666666668,9.746666666666668
9.863333333333333,9.863333333333333
9.968333333333334,9.968333333333334
10.100000000000001,10.100000000000001
10.208333333333334,10.208333333333334
10.318333333333333,10.318333333333333
10.385,10.385
10.508333333333335,10.508333333333335
10.568333333333333,10.568333333333333
10.736666666666668,10.736666666666668
10.798333333333334,10.798333333333334
10.968333333333334,10.968333333333334
11.026666666666667,11.026666666666667
11.193333333333333,11.193333333333333
11.248333333333337,11.248333333333337
11.416666666666668,11.416666666666668
11.481666666666667,11.481666666666667
11.656666666666668,11.656666666666668
11.801666666666668,11.801666666666668
11.903333333333334,11.903333333333334
12.071666666666667,12.071666666666667
12.145000000000001,12.145000000000001
12.173333333333334,12.173333333333334
12.373333333333337,12.373333333333337
12.531666666666668,12.531666666666668
12.611666666666668,12.611666666666668
12.625,12.625
12.825000000000001,12.825000000000001
12.983333333333334,12.983333333333334
13.055000000000001,13.055000000000001
13.156666666666668,13.156666666666668
13.276666666666667,13.276666666666667
13.441666666666668,13.441666666666668
13.471666666666668,13.471666666666668
13.528333333333334,13.528333333333334
13.746666666666668,13.746666666666668
13.811666666666667,13.811666666666667
13.971666666666668,13.971666666666668
14.025,14.025
14.191666666666668,14.191666666666668
14.266666666666667,14.266666666666667
14.433333333333334,14.433333333333334
14.450000000000001,14.450000000000001
14.643333333333334,14.643333333333334
14.716666666666667,14.716666666666667
14.888333333333334,14.888333333333334
14.985000000000001,14.985000000000001
15.098333333333334,15.098333333333334
15.275,15.275
15.333333333333334,15.333333333333334
15.386666666666668,15.386666666666668
15.565000000000001,15.565000000000001
15.721666666666668,15.721666666666668
15.805000000000001,15.805000000000001
15.818333333333335,15.818333333333335
16.01666666666667,16.01666666666667
16.136666666666667,16.136666666666667
16.191666666666666,16.191666666666666
16.365000000000002,16.365000000000002
16.458333333333336,16.458333333333336
16.596666666666668,16.596666666666668
16.69666666666667,16.69666666666667
16.813333333333336,16.813333333333336
16.916666666666668,16.916666666666668
17.00166666666667,17.00166666666667
17.066666666666666,17.066666666666666
17.23166666666667,17.23166666666667
17.293333333333333,17.293333333333333
17.458333333333336,17.458333333333336
17.52,17.52
17.693333333333335,17.693333333333335
17.748333333333335,17.748333333333335
17.953333333333333,17.953333333333333
18.02166666666667,18.02166666666667
18.19666666666667,18.19666666666667
18.25,18.25
18.401666666666667,18.401666666666667
18.485,18.485
18.651666666666667,18.651666666666667
18.75166666666667,18.75166666666667
18.858333333333334,18.858333333333334
19.033333333333335,19.033333333333335
19.093333333333334,19.093333333333334
19.203333333333333,19.203333333333333
19.318333333333335,19.318333333333335
19.483333333333334,19.483333333333334
19.553333333333335,19.553333333333335
19.57,19.57
19.811666666666667,19.811666666666667
19.941666666666666,19.941666666666666
20.013333333333335,20.013333333333335
20.026666666666667,20.026666666666667
20.238333333333333,20.238333333333333
20.303333333333335,20.303333333333335
20.48,20.48
20.493333333333336,20.493333333333336
20.686666666666667,20.686666666666667
20.763333333333335,20.763333333333335
20.933333333333334,20.933333333333334
20.950000000000003,20.950000000000003
21.145000000000003,21.145000000000003
21.215,21.215
21.380000000000003,21.380000000000003
21.48,21.48
21.588333333333335,21.588333333333335
21.671666666666667,21.671666666666667
21.84166666666667,21.84166666666667
21.938333333333336,21.938333333333336
22.046666666666667,22.046666666666667
22.171666666666667,22.171666666666667
22.276666666666667,22.276666666666667
22.408333333333335,22.408333333333335
22.46,22.46
22.633333333333336,22.633333333333336
22.728333333333335,22.728333333333335
