fold,subset,frame_id,cow_id,threshold,expected,predicted,correct,max_confidence,correct_max_confidence
0,training,R3-01_t00,1414,0.25,2,2,2,0.9883996248245239,0.9883996248245239
0,training,R3-01_t00,1414,0.001,2,2,2,0.9883996248245239,0.9883996248245239
0,training,R3-01_t10,1414,0.25,1,1,1,0.9746385812759399,0.9746385812759399
0,training,R3-01_t10,1414,0.001,1,2,1,0.9746385812759399,0.9746385812759399
0,training,R3-01_t20,1414,0.25,1,1,1,0.9666060209274292,0.9666060209274292
0,training,R3-01_t20,1414,0.001,1,2,1,0.9666060209274292,0.9666060209274292
0,heldout,R3-02_t00,659,0.25,2,0,0,0.0,0.0
0,heldout,R3-02_t00,659,0.001,2,2,0,0.23943530023097992,0.0
0,heldout,R3-02_t10,659,0.25,2,2,2,0.8790581822395325,0.8790581822395325
0,heldout,R3-02_t10,659,0.001,2,2,2,0.8790581822395325,0.8790581822395325
0,heldout,R3-02_t20,659,0.25,2,1,1,0.5640583634376526,0.5640583634376526
0,heldout,R3-02_t20,659,0.001,2,2,2,0.5640583634376526,0.5640583634376526
0,training,R3-03_t00,957,0.25,1,1,1,0.8956651091575623,0.8956651091575623
0,training,R3-03_t00,957,0.001,1,2,1,0.8956651091575623,0.8956651091575623
0,training,R3-03_t10,957,0.25,0,0,0,0.0,0.0
0,training,R3-03_t10,957,0.001,0,2,0,0.01360916905105114,0.0
0,training,R3-03_t20,957,0.25,2,2,2,0.9782468676567078,0.9782468676567078
0,training,R3-03_t20,957,0.001,2,2,2,0.9782468676567078,0.9782468676567078
0,training,R3-05_t00,A1022205,0.25,2,2,2,0.890414297580719,0.890414297580719
0,training,R3-05_t00,A1022205,0.001,2,2,2,0.890414297580719,0.890414297580719
0,training,R3-05_t10,A1022205,0.25,1,1,1,0.877566933631897,0.877566933631897
0,training,R3-05_t10,A1022205,0.001,1,2,1,0.877566933631897,0.877566933631897
0,training,R3-05_t20,A1022205,0.25,1,1,1,0.9004772901535034,0.9004772901535034
0,training,R3-05_t20,A1022205,0.001,1,2,1,0.9004772901535034,0.01849428005516529
0,heldout,R3-06_t00,1371,0.25,2,1,0,0.45995011925697327,0.0
0,heldout,R3-06_t00,1371,0.001,2,2,1,0.45995011925697327,0.09249247610569
0,heldout,R3-06_t10,1371,0.25,2,1,1,0.6589226722717285,0.6589226722717285
0,heldout,R3-06_t10,1371,0.001,2,2,1,0.6589226722717285,0.6589226722717285
0,heldout,R3-06_t20,1371,0.25,1,0,0,0.0,0.0
0,heldout,R3-06_t20,1371,0.001,1,2,1,0.03934704512357712,0.03934704512357712
0,training,R3-09_t00,1487,0.25,2,2,2,0.9243419170379639,0.9243419170379639
0,training,R3-09_t00,1487,0.001,2,2,2,0.9243419170379639,0.9243419170379639
0,training,R3-09_t10,1487,0.25,2,2,2,0.7983666062355042,0.7983666062355042
0,training,R3-09_t10,1487,0.001,2,2,2,0.7983666062355042,0.7983666062355042
0,training,R3-09_t20,1487,0.25,2,2,2,0.9651281237602234,0.9651281237602234
0,training,R3-09_t20,1487,0.001,2,2,2,0.9651281237602234,0.9651281237602234
0,training,R3-10_t00,1428,0.25,2,2,2,0.9187435507774353,0.9187435507774353
0,training,R3-10_t00,1428,0.001,2,2,2,0.9187435507774353,0.9187435507774353
0,training,R3-10_t10,1428,0.25,0,0,0,0.0,0.0
0,training,R3-10_t10,1428,0.001,0,2,0,0.0027253027074038982,0.0
0,training,R3-10_t20,1428,0.25,2,2,2,0.9367995262145996,0.9367995262145996
0,training,R3-10_t20,1428,0.001,2,2,2,0.9367995262145996,0.9367995262145996
0,training,R3-11_t00,683,0.25,2,2,2,0.9242053627967834,0.9242053627967834
0,training,R3-11_t00,683,0.001,2,2,2,0.9242053627967834,0.9242053627967834
0,training,R3-11_t10,683,0.25,0,0,0,0.0,0.0
0,training,R3-11_t10,683,0.001,0,2,0,0.008758431300520897,0.0
0,training,R3-11_t20,683,0.25,0,0,0,0.0,0.0
0,training,R3-11_t20,683,0.001,0,2,0,0.0059476629830896854,0.0
0,training,R3-14_t00,583,0.25,2,2,2,0.6341167688369751,0.6341167688369751
0,training,R3-14_t00,583,0.001,2,2,2,0.6341167688369751,0.6341167688369751
0,training,R3-14_t10,583,0.25,2,2,2,0.8670408129692078,0.8670408129692078
0,training,R3-14_t10,583,0.001,2,2,2,0.8670408129692078,0.8670408129692078
0,training,R3-14_t20,583,0.25,2,2,2,0.6771352887153625,0.6771352887153625
0,training,R3-14_t20,583,0.001,2,2,2,0.6771352887153625,0.6771352887153625
0,training,R3-22_t00,743,0.25,0,0,0,0.0,0.0
0,training,R3-22_t00,743,0.001,0,2,0,0.0037382319569587708,0.0
0,training,R3-22_t10,743,0.25,1,1,1,0.8785309791564941,0.8785309791564941
0,training,R3-22_t10,743,0.001,1,2,1,0.8785309791564941,0.8785309791564941
0,training,R3-22_t20,743,0.25,2,2,2,0.9193392992019653,0.9193392992019653
0,training,R3-22_t20,743,0.001,2,2,2,0.9193392992019653,0.9193392992019653
0,heldout,R3-23_t00,1308,0.25,2,2,2,0.9479994177818298,0.9479994177818298
0,heldout,R3-23_t00,1308,0.001,2,2,2,0.9479994177818298,0.9479994177818298
0,heldout,R3-23_t10,1308,0.25,0,0,0,0.0,0.0
0,heldout,R3-23_t10,1308,0.001,0,2,0,0.006847931072115898,0.0
0,heldout,R3-23_t20,1308,0.25,1,0,0,0.0,0.0
0,heldout,R3-23_t20,1308,0.001,1,2,1,0.18858475983142853,0.18858475983142853
0,heldout,R3-24_t00,1129,0.25,1,1,1,0.3370223939418793,0.3370223939418793
0,heldout,R3-24_t00,1129,0.001,1,2,1,0.3370223939418793,0.3370223939418793
0,heldout,R3-24_t10,1129,0.25,2,1,0,0.7421566247940063,0.0
0,heldout,R3-24_t10,1129,0.001,2,2,1,0.7421566247940063,0.17769712209701538
0,heldout,R3-24_t20,1129,0.25,1,1,1,0.647986650466919,0.647986650466919
0,heldout,R3-24_t20,1129,0.001,1,2,1,0.647986650466919,0.647986650466919
1,heldout,R3-01_t00,1414,0.25,2,0,0,0.0,0.0
1,heldout,R3-01_t00,1414,0.001,2,2,0,0.011060179211199284,0.0
1,heldout,R3-01_t10,1414,0.25,1,1,0,0.44356733560562134,0.0
1,heldout,R3-01_t10,1414,0.001,1,2,0,0.44356733560562134,0.0
1,heldout,R3-01_t20,1414,0.25,1,1,0,0.30645063519477844,0.0
1,heldout,R3-01_t20,1414,0.001,1,2,0,0.30645063519477844,0.0
1,training,R3-02_t00,659,0.25,2,2,2,0.7176429033279419,0.7176429033279419
1,training,R3-02_t00,659,0.001,2,2,2,0.7176429033279419,0.7176429033279419
1,training,R3-02_t10,659,0.25,2,2,2,0.9147355556488037,0.9147355556488037
1,training,R3-02_t10,659,0.001,2,2,2,0.9147355556488037,0.9147355556488037
1,training,R3-02_t20,659,0.25,2,2,2,0.9055391550064087,0.9055391550064087
