subset,threshold,frame_model_pairs,expected,predicted,correct,precision,recall,max_confidence,median_frame_max_confidence
heldout,0.001,36,50,72,31,0.4305555555555556,0.62,0.9479994177818298,0.34528087079524994
heldout,0.25,36,50,31,23,0.7419354838709677,0.46,0.9479994177818298,0.34528087079524994
training,0.001,72,100,142,100,0.704225352112676,1.0,0.9883996248245239,0.9029405415058136
training,0.25,72,100,100,100,1.0,1.0,0.9883996248245239,0.9029405415058136
