target_index,target_time_seconds,source_frame_index,source_time_seconds,time_supported
0,0.0,0,0.0,True
1,0.1149425287356322,1,0.0983333333333333,True
2,0.2298850574712644,2,0.21,True
3,0.3448275862068966,3,0.3166666666666667,True
4,0.4597701149425288,4,0.445,True
5,0.574712643678161,5,0.5483333333333333,True
6,0.6896551724137931,6,0.665,True
7,0.8045977011494253,7,0.7683333333333334,True
8,0.9195402298850576,8,0.9116666666666668,True
9,1.0344827586206897,9,1.01,True
10,1.149425287356322,10,1.1266666666666667,True
11,1.264367816091954,11,1.23,True
12,1.3793103448275863,13,1.3833333333333335,True
13,1.4942528735632186,14,1.5750000000000002,True
14,1.6091954022988506,14,1.5750000000000002,True
15,1.7241379310344829,15,1.6983333333333337,True
16,1.8390804597701151,17,1.8333333333333333,True
17,1.9540229885057472,18,2.041666666666667,True
18,2.0689655172413794,18,2.041666666666667,True
19,2.1839080459770117,19,2.14,True
20,2.298850574712644,20,2.256666666666667,True
21,2.4137931034482762,22,2.4083333333333337,True
22,2.528735632183908,23,2.605,True
23,2.6436781609195403,24,2.6333333333333333,True
24,2.7586206896551726,25,2.8400000000000003,True
25,2.873563218390805,25,2.8400000000000003,True
26,2.988505747126437,26,2.936666666666667,True
27,3.1034482758620694,27,3.0583333333333336,True
28,3.218390804597701,28,3.168333333333333,True
29,3.3333333333333335,29,3.3000000000000003,True
30,3.4482758620689657,30,3.4033333333333338,True
31,3.563218390804598,31,3.5116666666666667,True
32,3.6781609195402303,32,3.6333333333333337,True
33,3.7931034482758625,33,3.875,True
34,3.9080459770114944,34,3.931666666666667,True
35,4.022988505747127,35,3.976666666666667,True
36,4.137931034482759,36,4.081666666666667,True
37,4.252873563218391,37,4.206666666666667,True
38,4.367816091954023,38,4.308333333333334,True
39,4.482758620689656,39,4.428333333333334,True
40,4.597701149425288,41,4.618333333333334,True
41,4.71264367816092,42,4.691666666666667,True
42,4.8275862068965525,43,4.8933333333333335,True
43,4.942528735632185,44,4.908333333333333,True
44,5.057471264367816,45,5.083333333333334,True
45,5.172413793103448,46,5.145000000000001,True
46,5.287356321839081,47,5.345000000000001,True
47,5.402298850574713,48,5.448333333333333,True
48,5.517241379310345,49,5.533333333333334,True
49,5.6321839080459775,50,5.6850000000000005,True
50,5.74712643678161,51,5.793333333333334,True
51,5.862068965517242,52,5.821666666666667,True
52,5.977011494252874,53,6.04,True
53,6.0919540229885065,54,6.131666666666667,True
54,6.206896551724139,55,6.245,True
55,6.321839080459771,56,6.323333333333334,True
56,6.436781609195402,57,6.386666666666667,True
57,6.551724137931035,58,6.615,True
58,6.666666666666667,59,6.706666666666667,True
59,6.781609195402299,60,6.811666666666668,True
60,6.8965517241379315,60,6.811666666666668,True
61,7.011494252873564,61,7.081666666666667,True
62,7.126436781609196,62,7.096666666666667,True
63,7.241379310344828,64,7.283333333333334,True
64,7.356321839080461,65,7.405,True
65,7.471264367816093,66,7.420000000000001,True
66,7.586206896551725,67,7.531666666666667,True
67,7.701149425287357,68,7.743333333333334,True
68,7.816091954022989,69,7.843333333333334,True
