frame_name,left_temp,right_temp,left_x,left_y,right_x,right_y,left_conf,right_conf,left_source,right_source,status,left_temp_r14,left_temp_r15,left_temp_r16,left_temp_r17,left_temp_r18,left_temp_r19,left_temp_r20,left_temp_r21,left_temp_r22,left_temp_r23,left_temp_r24,left_temp_r25,left_temp_r26,left_temp_r27,left_temp_r28,right_temp_r14,right_temp_r15,right_temp_r16,right_temp_r17,right_temp_r18,right_temp_r19,right_temp_r20,right_temp_r21,right_temp_r22,right_temp_r23,right_temp_r24,right_temp_r25,right_temp_r26,right_temp_r27,right_temp_r28,roi_radius
frame_000000.jpg,30.925202729764543,31.504052905579844,809.5145263671875,631.3504028320312,667.364501953125,631.20361328125,0.9999457597732544,0.9999879598617554,detected,detected,ok,31.413491284042895,31.32788011074776,31.25399677034825,31.172499845390437,31.09274584505152,31.00925021547967,30.925202729764543,30.85232688310809,30.770186768253485,30.69745695403549,30.62631212038013,30.54689497600639,30.477923524760467,30.41241736261513,30.354944606459725,31.81970143911865,31.76642118192018,31.72116345742937,31.668545403560792,31.6158164250558,31.560540232141573,31.504052905579844,31.455660437076585,31.39789194371389,31.348651138961216,31.301574736993206,31.24945689166095,31.20405233237992,31.15949722561029,31.11937346087322,20
frame_000001.jpg,30.530099166408352,31.39701750797365,803.1952514648438,629.450439453125,658.393310546875,629.3914184570312,0.9999217987060548,0.9999805688858032,detected,detected,ok,30.869842330237105,30.812039665258464,30.763898514351748,30.7071033041152,30.6502577638611,30.591664175759348,30.530099166408352,30.479645760520544,30.420531013170237,30.36798254947869,30.31845024973017,30.262603557999817,30.21416093655443,30.16684551541135,30.12548557815993,31.708918599069488,31.663135688601,31.620204722815146,31.569328145304123,31.516170521458235,31.45871165825526,31.39701750797365,31.343203479586982,31.277464439299397,31.2176540954361,31.1595428118349,31.09273534154302,31.03183185718316,30.971533484429397,30.91635827998749,20
frame_000002.jpg,30.201768884846143,31.101021830737285,796.7337646484375,630.180419921875,651.1170654296875,630.150146484375,0.9999539852142334,0.9999765157699584,detected,detected,ok,30.53013467370013,30.467541478993347,30.417833148930196,30.361942471821035,30.308276021516143,30.25570680621051,30.201768884846143,30.15677364079068,30.10468497938287,30.05944725399477,30.016805551040708,29.96934458912662,29.92891236811647,29.89209605575425,29.86014074257325,31.507376475446925,31.44362570243622,31.38509465509016,31.31884436523592,31.25048904293386,31.1776890396954,31.101021830737285,31.03462328439836,30.955828018660394,30.88589927555568,30.81964195611944,30.744670639109422,30.677577125173773,30.612453145770047,30.554619897079768,20
frame_000003.jpg,30.313521330073584,31.123717442159457,786.0294799804688,635.61279296875,643.0271606445312,635.5294189453125,0.9999815225601196,0.9999891519546508,detected,detected,ok,30.560506785721675,30.51764806826778,30.481650929522825,30.44055264844414,30.40000435636597,30.35782719519238,30.313521330073584,30.27556082697076,30.22975353943424,30.18948724792597,30.150285775954263,30.107992742373614,30.07210555738548,30.037452945596264,30.007133346591107,31.41225147697145,31.362335007374,31.321679640669824,31.273753949400888,31.226802368626014,31.176929044923444,31.123717442159457,31.078084856792326,31.02160328128456,30.97186355183901,30.92203816820031,30.86609187979259,30.815829147045168,30.76655679390393,30.721532995836803,20
frame_000004.jpg,30.597262410959143,31.226571881446624,775.2957153320312,643.3677978515625,632.5044555664062,643.4132080078125,0.9999984502792358,0.9999935626983644,detected,detected,ok,30.81655122269747,30.784744354354512,30.75452167703177,30.71836144691105,30.680167004364893,30.63912634786564,30.597262410959143,30.56243419230821,30.52075538932185,30.483390824025747,30.44712320128237,30.40543177141673,30.369533775229723,30.33275324644299,30.298357385820413,31.4577412612202,31.4189078518868,31.3875012701759,31.349560262590774,31.31056389295281,31.26988337009451,31.226571881446624,31.18948007227397,31.145744987003187,31.1070510615026,31.06984990622361,31.026566728532,30.988612175097785,30.95044923601687,30.91481516337605,20
frame_000005.jpg,30.986476262174328,31.82444112602389,763.9423828125,642.9329223632812,620.3261108398438,642.95263671875,0.9999992847442628,0.9999942779541016,detected,detected,ok,31.397488496264927,31.32417973696782,31.261876134957216,31.19246160441166,31.12364997190623,31.05391584085681,30.986476262174328,30.93178302475688,30.870442220374404,30.81837968672132,30.77035081674221,30.717033361368998,30.67158636462929,30.626010184791497,30.584616860416524,32.05435619760239,32.02423921152909,31.99568444268752,31.958465873825418,31.918859128942284,31.874608455329327,31.82444112602389,31.780158372221923,31.72175064652988,31.666987327602985,31.61099859757252,31.54403729408907,31.48307778467536,31.421352295239867,31.364911414925675,20
frame_000006.jpg,31.324871261698387,31.992190787954726,756.5379028320312,639.7129516601562,609.2428588867188,639.6956787109375,0.999998927116394,0.9999948740005492,detected,detected,ok,31.70105689549312,31.631757059217293,31.57623716762464,31.514635541105253,31.45450091172872,31.3924637894078,31.324871261698387,31.268119581189577,31.198827869438496,31.136587741420573,31.07471490921646,31.00369366596549,30.941439471248444,30.88039449573413,30.8251864625206,32.31020196551358,32.267233697010035,32.22612778778496,32.17596337375417,32.121698892507695,32.060969405103044,31.992190787954726,31.929760148767706,31.851101979352126,31.77863993417113,31.707297227173143,31.623611739637767,31.54905467053688,31.47416268086339,31.404798766592982,20
frame_000007.jpg,31.333271398848478,31.915737120781102,747.3240356445312,632.5151977539062,604.206787109375,632.3899536132812,0.9999828338623048,0.9999922513961792,detected,detected,ok,31.77498231935109,31.69909762886307,31.63296441833611,31.556677738648133,31.483991703201426,31.409945739592352,31.333271398848478,31.27188568255004,31.19637977542896,31.13004201992829,31.06566449565744,30.992605726917645,30.930017151476036,30.86804671053837,30.81243346552803,32.293816885446404,32.23343242284016,32.18037035485263,32.11931664564245,32.05746777254374,31.989774487052944,31.915737120781102,31.851868433002704,31.77353446587439,31.702663187242692,31.631859278341807,31.5511073837874,31.478640545686595,31.40610722663604,31.3394046608568,20
frame_000008.jpg,30.955831922101687,31.14416770041994,741.2619018554688,629.858154296875,600.724609375,629.7405395507812,0.9999890327453612,0.9999912977218628,detected,detected,ok,31.484791265165093,31.38964555564117,31.31014477347062,31.220722113832423,31.1319964256043,31.04370186688094,30.955831922101687,30.885450586210503,30.802925465664877,30.73250798828938,30.666271828727467,30.592565041467157,30.531165411644963,30.47157616370947,30.420808776612013,31.491058681915295,31.440791614347763,31.395373489830835,31.339506326498224,31.27966856607125,31.21268156640908,31.14416770041994,31.0843721481591,31.013544735095685,30.95104508408337,30.89074334449266,30.82242352310193,30.763217848064127,30.7032029762223,30.647373100482003,20
frame_000009.jpg,30.805388687288467,31.14713114380765,738.5789184570312,631.2908935546875,595.9595947265625,631.189208984375,0.99998939037323,0.9999905824661256,detected,detected,ok,31.34411559639788,31.246041211144085,31.166921020518902,31.076407344991985,30.98816333288604,30.898158506620007,30.805388687288467,30.73249665911447,30.649075684308222,30.579589356080003,30.51662599723852,30.44762257497508,30.3919482185494,30.337909908556437,30.29132244539888,31.56810303369314,31.508014110548253,31.449260988243484,31.378765797317136,31.306776597772377,31.22920852730681,31.14713114380765,31.07646885543289,30.99001233782618,30.91117324750928,30.83378118489948,30.744628460882225,30.666028901336976,30.58982187865053,30.522415711672807,20
