epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.20972,5.11347,10.2955,3.64011,0,0,0,0,0,0,0,5e-05,5e-05,0.09505
2,3.24944,3.86324,5.77335,1.83312,0,0,0,0,0,0,0,0.0001067,0.0001067,0.0891067
3,3.93376,3.8016,5.17608,1.62952,0,0,0,0,0,0,0,0.0001598,0.0001598,0.0831598
4,4.81934,3.28,4.91759,1.44855,0,0,0,0,0,0,0,0.0002093,0.0002093,0.0772093
5,5.53949,3.57413,4.62903,1.52665,0,0,0,0,0,0,0,0.0002552,0.0002552,0.0712552
6,6.26379,3.40378,4.54855,1.44872,0,0,0,0,0,0,0,0.0002975,0.0002975,0.0652975
7,6.96437,3.46179,4.43434,1.43951,0,0,0,0,0,0,0,0.0003362,0.0003362,0.0593362
8,7.62696,3.36311,4.37186,1.44987,0,0,0,0,0,0,0,0.0003713,0.0003713,0.0533713
9,8.34072,3.07384,4.17787,1.35411,0,0,0,0,0,0,0,0.0004028,0.0004028,0.0474028
10,8.99597,3.22617,4.11977,1.41968,0,0,0,0,0,0,0,0.0004307,0.0004307,0.0414307
11,9.69318,3.35712,3.86693,1.45027,0,0,0,0,0,0,0,0.000455,0.000455,0.035455
12,10.3969,3.20129,3.94992,1.47664,0,0,0,0,0,0,0,0.0004757,0.0004757,0.0294757
13,11.126,3.25655,3.75961,1.44651,0,0,0,0,0,0,0,0.0004928,0.0004928,0.0234928
14,11.8865,3.18855,3.79485,1.42738,0,0,0,0,0,0,0,0.0005063,0.0005063,0.0175063
15,12.682,2.92227,3.63134,1.37714,0,0,0,0,0,0,0,0.0005162,0.0005162,0.0115162
16,13.456,3.02409,3.65934,1.424,0,0,0,0,0,0,0,0.0005225,0.0005225,0.0055225
17,14.1898,2.96894,3.52473,1.37417,0,0,0,0,0,0,0,0.00052,0.00052,0.00052
18,14.8536,3.03938,3.38205,1.41943,0,0,0,0,0,0,0,0.00049,0.00049,0.00049
19,15.5478,2.87719,3.35873,1.38233,0,0,0,0,0,0,0,0.00046,0.00046,0.00046
20,16.2377,3.17845,3.36687,1.44338,0,0,0,0,0,0,0,0.00043,0.00043,0.00043
21,16.8734,3.05573,3.22783,1.46026,0,0,0,0,0,0,0,0.0004,0.0004,0.0004
22,17.6141,2.85139,3.28831,1.45299,0,0,0,0,0,0,0,0.00037,0.00037,0.00037
23,18.3472,2.90155,3.29271,1.44537,0,0,0,0,0,0,0,0.00034,0.00034,0.00034
24,19.0345,3.05067,3.11465,1.50802,0,0,0,0,0,0,0,0.00031,0.00031,0.00031
25,19.7759,3.07361,3.15137,1.51041,0,0,0,0,0,0,0,0.00028,0.00028,0.00028
26,20.4713,3.06594,3.0735,1.43851,0,0,0,0,0,0,0,0.00025,0.00025,0.00025
27,21.1774,2.97513,3.09161,1.44324,0,0,0,0,0,0,0,0.00022,0.00022,0.00022
28,21.8942,2.99951,2.89829,1.433,0,0,0,0,0,0,0,0.00019,0.00019,0.00019
29,22.5623,2.90508,2.98201,1.40775,0,0,0,0,0,0,0,0.00016,0.00016,0.00016
30,23.5659,3.03074,2.93895,1.45714,0.01737,0.5,0.17457,0.05075,3.22012,2.896,1.43369,0.00013,0.00013,0.00013
