window_id,farm,source_path,source_session,start_seconds,duration_seconds,sampling_rule,sampled_fingerprint,file_id,verified_cow_id,source_sha256,prediction_status,predicted_count,duration_seconds_prediction,method_manifest_sha256,source_sha256_prediction,reason,frame_shape,timestamp_policy_status,grid_frames,radius_min,radius_max,exponent,video_id,video_path,source_path_reference,source_start_seconds,duration_seconds_reference,annotation_round,annotator,annotation_status,manual_breath_count,event_definition,predictions_hidden,reference_notes,analysis_role,Unnamed: 14,备注,source_annotation_status,blinding_source,count_reference_role,event_reference_ready,primary_included,exclusion_reason,truth_count,truth_rr_bpm,predicted_rr_bpm
jiufu_33ff2c90bde0a7_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121220-872.MP4,20240730T121220_872,0.0,30.0,first_30_seconds_predeclared_not_best_segment,75d3c04d4eec42c9f8461ba8490adb97299195d95709e7cf361a9300cdd6bb98,jiufu_33ff2c90bde0a7,872,d9a86658c1508f64adc9f76ca5e2f87e556d8b31a8279d3005601a3d02c4f831,ok,11.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,d9a86658c1508f64adc9f76ca5e2f87e556d8b31a8279d3005601a3d02c4f831,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,16.0,24.0,0.5,jiufu_33ff2c90bde0a7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121220-872.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121220-872.MP4,0,30,R1,1,complete,8,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,8.0,16.0,22.0
jiufu_ee2427b1f91c14_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085932-1428.MP4,20240731T085932_1428,0.0,30.0,first_30_seconds_predeclared_not_best_segment,45eadb1c2f7eae8f9306b5e8ec2dd062005766d5c3828d652352ad997893191b,jiufu_ee2427b1f91c14,1428,ed70cd9cabe7f3ac524441246add637148d7ffdaaa207a952958e5a42077b948,ok,14.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,ed70cd9cabe7f3ac524441246add637148d7ffdaaa207a952958e5a42077b948,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,16.0,24.0,0.5,jiufu_ee2427b1f91c14,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085932-1428.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085932-1428.MP4,0,30,R1,1,complete,12,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,12.0,24.0,28.0
jiufu_d40d50640e24a1_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090206-165.MP4,20240731T090206_165,0.0,30.0,first_30_seconds_predeclared_not_best_segment,bbb80dd98ba43801be2e77eb288aef723f2aed6192784ff070a01aa99f8effcf,jiufu_d40d50640e24a1,165,78d9c04a6dc43045a5ca140e078cbae366037b02d0c7cbfca696ae652fe4206d,ok,29.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,78d9c04a6dc43045a5ca140e078cbae366037b02d0c7cbfca696ae652fe4206d,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,16.0,24.0,1.0,jiufu_d40d50640e24a1,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090206-165.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090206-165.MP4,0,30,R1,1,complete,28,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,28.0,56.0,58.0
jiufu_e20abde4e3a043_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090617-1422.MP4,20240731T090617_1422,0.0,30.0,first_30_seconds_predeclared_not_best_segment,07238054b551dec8569867341be6aa3c151ca2b8c34b5a1cbdb4fa7bd288bcb0,jiufu_e20abde4e3a043,1422,3042fef9ca648146469ceb9ff34be600529fae9a46d622d5c052694ffea401bb,ok,18.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,3042fef9ca648146469ceb9ff34be600529fae9a46d622d5c052694ffea401bb,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,16.0,23.0,0.5,jiufu_e20abde4e3a043,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090617-1422.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090617-1422.MP4,0,30,R1,1,complete,18,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,18.0,36.0,36.0
jiufu_39742bec07007b_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091233-1146.MP4,20240731T091233_1146,0.0,30.0,first_30_seconds_predeclared_not_best_segment,696279dd4cfde47f2d5e5c60b76dcd5aa585e02943aaf4822cc9f07cd17c415f,jiufu_39742bec07007b,1146,61708b88e52e7d3638209763cf893bf1a1c505d0eec9c76226b6ba864a443de5,ok,10.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,61708b88e52e7d3638209763cf893bf1a1c505d0eec9c76226b6ba864a443de5,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,16.0,22.0,1.0,jiufu_39742bec07007b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091233-1146.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091233-1146.MP4,0,30,R1,1,complete,21,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,21.0,42.0,20.0
jiufu_a7f96cc7661e4a_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091500-1371.MP4,20240731T091500_1371,0.0,30.0,first_30_seconds_predeclared_not_best_segment,45d33a9daf6c42db0ee68f3affcb02faaabd2c3cd885e0fd21a1df3e78389de1,jiufu_a7f96cc7661e4a,1371,1097ed961e852118c1a2dad444f3650239cd775dca0b9e0be09fb3d4aabcc38b,ok,14.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,1097ed961e852118c1a2dad444f3650239cd775dca0b9e0be09fb3d4aabcc38b,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,16.0,23.0,0.5,jiufu_a7f96cc7661e4a,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091500-1371.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T091500-1371.MP4,0,30,R1,1,complete,15,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,15.0,30.0,28.0
jiufu_f5a7ada186a785_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T092133-281.MP4,20240731T092133_281,0.0,30.0,first_30_seconds_predeclared_not_best_segment,f98c4156128ab4a604cb6b108f5ec9f8a7bf2b3611b412cf5c817dea2e844c00,jiufu_f5a7ada186a785,281,1b83b3a680b6c41f31e65ead2429ccb8a5c81bb8ad27c9bec712917ccb12e9fa,ok,18.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,1b83b3a680b6c41f31e65ead2429ccb8a5c81bb8ad27c9bec712917ccb12e9fa,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,19.0,21.0,1.0,jiufu_f5a7ada186a785,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T092133-281.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T092133-281.MP4,0,30,R1,1,complete,14,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,14.0,28.0,36.0
jiufu_2cdb051142d5ab_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T085946-670.MP4,20240801T085946_670,0.0,30.0,first_30_seconds_predeclared_not_best_segment,254dc1e53dada8aa0d4377eb8c8c4a98f0e6735bddd59b665cb5f126dd188ac7,jiufu_2cdb051142d5ab,670,29e2dfab719a79aab089f726a04c11791e3942ca74893cc582f543e814d6b5ac,ok,14.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,29e2dfab719a79aab089f726a04c11791e3942ca74893cc582f543e814d6b5ac,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,16.0,21.0,0.5,jiufu_2cdb051142d5ab,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T085946-670.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T085946-670.MP4,0,30,R1,1,complete,12,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,12.0,24.0,28.0
jiufu_d4707a9c23271d_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T091831-670.MP4,20240801T091831_670,0.0,30.0,first_30_seconds_predeclared_not_best_segment,6738546c37c895104a27dcb6e09528705625fee7ebf78d148d0db03d5508cf7e,jiufu_d4707a9c23271d,670,5e7deca3a1ffb8f61212d34ae91391f3269220f4252a24d644bab4e4342e8c90,ok,14.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,5e7deca3a1ffb8f61212d34ae91391f3269220f4252a24d644bab4e4342e8c90,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,16.0,21.0,0.5,jiufu_d4707a9c23271d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T091831-670.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T091831-670.MP4,0,30,R1,1,complete,12,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,12.0,24.0,28.0
jiufu_2f0c90ece853b4_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T092219-710.MP4,20240801T092219_710,0.0,30.0,first_30_seconds_predeclared_not_best_segment,083b3f40937312701bba60b4735b9e37cdf7f4273e8eeeddf3e373edb4eca1b7,jiufu_2f0c90ece853b4,710,cded3ab983f3e443a0bb6dc4986bf59d36a916e405f064e9b895d8c322dd08ce,ok,17.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,cded3ab983f3e443a0bb6dc4986bf59d36a916e405f064e9b895d8c322dd08ce,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,16.0,21.0,0.5,jiufu_2f0c90ece853b4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T092219-710.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T092219-710.MP4,0,30,R1,1,complete,17,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,17.0,34.0,34.0
jiufu_57c74728570ec9_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T092442-A1022211.MP4,20240801T092442_A1022211,0.0,30.0,first_30_seconds_predeclared_not_best_segment,57bfbc51d49b1f11e324b5004de963af0fd9bccfee51253abbf264fe55ae2876,jiufu_57c74728570ec9,A1022211,0e36587d53a27550e2fe99f5fac763b265ecd31faf084ff9d478781bbbf1faf3,ok,18.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,0e36587d53a27550e2fe99f5fac763b265ecd31faf084ff9d478781bbbf1faf3,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,19.0,23.0,0.5,jiufu_57c74728570ec9,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T092442-A1022211.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0801\20240801T092442-A1022211.MP4,0,30,R1,1,complete,18,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,18.0,36.0,36.0
