variant,frame_id,cluster,expected,predicted,correct,false_points,missed
frozen_roi_local_contrast,R3-10_t00,R3-10,2,2,2,0,0
frozen_roi_local_contrast,R3-10_t10,R3-10,0,0,0,0,0
frozen_roi_local_contrast,R3-10_t20,R3-10,2,2,1,1,1
frozen_roi_local_contrast,R3-11_t00,R3-11,2,0,0,0,2
frozen_roi_local_contrast,R3-11_t10,R3-11,0,0,0,0,0
frozen_roi_local_contrast,R3-11_t20,R3-11,0,2,0,2,0
frozen_roi_local_contrast,R3-14_t00,R3-14,2,0,0,0,2
frozen_roi_local_contrast,R3-14_t10,R3-14,2,0,0,0,2
frozen_roi_local_contrast,R3-14_t20,R3-14,2,0,0,0,2
frozen_roi_local_contrast,R3-22_t00,R3-22,0,0,0,0,0
frozen_roi_local_contrast,R3-22_t10,R3-22,1,0,0,0,1
frozen_roi_local_contrast,R3-22_t20,R3-22,2,2,2,0,0
frozen_roi_local_contrast,R3-23_t00,R3-23,2,2,1,1,1
frozen_roi_local_contrast,R3-23_t10,R3-23,0,0,0,0,0
frozen_roi_local_contrast,R3-23_t20,R3-23,1,2,1,1,0
frozen_roi_local_contrast,R3-24_t00,R3-24,1,2,0,2,1
frozen_roi_local_contrast,R3-24_t10,R3-24,2,2,1,1,1
frozen_roi_local_contrast,R3-24_t20,R3-24,1,2,1,1,0
