variant,frames,expected,predicted,correct,point_recall,point_precision,median_normalized_distance,median_ROI_outside
baseline,36,50,27,18,0.36,0.6666666666666666,0.7525299588697285,0.3985680190930787
baseline_local_contrast,36,50,27,20,0.4,0.7407407407407407,0.748773272023668,0.4284009546539379
frozen_roi,36,50,29,16,0.32,0.5517241379310345,0.7525299588697285,0.4086124951425609
frozen_roi_local_contrast,36,50,29,17,0.34,0.5862068965517241,0.748773272023668,0.44802736842436475
