seed_variant,delta_correct,better_frames,worse_frames,delta_recall_ci_low,delta_recall_ci_high
baseline,2,4,2,-0.06521739130434782,0.14516129032258066
frozen_roi,1,3,2,-0.07847058823529411,0.125
