variant,frame_id,keypoint,human_region,center_inside,normalized_distance,outside_fraction
baseline,R3-02_t00,0,1,True,0.9510759282910799,0.649164677804296
baseline,R3-02_t10,0,1,True,0.263030368697193,0.18615751789976134
baseline,R3-02_t10,1,0,True,0.13289302444509515,0.2609387430389817
baseline,R3-02_t20,0,1,True,0.5669333412591387,0.29992044550517105
baseline,R3-02_t20,1,0,True,0.2090861917784841,0.13842482100238662
baseline,R3-03_t00,0,0,True,0.5849290745009026,0.18854415274463007
baseline,R3-05_t10,1,0,True,0.24070662671656223,0.011933174224343675
baseline,R3-06_t00,0,1,True,0.8059838702387981,0.5783611774065235
baseline,R3-06_t00,1,0,False,2.216767131239226,0.9427207637231504
baseline,R3-09_t00,0,1,False,1.2407087923404092,0.6913285600636436
baseline,R3-09_t20,0,1,False,1.0759627315049543,0.5974542561654733
baseline,R3-09_t20,1,0,True,0.6738831366709891,0.38663484486873506
baseline,R3-10_t00,0,1,True,0.410338447950985,0.04455051710421639
baseline,R3-10_t00,1,0,True,0.26709607020494275,0.2832140015910899
baseline,R3-10_t20,0,1,True,0.8140731410836085,0.4916467780429594
baseline,R3-10_t20,1,0,True,0.7707989662811501,0.3731105807478122
baseline,R3-14_t10,0,1,False,1.5894028274466119,0.8011137629276054
baseline,R3-14_t20,0,1,False,1.631537945364017,0.8066825775656324
baseline,R3-14_t20,1,0,True,0.49143273980444824,0.6332537788385044
baseline,R3-22_t20,1,0,False,1.1162606250401232,0.649164677804296
baseline,R3-23_t00,1,0,True,0.8160287065522905,0.4105011933174224
baseline,R3-23_t20,0,0,True,0.7342609514583068,0.36515513126491644
baseline,R3-24_t00,1,0,False,1.1314867281981849,0.6563245823389021
baseline,R3-24_t10,0,1,False,2.082364920948936,0.9570405727923628
baseline,R3-24_t10,1,0,True,0.30957539539485035,0.2744630071599045
baseline,R3-24_t20,1,0,True,0.22586282397600868,0.08273667462211615
baseline_local_contrast,R3-02_t00,0,1,False,1.2575603950703136,0.7549721559268099
baseline_local_contrast,R3-02_t10,0,1,True,0.8889973399918014,0.4972155926809865
baseline_local_contrast,R3-02_t10,1,0,True,0.8439746868215582,0.48766905330151156
baseline_local_contrast,R3-02_t20,0,1,True,0.5783389260902737,0.3142402545743834
baseline_local_contrast,R3-02_t20,1,0,True,0.7413114412150803,0.4120922832140016
baseline_local_contrast,R3-03_t00,0,0,True,0.5389598040156897,0.14956245027844073
baseline_local_contrast,R3-05_t10,1,0,True,0.19888021249583063,0.0007955449482895784
baseline_local_contrast,R3-06_t00,0,1,True,0.37274999773776923,0.5393794749403341
baseline_local_contrast,R3-06_t00,1,0,False,3.0362785578092164,1.0
baseline_local_contrast,R3-09_t00,0,1,True,0.6176796030073324,0.5099443118536198
baseline_local_contrast,R3-09_t20,0,1,True,0.4855123125351892,0.2863961813842482
baseline_local_contrast,R3-09_t20,1,0,True,0.6260634700539885,0.3532219570405728
baseline_local_contrast,R3-10_t00,0,1,True,0.7562351028322555,0.3317422434367542
baseline_local_contrast,R3-10_t00,1,0,True,0.1882222417947074,0.24423229912490055
baseline_local_contrast,R3-10_t20,0,1,False,1.2495545512774837,0.7525855210819411
baseline_local_contrast,R3-10_t20,1,0,True,0.8197631204384433,0.42482100238663484
baseline_local_contrast,R3-14_t10,0,1,True,0.878934253496448,0.5210819411296739
baseline_local_contrast,R3-14_t20,0,1,True,0.8701256987135428,0.5441527446300716
baseline_local_contrast,R3-14_t20,1,0,False,1.1565910985948875,0.7852028639618138
baseline_local_contrast,R3-22_t20,1,0,True,0.5988541323066413,0.36515513126491644
baseline_local_contrast,R3-23_t00,1,0,True,0.8395453395192587,0.431980906921241
baseline_local_contrast,R3-23_t20,0,0,True,0.36645262953859753,0.05489260143198091
baseline_local_contrast,R3-24_t00,1,0,False,1.1651908850181134,0.6770087509944311
baseline_local_contrast,R3-24_t10,0,1,False,1.8181070695379946,0.863961813842482
baseline_local_contrast,R3-24_t10,1,0,True,0.5773866747554255,0.38424821002386633
baseline_local_contrast,R3-24_t20,1,0,True,0.40420434140191885,0.16945107398568018
frozen_roi,R3-02_t00,0,1,True,0.9510759282910799,0.649164677804296
frozen_roi,R3-02_t00,1,0,False,1.22191645464669,0.7804295942720764
frozen_roi,R3-02_t10,0,1,True,0.263030368697193,0.20393299344501092
frozen_roi,R3-02_t10,1,0,True,0.13289302444509515,0.30152949745083757
frozen_roi,R3-02_t20,0,1,True,0.5669333412591387,0.29992044550517105
frozen_roi,R3-02_t20,1,0,True,0.2090861917784841,0.13842482100238662
frozen_roi,R3-05_t10,1,0,True,0.24070662671656223,0.0
frozen_roi,R3-09_t00,0,1,False,1.2407087923404092,0.6913285600636436
frozen_roi,R3-09_t00,1,0,False,1.2830973498989917,0.684964200477327
frozen_roi,R3-09_t20,0,1,False,1.0759627315049543,0.5974542561654733
frozen_roi,R3-09_t20,1,0,True,0.6738831366709891,0.38663484486873506
frozen_roi,R3-10_t00,0,1,True,0.410338447950985,0.04455051710421639
frozen_roi,R3-10_t00,1,0,True,0.26709607020494275,0.2832140015910899
frozen_roi,R3-10_t20,0,1,True,0.8140731410836085,0.5148319050758076
frozen_roi,R3-10_t20,1,0,True,0.7707989662811501,0.4067237969676994
frozen_roi,R3-22_t20,0,1,True,0.6045253411801098,0.5871121718377088
frozen_roi,R3-22_t20,1,0,False,1.1162606250401232,0.649164677804296
frozen_roi,R3-23_t00,0,1,False,1.889293365517245,0.9013524264120922
frozen_roi,R3-23_t00,1,0,True,0.8160287065522905,0.4105011933174224
frozen_roi,R3-23_t20,0,0,True,0.7342609514583068,0.3018867924528302
frozen_roi,R3-24_t00,1,0,False,1.1314867281981849,0.6563245823389021
frozen_roi,R3-24_t10,0,1,False,2.082364920948936,0.9570405727923628
frozen_roi,R3-24_t10,1,0,True,0.30957539539485035,0.2744630071599045
frozen_roi,R3-24_t20,1,0,True,0.22586282397600868,0.08273667462211615
frozen_roi_local_contrast,R3-02_t00,0,1,False,1.2575603950703136,0.7549721559268099
frozen_roi_local_contrast,R3-02_t00,1,0,False,1.5828553912332215,0.9610182975338106
frozen_roi_local_contrast,R3-02_t10,0,1,True,0.9203487430137643,0.5018208302986161
frozen_roi_local_contrast,R3-02_t10,1,0,True,0.8795300199232341,0.5258557902403496
frozen_roi_local_contrast,R3-02_t20,0,1,True,0.5783389260902737,0.3142402545743834
frozen_roi_local_contrast,R3-02_t20,1,0,True,0.7413114412150803,0.4120922832140016
frozen_roi_local_contrast,R3-05_t10,1,0,True,0.16200013595855983,0.0
frozen_roi_local_contrast,R3-09_t00,0,1,True,0.6176796030073324,0.5099443118536198
frozen_roi_local_contrast,R3-09_t00,1,0,False,1.4470298580482444,0.7899761336515513
frozen_roi_local_contrast,R3-09_t20,0,1,True,0.4855123125351892,0.2863961813842482
frozen_roi_local_contrast,R3-09_t20,1,0,True,0.6260634700539885,0.3532219570405728
frozen_roi_local_contrast,R3-10_t00,0,1,True,0.7562351028322555,0.3317422434367542
frozen_roi_local_contrast,R3-10_t00,1,0,True,0.1882222417947074,0.24423229912490055
frozen_roi_local_contrast,R3-10_t20,0,1,False,1.2941841528804214,0.7673038892551087
frozen_roi_local_contrast,R3-10_t20,1,0,True,0.8341242983949838,0.46407382992748847
frozen_roi_local_contrast,R3-22_t20,0,1,True,0.4892872240984483,0.5178997613365155
frozen_roi_local_contrast,R3-22_t20,1,0,True,0.5988541323066413,0.36515513126491644
frozen_roi_local_contrast,R3-23_t00,0,1,False,1.2049039872613678,0.649164677804296
frozen_roi_local_contrast,R3-23_t00,1,0,True,0.8395453395192587,0.431980906921241
frozen_roi_local_contrast,R3-23_t20,0,0,True,0.42162301358626797,0.022197558268590455
frozen_roi_local_contrast,R3-24_t00,1,0,False,1.1651908850181134,0.6770087509944311
frozen_roi_local_contrast,R3-24_t10,0,1,False,1.8181070695379946,0.863961813842482
frozen_roi_local_contrast,R3-24_t10,1,0,True,0.5773866747554255,0.38424821002386633
frozen_roi_local_contrast,R3-24_t20,1,0,True,0.40420434140191885,0.16945107398568018
