video_id,peaks,rr_bpm,duration_seconds,truth_count,truth_rr,source_rejected_count,selected_fusion_mode,reference_reliability
16170075,27.0,53.90309956893412,30.05393034825871,28.0,55.89951066407982,0,min,completed
170272,26.0,51.969079532374295,30.017849344978167,24.0,47.97145802988396,0,left,completed
170333,18.0,35.949333748516146,30.042281382880383,16.0,31.95496333201435,0,right,completed
170334,18.0,36.04975059920969,29.95859838274933,18.0,36.04975059920969,0,right,completed
177395,35.0,70.00450531088781,29.998069276741063,36.0,72.00463403405602,0,left,completed
190546,23.0,45.98188371023203,30.01181962653953,21.0,41.983459039777074,0,right,uncertain
190588,25.0,50.06795015911842,29.959285236022765,23.0,46.06251414638894,0,min,completed
196434,15.0,29.95426971657581,30.04580009847366,16.0,31.951221031014196,0,left,completed
200713,20.0,40.03261218107618,29.975560789591743,18.0,36.029350962968564,0,max,completed
200718,18.0,35.93329976039395,30.05568670847165,17.0,33.937005329260955,0,right,completed
210989,19.0,37.952122815549465,30.03784545967288,18.0,35.95464266736265,0,right,completed
211056,26.0,52.06028496462582,29.96526048714479,24.0,48.0556476596546,0,left,completed
211070,25.0,50.07880205463353,29.952793167128345,28.0,56.08825830118955,0,left,uncertain
ba170296,18.0,35.98096787775375,30.01586849106804,18.0,35.98096787775375,0,left,completed
ba177610,23.0,46.04135243121542,29.973055245535715,23.0,46.04135243121542,0,left,completed
ba455,29.0,58.020135628069966,29.98958863443596,27.0,54.01874696406514,0,left,completed
ba6516,24.0,47.977595439000005,30.01400938967136,22.0,43.979462485750005,0,right,completed
bs0514,20.0,40.0300046648156,29.97751336898396,21.0,42.03150489805638,0,min,completed
bs170227,18.0,35.94231787141648,30.048145583256385,19.0,37.93911330871739,0,right,completed
bs177611,19.0,38.01440597473534,29.988631172026007,19.0,38.01440597473534,0,right,uncertain
bs189556,13.0,26.003282862119793,29.99621256038647,13.0,26.003282862119793,0,right,completed
bs190624,27.0,54.06641738707528,29.963146779303063,27.0,54.06641738707528,0,max,completed
bs200673,31.0,61.95872201193185,30.01998652654272,33.0,65.95605891592746,0,min,completed
bs200794,29.0,58.08854780587004,29.954269227301413,29.0,58.08854780587004,0,left,uncertain
bs210974,25.0,49.947837935659685,30.03132992327366,28.0,55.94157848793885,0,min,completed
bs211046,17.0,34.048621162765734,29.95716023635732,19.0,38.0543412995617,0,left,completed
bs211063,32.0,64.07799590670727,29.963483920367533,32.0,64.07799590670727,0,left,completed
bs450,31.0,62.10008563183851,29.95164951989026,33.0,66.10654276937647,0,right,completed
bs455,20.0,39.98315409553117,30.0126397515528,21.0,41.98231180030773,0,right,completed
bs4717,31.0,62.021524292074794,29.98958863443596,30.0,60.020829960072376,0,right,completed
bs6516,19.0,37.946393190572046,30.042380952380952,18.0,35.94921460159457,1.0,min,completed
ns170082,31.0,61.95027971778302,30.024077509791795,29.0,57.95348747792605,1.0,max,completed
ns179166,35.0,69.89445162719052,30.04530332681017,34.0,67.89746729498508,0,left,completed
ns196527,37.0,73.87855479633181,30.04931547619048,33.0,65.89168400753918,0,left,completed
ns200886,30.0,59.926001716161004,30.037044829482944,28.0,55.930934935083606,0,left,completed
ns210947,26.0,52.03073545554336,29.98227848101266,24.0,48.028371189732326,0,min,uncertain
ns211003,22.0,43.94085910649132,30.04037760847963,21.0,41.94354732892353,0,right,completed
ns211095,26.0,51.96882085407247,30.01799876084263,23.0,45.972418447833334,0,right,uncertain
ns211146,32.0,64.06155442206276,29.97117408906883,28.0,56.053860119304915,0,min,uncertain
zs170236,31.0,62.036397819872406,29.98239848484848,30.0,60.03522369665071,0,min,completed
zs170416,21.0,41.93461806860272,30.046774193548387,22.0,43.931504643298084,0,right,completed
zs170554,22.0,44.04830026509091,29.967104111986004,23.0,46.05049573168595,0,right,completed
zs190621,18.0,36.02662509730052,29.97782881641402,21.0,42.03106261351727,0,min,uncertain
zs197000,25.0,49.90897559182175,30.054714251554284,26.0,51.90533461549462,0,mean,completed
zs200751,29.0,57.99536111931702,30.00239961296565,29.0,57.99536111931702,0,left,completed
zs200783,22.0,44.0066116871293,29.99549270879364,21.0,42.00631115589615,0,right,completed
zs211062,20.0,39.942485437915586,30.04319803446419,16.0,31.953988350332466,0,left,completed
