label,videos,rr_valid_videos,rr_r2,rr_pearson_r2,rr_mae,rr_rmse,count_valid_videos,count_mae,exact_count,within_one_count,abs_count_error_ge2,evaluation_note,confidence_threshold,margin_threshold,applied_corrections
threshold_candidate,47,47,0.9009896071948877,0.9095418396665106,2.8505034437837162,3.536589912856967,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.5,0.35,2
threshold_candidate,47,47,0.9009896071948877,0.9095418396665106,2.8505034437837162,3.536589912856967,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.51,0.35,2
threshold_candidate,47,47,0.9009896071948877,0.9095418396665106,2.8505034437837162,3.536589912856967,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.52,0.35,2
threshold_candidate,47,47,0.9009896071948877,0.9095418396665106,2.8505034437837162,3.536589912856967,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.53,0.35,2
threshold_candidate,47,47,0.9009896071948877,0.9095418396665106,2.8505034437837162,3.536589912856967,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.54,0.35,2
threshold_candidate,47,47,0.9009896071948877,0.9095418396665106,2.8505034437837162,3.536589912856967,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.35,2
threshold_candidate,47,47,0.9009896071948877,0.9095418396665106,2.8505034437837162,3.536589912856967,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.56,0.35,2
threshold_candidate,47,47,0.9009896071948877,0.9095418396665106,2.8505034437837162,3.536589912856967,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.57,0.35,2
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.5,0.32,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.5,0.33,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.51,0.32,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.51,0.33,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.52,0.32,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.52,0.33,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.53,0.32,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.53,0.33,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.54,0.32,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.54,0.33,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.1,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.11,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.12,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.13,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.14,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.15,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.16,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.17,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.18,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.19,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.2,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.21,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.22,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.23,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.24,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.25,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.26,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.27,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.28,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.29,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.3,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.31,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.32,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.55,0.33,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.56,0.1,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.56,0.11,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.56,0.12,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.56,0.13,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.56,0.14,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.56,0.15,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.56,0.16,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.56,0.17,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.56,0.18,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.56,0.19,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.56,0.2,4
threshold_candidate,47,47,0.9009884319705664,0.9076487747184045,2.8505405297429114,3.5366109019371472,47,1.425531914893617,9,27,20,existing_out_of_fold_predictions_threshold_scan,0.56,0.21,4
