window_id,mode,score
jiufu_65b745e540b8c7_first30,mean,0.05979951575041245
jiufu_65b745e540b8c7_first30,max,0.07569926091896363
jiufu_65b745e540b8c7_first30,min,0.04649719878385993
jiufu_65b745e540b8c7_first30,left,0.0822130185818162
jiufu_65b745e540b8c7_first30,right,0.041798699385079685
jiufu_2e919f7b4ce7d4_first30,mean,0.01975149362966021
jiufu_2e919f7b4ce7d4_first30,max,0.018943080189621934
jiufu_2e919f7b4ce7d4_first30,min,0.018985262072337528
jiufu_2e919f7b4ce7d4_first30,left,0.02066960188134176
jiufu_2e919f7b4ce7d4_first30,right,0.018576325022074198
jiufu_f7266533e3399d_first30,mean,0.20235392233234106
jiufu_f7266533e3399d_first30,max,0.08464880716528429
jiufu_f7266533e3399d_first30,min,0.2376129900422661
jiufu_f7266533e3399d_first30,left,0.23772988313428325
jiufu_f7266533e3399d_first30,right,0.0774356814388494
jiufu_bd77cfa7950eaa_first30,mean,0.04163152315078419
jiufu_bd77cfa7950eaa_first30,max,0.03226594394155206
jiufu_bd77cfa7950eaa_first30,min,0.062101703026870535
jiufu_bd77cfa7950eaa_first30,left,0.03419006108618267
jiufu_bd77cfa7950eaa_first30,right,0.07638533586118108
jiufu_90ed4ac916a295_first30,mean,0.055420070290627274
jiufu_90ed4ac916a295_first30,max,0.05790336256959924
jiufu_90ed4ac916a295_first30,min,0.049289273328046994
jiufu_90ed4ac916a295_first30,left,0.05800352189418051
jiufu_90ed4ac916a295_first30,right,0.039509135748976874
jiufu_cd5eea76388f30_first30,mean,0.06462048013011944
jiufu_cd5eea76388f30_first30,max,0.11877776262947505
jiufu_cd5eea76388f30_first30,min,0.046979172175167366
jiufu_cd5eea76388f30_first30,left,0.06999441133963394
jiufu_cd5eea76388f30_first30,right,0.08575320486198772
jiufu_6cbcb0311b3ebf_first30,mean,0.12755439632376073
jiufu_6cbcb0311b3ebf_first30,max,0.08947577796711406
jiufu_6cbcb0311b3ebf_first30,min,0.13548952800251338
jiufu_6cbcb0311b3ebf_first30,left,0.11974875738160831
jiufu_6cbcb0311b3ebf_first30,right,0.05674475238181549
jiufu_6a641dd078f572_first30,mean,0.13384950762303757
