frame_id,variant,keypoint,x,y,radius,confidence,inside_native,source
R3-02_t00,frozen_roi,0,447.034423828125,755.9613647460938,20,0.999376118183136,True,detected
R3-02_t00,frozen_roi,1,339.9827423095703,755.2269897460938,20,0.003406795207411,True,opposite_inferred
R3-02_t10,frozen_roi,0,580.7210083007812,452.8161010742188,21,0.9998936653137208,True,detected
R3-02_t10,frozen_roi,1,469.6941833496094,448.0564270019531,21,0.973076343536377,True,detected
R3-02_t15,frozen_roi,0,597.152587890625,411.7284851074219,21,0.9996352195739746,True,detected
R3-02_t15,frozen_roi,1,484.2305603027344,412.3695373535156,21,0.9991057515144348,True,detected
R3-02_t20,frozen_roi,0,602.7296142578125,429.6632385253906,20,0.9943978786468506,True,detected
R3-02_t20,frozen_roi,1,496.54791259765625,432.57269287109375,20,0.9891746044158936,True,detected
R3-05_t10,frozen_roi,1,930.0787963867188,720.5106811523438,18,0.9997735619544984,True,detected
R3-05_t25,frozen_roi,0,1051.0633544921875,482.1803588867188,18,9.199827036354692e-05,True,low_conf_inferred
R3-05_t25,frozen_roi,1,904.0974731445312,495.0856323242188,18,0.9998722076416016,True,detected
R3-09_t00,frozen_roi,0,778.1522827148438,735.708251953125,20,0.9995177984237672,True,detected
R3-09_t00,frozen_roi,1,636.8459167480469,732.0802764892578,20,0.0912636741995811,True,opposite_inferred
R3-09_t15,frozen_roi,0,684.6768188476562,898.0335083007812,20,0.9996159076690674,True,detected
R3-09_t15,frozen_roi,1,539.025390625,896.97705078125,20,0.8814528584480286,True,detected
R3-09_t20,frozen_roi,0,848.1226806640625,527.1392211914062,20,0.9997473359107972,True,detected
R3-09_t20,frozen_roi,1,702.7672119140625,519.118408203125,20,0.8727366924285889,True,detected
R3-09_t25,frozen_roi,0,843.8809204101562,254.79037475585935,20,0.999112904071808,True,detected
R3-09_t25,frozen_roi,1,697.359619140625,244.40545654296875,20,0.9329680800437928,True,detected
R3-10_t00,frozen_roi,0,549.6657104492188,492.775634765625,20,0.9998606443405152,True,detected
R3-10_t00,frozen_roi,1,353.2779541015625,494.3876953125,20,0.9057146906852722,True,detected
R3-10_t20,frozen_roi,0,940.2680053710938,249.4210205078125,22,0.9997535347938538,True,detected
R3-10_t20,frozen_roi,1,692.3167724609375,242.28163146972656,22,0.9934709072113036,True,detected
R3-11_t20,frozen_roi,0,125.12139129638672,760.5647583007812,17,0.7447378039360046,True,detected
R3-11_t20,frozen_roi,1,18.204147338867188,757.8790893554688,17,0.0172061473131179,True,low_conf_inferred
R3-22_t05,frozen_roi,0,627.7791442871094,1037.0332641601562,20,0.0019734932575374,True,opposite_inferred
R3-22_t05,frozen_roi,1,493.2700805664063,1036.916259765625,20,0.9996851682662964,True,detected
R3-22_t15,frozen_roi,0,848.4461975097656,1008.88037109375,20,4.210198312648572e-05,True,opposite_inferred
R3-22_t15,frozen_roi,1,713.9371337890625,1008.7633666992188,20,0.9991211295127868,True,detected
R3-22_t20,frozen_roi,0,612.0246887207031,1056.8093872070312,20,0.1781282126903534,True,opposite_inferred
R3-22_t20,frozen_roi,1,477.515625,1056.6923828125,20,0.9997029900550842,True,detected
R3-22_t25,frozen_roi,0,548.21337890625,955.0984497070312,21,0.99871027469635,True,detected
R3-22_t25,frozen_roi,1,398.2557067871094,953.5245361328124,21,0.999806582927704,True,detected
R3-23_t00,frozen_roi,0,768.1239624023438,771.6961059570312,20,0.0056150606833398,True,opposite_inferred
R3-23_t00,frozen_roi,1,612.0581665039062,770.9492797851562,20,0.9963086247444152,True,detected
R3-23_t20,frozen_roi,0,106.59999084472656,406.9571838378906,17,0.9997827410697936,True,detected
R3-23_t20,frozen_roi,1,0.0,404.72271728515625,17,8.250109385699034e-05,True,low_conf_inferred
R3-23_t25,frozen_roi,0,874.7521362304688,398.1629333496094,20,0.9902430176734924,True,detected
R3-23_t25,frozen_roi,1,718.6863403320312,397.4161071777344,20,0.2840174734592438,True,opposite_inferred
R3-24_t00,frozen_roi,0,893.3089599609375,471.0704345703125,20,0.0180056504905223,True,opposite_inferred
R3-24_t00,frozen_roi,1,739.1570434570312,472.8880004882813,20,0.985139548778534,True,detected
R3-24_t05,frozen_roi,0,589.1863403320312,372.8388366699219,20,0.9983739852905272,True,detected
R3-24_t05,frozen_roi,1,435.8081970214844,375.6528015136719,20,0.9998878240585328,True,detected
R3-24_t10,frozen_roi,0,443.9368286132813,498.4129333496094,20,0.9712554216384888,True,detected
R3-24_t10,frozen_roi,1,297.29571533203125,496.1220397949219,20,0.986407995223999,True,detected
R3-24_t20,frozen_roi,0,964.9751586914062,824.31103515625,20,0.0005789555725641,True,opposite_inferred
R3-24_t20,frozen_roi,1,810.8232421875,826.1286010742188,20,0.9932263493537904,True,detected
