frame_id,review_id,window_id,variant,detections,high_keypoints,elapsed_seconds,box_conf
R3-01_t00,R3-01,jiufu_bb78a10aeab6d5_first30,baseline,0,0,0.7029999999999745,
R3-01_t00,R3-01,jiufu_bb78a10aeab6d5_first30,rotate_minus30,0,0,0.01499999999987267,
R3-01_t00,R3-01,jiufu_bb78a10aeab6d5_first30,rotate_plus30,0,0,0.016000000000076398,
R3-01_t00,R3-01,jiufu_bb78a10aeab6d5_first30,gray,0,0,0.016000000000076398,
R3-01_t00,R3-01,jiufu_bb78a10aeab6d5_first30,clahe_l,0,0,0.0,
R3-01_t00,R3-01,jiufu_bb78a10aeab6d5_first30,lower75,0,0,0.016000000000076398,
R3-01_t00,R3-01,jiufu_bb78a10aeab6d5_first30,center75,0,0,0.01499999999987267,
R3-01_t05,R3-01,jiufu_bb78a10aeab6d5_first30,baseline,0,0,0.0,
R3-01_t05,R3-01,jiufu_bb78a10aeab6d5_first30,rotate_minus30,1,2,0.016000000000076398,0.6650709509849548
R3-01_t05,R3-01,jiufu_bb78a10aeab6d5_first30,rotate_plus30,0,0,0.016000000000076398,
R3-01_t05,R3-01,jiufu_bb78a10aeab6d5_first30,gray,0,0,0.01499999999987267,
R3-01_t05,R3-01,jiufu_bb78a10aeab6d5_first30,clahe_l,0,0,0.0,
R3-01_t05,R3-01,jiufu_bb78a10aeab6d5_first30,lower75,0,0,0.016000000000076398,
R3-01_t05,R3-01,jiufu_bb78a10aeab6d5_first30,center75,1,0,0.0,0.2549552619457245
R3-01_t10,R3-01,jiufu_bb78a10aeab6d5_first30,baseline,0,0,0.016000000000076398,
R3-01_t10,R3-01,jiufu_bb78a10aeab6d5_first30,rotate_minus30,0,0,0.0,
R3-01_t10,R3-01,jiufu_bb78a10aeab6d5_first30,rotate_plus30,0,0,0.016000000000076398,
R3-01_t10,R3-01,jiufu_bb78a10aeab6d5_first30,gray,0,0,0.0,
R3-01_t10,R3-01,jiufu_bb78a10aeab6d5_first30,clahe_l,0,0,0.0,
R3-01_t10,R3-01,jiufu_bb78a10aeab6d5_first30,lower75,0,0,0.016000000000076398,
R3-01_t10,R3-01,jiufu_bb78a10aeab6d5_first30,center75,0,0,0.01499999999987267,
R3-01_t15,R3-01,jiufu_bb78a10aeab6d5_first30,baseline,0,0,0.016000000000076398,
R3-01_t15,R3-01,jiufu_bb78a10aeab6d5_first30,rotate_minus30,0,0,0.0,
R3-01_t15,R3-01,jiufu_bb78a10aeab6d5_first30,rotate_plus30,0,0,0.0,
R3-01_t15,R3-01,jiufu_bb78a10aeab6d5_first30,gray,0,0,0.0,
R3-01_t15,R3-01,jiufu_bb78a10aeab6d5_first30,clahe_l,0,0,0.01499999999987267,
R3-01_t15,R3-01,jiufu_bb78a10aeab6d5_first30,lower75,0,0,0.016000000000076398,
R3-01_t15,R3-01,jiufu_bb78a10aeab6d5_first30,center75,0,0,0.01499999999987267,
R3-01_t20,R3-01,jiufu_bb78a10aeab6d5_first30,baseline,0,0,0.0,
R3-01_t20,R3-01,jiufu_bb78a10aeab6d5_first30,rotate_minus30,0,0,0.0,
R3-01_t20,R3-01,jiufu_bb78a10aeab6d5_first30,rotate_plus30,0,0,0.0,
R3-01_t20,R3-01,jiufu_bb78a10aeab6d5_first30,gray,0,0,0.0,
R3-01_t20,R3-01,jiufu_bb78a10aeab6d5_first30,clahe_l,0,0,0.01499999999987267,
R3-01_t20,R3-01,jiufu_bb78a10aeab6d5_first30,lower75,0,0,0.016000000000076398,
R3-01_t20,R3-01,jiufu_bb78a10aeab6d5_first30,center75,0,0,0.0,
R3-01_t25,R3-01,jiufu_bb78a10aeab6d5_first30,baseline,0,0,0.01499999999987267,
R3-01_t25,R3-01,jiufu_bb78a10aeab6d5_first30,rotate_minus30,0,0,0.016000000000076398,
R3-01_t25,R3-01,jiufu_bb78a10aeab6d5_first30,rotate_plus30,0,0,0.01499999999987267,
R3-01_t25,R3-01,jiufu_bb78a10aeab6d5_first30,gray,0,0,0.0,
R3-01_t25,R3-01,jiufu_bb78a10aeab6d5_first30,clahe_l,0,0,0.016000000000076398,
R3-01_t25,R3-01,jiufu_bb78a10aeab6d5_first30,lower75,0,0,0.01499999999987267,
R3-01_t25,R3-01,jiufu_bb78a10aeab6d5_first30,center75,0,0,0.016000000000076398,
R3-02_t00,R3-02,jiufu_7cb985938d0a6a_first30,baseline,1,1,0.016000000000076398,0.6816357374191284
R3-02_t00,R3-02,jiufu_7cb985938d0a6a_first30,rotate_minus30,0,0,0.01499999999987267,
R3-02_t00,R3-02,jiufu_7cb985938d0a6a_first30,rotate_plus30,1,2,0.0,0.8860196471214294
R3-02_t00,R3-02,jiufu_7cb985938d0a6a_first30,gray,0,0,0.01499999999987267,
R3-02_t00,R3-02,jiufu_7cb985938d0a6a_first30,clahe_l,0,0,0.016000000000076398,
R3-02_t00,R3-02,jiufu_7cb985938d0a6a_first30,lower75,1,1,0.01499999999987267,0.7875223159790039
R3-02_t00,R3-02,jiufu_7cb985938d0a6a_first30,center75,1,1,0.016000000000076398,0.7655406594276428
R3-02_t05,R3-02,jiufu_7cb985938d0a6a_first30,baseline,0,0,0.0,
R3-02_t05,R3-02,jiufu_7cb985938d0a6a_first30,rotate_minus30,0,0,0.01499999999987267,
R3-02_t05,R3-02,jiufu_7cb985938d0a6a_first30,rotate_plus30,0,0,0.016000000000076398,
R3-02_t05,R3-02,jiufu_7cb985938d0a6a_first30,gray,0,0,0.016000000000076398,
R3-02_t05,R3-02,jiufu_7cb985938d0a6a_first30,clahe_l,0,0,0.0,
R3-02_t05,R3-02,jiufu_7cb985938d0a6a_first30,lower75,0,0,0.016000000000076398,
R3-02_t05,R3-02,jiufu_7cb985938d0a6a_first30,center75,0,0,0.016000000000076398,
R3-02_t10,R3-02,jiufu_7cb985938d0a6a_first30,baseline,1,2,0.01499999999987267,0.8923643827438354
R3-02_t10,R3-02,jiufu_7cb985938d0a6a_first30,rotate_minus30,0,0,0.0,
R3-02_t10,R3-02,jiufu_7cb985938d0a6a_first30,rotate_plus30,1,1,0.0,0.8107797503471375
R3-02_t10,R3-02,jiufu_7cb985938d0a6a_first30,gray,1,2,0.0,0.8956103324890137
R3-02_t10,R3-02,jiufu_7cb985938d0a6a_first30,clahe_l,1,2,0.016000000000076398,0.9043750762939453
R3-02_t10,R3-02,jiufu_7cb985938d0a6a_first30,lower75,1,2,0.01499999999987267,0.8640666007995605
R3-02_t10,R3-02,jiufu_7cb985938d0a6a_first30,center75,1,2,0.016000000000076398,0.896268904209137
R3-02_t15,R3-02,jiufu_7cb985938d0a6a_first30,baseline,1,2,0.016000000000076398,0.8952826857566833
R3-02_t15,R3-02,jiufu_7cb985938d0a6a_first30,rotate_minus30,1,1,0.01499999999987267,0.28275084495544434
R3-02_t15,R3-02,jiufu_7cb985938d0a6a_first30,rotate_plus30,1,1,0.0,0.683670163154602
R3-02_t15,R3-02,jiufu_7cb985938d0a6a_first30,gray,1,2,0.0,0.8951689600944519
R3-02_t15,R3-02,jiufu_7cb985938d0a6a_first30,clahe_l,1,2,0.016000000000076398,0.892829179763794
R3-02_t15,R3-02,jiufu_7cb985938d0a6a_first30,lower75,1,2,0.01499999999987267,0.8816123008728027
