variant,frame_id,predicted_keypoint,human_region,normalized_center_distance,center_inside,radius,ROI_outside_human_ellipse_fraction
baseline,R3-02_t00,0,1,0.9510759282910799,True,20.0,0.649164677804296
baseline,R3-02_t10,0,1,0.263030368697193,True,20.0,0.18615751789976134
baseline,R3-02_t10,1,0,0.13289302444509515,True,20.0,0.2609387430389817
baseline,R3-02_t20,0,1,0.5669333412591387,True,20.0,0.29992044550517105
baseline,R3-02_t20,1,0,0.2090861917784841,True,20.0,0.13842482100238662
baseline,R3-03_t00,0,0,0.5849290745009026,True,20.0,0.18854415274463007
baseline,R3-05_t10,1,0,0.24070662671656223,True,20.0,0.011933174224343675
baseline,R3-06_t00,0,1,0.8059838702387981,True,20.0,0.5783611774065235
baseline,R3-06_t00,1,0,2.216767131239226,False,20.0,0.9427207637231504
baseline,R3-09_t00,0,1,1.2407087923404092,False,20.0,0.6913285600636436
baseline,R3-09_t20,0,1,1.0759627315049543,False,20.0,0.5974542561654733
baseline,R3-09_t20,1,0,0.6738831366709891,True,20.0,0.38663484486873506
baseline,R3-10_t00,0,1,0.410338447950985,True,20.0,0.04455051710421639
baseline,R3-10_t00,1,0,0.26709607020494275,True,20.0,0.2832140015910899
baseline,R3-10_t20,0,1,0.8140731410836085,True,20.0,0.4916467780429594
baseline,R3-10_t20,1,0,0.7707989662811501,True,20.0,0.3731105807478122
baseline,R3-14_t10,0,1,1.5894028274466119,False,20.0,0.8011137629276054
baseline,R3-14_t20,0,1,1.631537945364017,False,20.0,0.8066825775656324
baseline,R3-14_t20,1,0,0.49143273980444824,True,20.0,0.6332537788385044
baseline,R3-22_t20,1,0,1.1162606250401232,False,20.0,0.649164677804296
baseline,R3-23_t00,1,0,0.8160287065522905,True,20.0,0.4105011933174224
baseline,R3-23_t20,0,0,0.7342609514583068,True,20.0,0.36515513126491644
baseline,R3-24_t00,1,0,1.1314867281981849,False,20.0,0.6563245823389021
baseline,R3-24_t10,0,1,2.082364920948936,False,20.0,0.9570405727923628
baseline,R3-24_t10,1,0,0.30957539539485035,True,20.0,0.2744630071599045
baseline,R3-24_t20,1,0,0.22586282397600868,True,20.0,0.08273667462211615
center75,R3-02_t00,0,1,0.9539502946659588,True,20.0,0.6252983293556086
center75,R3-02_t10,0,1,0.32875455617849186,True,20.0,0.21400159108989658
center75,R3-02_t10,1,0,0.36860490105802746,True,20.0,0.31901352426412094
center75,R3-02_t20,0,1,0.4706818916191723,True,20.0,0.23229912490055687
center75,R3-02_t20,1,0,0.18017035945556636,True,20.0,0.12967382657120127
center75,R3-03_t00,0,0,0.4646276365245719,True,20.0,0.10898965791567224
center75,R3-06_t00,0,1,0.6223807560570294,True,20.0,0.5019888623707239
center75,R3-06_t00,1,0,1.9153355045406186,False,20.0,0.8774860779634049
center75,R3-06_t10,0,1,1.5762723557592986,False,20.0,0.8217979315831344
center75,R3-06_t10,1,0,1.0916006574429629,False,20.0,0.6587112171837709
center75,R3-09_t00,0,1,2.2541028047058487,False,20.0,0.9824980111376292
center75,R3-09_t20,0,1,1.2697684840614243,False,20.0,0.7072394590294352
center75,R3-09_t20,1,0,0.7223077818066581,True,20.0,0.42720763723150357
center75,R3-10_t00,0,1,0.7212464361545334,True,20.0,0.30867143993635643
center75,R3-10_t00,1,0,1.5268787215101756,False,20.0,0.8138424821002387
center75,R3-14_t10,0,1,1.1380033347510605,False,20.0,0.6125696101829753
center75,R3-14_t20,0,1,1.2172840344795763,False,20.0,0.6945107398568019
center75,R3-14_t20,1,0,0.1555413442739654,True,20.0,0.6109785202863962
center75,R3-22_t20,0,1,1.4950301267927038,False,20.0,0.726332537788385
center75,R3-22_t20,1,0,0.606216759661312,True,20.0,0.36515513126491644
center75,R3-23_t00,0,1,1.6144456369925841,False,20.0,0.7852028639618138
center75,R3-23_t00,1,0,1.1148205607650057,False,20.0,0.6507557677008751
center75,R3-24_t00,1,0,0.8186966773101957,True,20.0,0.5091487669053302
center75,R3-24_t10,0,1,1.5599192679712566,False,20.0,0.8528241845664281
center75,R3-24_t10,1,0,0.2954033977044006,True,20.0,0.2545743834526651
center75,R3-24_t20,1,0,0.6525861373110562,True,20.0,0.3619729514717582
clahe_l,R3-02_t10,0,1,0.4005342135063399,True,20.0,0.23229912490055687
clahe_l,R3-02_t10,1,0,0.24075384651075385,True,20.0,0.28878281622911695
clahe_l,R3-02_t20,0,1,0.6220852126956332,True,20.0,0.35481304693715193
clahe_l,R3-02_t20,1,0,0.27099490036072543,True,20.0,0.16388225934765313
clahe_l,R3-03_t00,0,0,0.6696346293722036,True,20.0,0.2744630071599045
clahe_l,R3-05_t10,1,0,0.19542358227136641,True,20.0,0.0007955449482895784
clahe_l,R3-09_t00,0,1,1.4442221039709584,False,20.0,0.7684964200477327
clahe_l,R3-09_t20,0,1,0.7894629567297425,True,20.0,0.441527446300716
clahe_l,R3-09_t20,1,0,0.9880076718928077,True,20.0,0.5664280031821798
