frame_id,variant,keypoint,ellipse_scale,center_inside,outside_current,outside_after_human_recentering
R3-02_t00,baseline,0,0.8,True,0.7947494033412887,0.3134447096260939
R3-02_t00,baseline,0,1.0,True,0.649164677804296,0.1280827366746221
R3-02_t00,baseline,0,1.2,True,0.47255369928400953,0.011933174224343675
R3-02_t00,frozen_roi,0,0.8,True,0.7947494033412887,0.3134447096260939
R3-02_t00,frozen_roi,0,1.0,True,0.649164677804296,0.1280827366746221
R3-02_t00,frozen_roi,0,1.2,True,0.47255369928400953,0.011933174224343675
R3-02_t00,frozen_roi,1,0.8,False,0.8957836117740652,0.22275258552108193
R3-02_t00,frozen_roi,1,1.0,False,0.7804295942720764,0.02545743834526651
R3-02_t00,frozen_roi,1,1.2,False,0.6292760540970564,0.0
R3-02_t10,baseline,0,0.8,True,0.33890214797136037,0.3206046141607001
R3-02_t10,baseline,0,1.0,True,0.18615751789976134,0.13126491646778043
R3-02_t10,baseline,0,1.2,True,0.09387430389817025,0.011933174224343675
R3-02_t10,baseline,1,0.8,True,0.4972155926809865,0.4972155926809865
R3-02_t10,baseline,1,1.0,True,0.2609387430389817,0.2577565632458234
R3-02_t10,baseline,1,1.2,True,0.09944311853619729,0.09228321400159109
R3-02_t10,frozen_roi,0,0.8,True,0.3736343772760379,0.359796067006555
R3-02_t10,frozen_roi,0,1.0,True,0.20393299344501092,0.16605972323379461
R3-02_t10,frozen_roi,0,1.2,True,0.11070648215586307,0.035688273852876914
R3-02_t10,frozen_roi,1,0.8,True,0.5396941005098325,0.5396941005098325
R3-02_t10,frozen_roi,1,1.0,True,0.30152949745083757,0.29934450109249816
R3-02_t10,frozen_roi,1,1.2,True,0.13401310997815002,0.1281864530225783
R3-02_t20,baseline,0,0.8,True,0.4996022275258552,0.21479713603818615
R3-02_t20,baseline,0,1.0,True,0.29992044550517105,0.02386634844868735
R3-02_t20,baseline,0,1.2,True,0.10978520286396182,0.0
R3-02_t20,baseline,1,0.8,True,0.37708830548926014,0.32140015910898967
R3-02_t20,baseline,1,1.0,True,0.13842482100238662,0.10023866348448687
R3-02_t20,baseline,1,1.2,True,0.021479713603818614,0.0007955449482895784
R3-02_t20,frozen_roi,0,0.8,True,0.4996022275258552,0.21479713603818615
R3-02_t20,frozen_roi,0,1.0,True,0.29992044550517105,0.02386634844868735
R3-02_t20,frozen_roi,0,1.2,True,0.10978520286396182,0.0
R3-02_t20,frozen_roi,1,0.8,True,0.37708830548926014,0.32140015910898967
R3-02_t20,frozen_roi,1,1.0,True,0.13842482100238662,0.10023866348448687
R3-02_t20,frozen_roi,1,1.2,True,0.021479713603818614,0.0007955449482895784
R3-03_t00,baseline,0,0.8,True,0.39856801909307876,0.0
R3-03_t00,baseline,0,1.0,True,0.18854415274463007,0.0
R3-03_t00,baseline,0,1.2,True,0.024661893396976928,0.0
R3-05_t10,baseline,1,0.8,True,0.12092283214001591,0.006364359586316627
R3-05_t10,baseline,1,1.0,True,0.011933174224343675,0.0
R3-05_t10,baseline,1,1.2,True,0.0,0.0
R3-05_t10,frozen_roi,1,0.8,True,0.07730426164519326,0.0
R3-05_t10,frozen_roi,1,1.0,True,0.0,0.0
R3-05_t10,frozen_roi,1,1.2,True,0.0,0.0
R3-06_t00,baseline,0,0.8,True,0.6976929196499603,0.6778042959427207
R3-06_t00,baseline,0,1.0,True,0.5783611774065235,0.5019888623707239
R3-06_t00,baseline,0,1.2,True,0.4510739856801909,0.29832935560859186
R3-06_t00,baseline,1,0.8,False,0.9809069212410502,0.6913285600636436
R3-06_t00,baseline,1,1.0,False,0.9427207637231504,0.5155131264916468
R3-06_t00,baseline,1,1.2,False,0.8965791567223548,0.29992044550517105
R3-09_t00,baseline,0,0.8,False,0.7796340493237868,0.5839299920445505
R3-09_t00,baseline,0,1.0,False,0.6913285600636436,0.3556085918854415
R3-09_t00,baseline,0,1.2,False,0.5950676213206046,0.1654733492442323
R3-09_t00,frozen_roi,0,0.8,False,0.7796340493237868,0.5839299920445505
R3-09_t00,frozen_roi,0,1.0,False,0.6913285600636436,0.3556085918854415
R3-09_t00,frozen_roi,0,1.2,False,0.5950676213206046,0.1654733492442323
R3-09_t00,frozen_roi,1,0.8,False,0.781225139220366,0.42402545743834524
R3-09_t00,frozen_roi,1,1.0,False,0.684964200477327,0.22991249005568815
R3-09_t00,frozen_roi,1,1.2,False,0.5855210819411297,0.08353221957040573
R3-09_t20,baseline,0,0.8,False,0.7072394590294352,0.30628480509148764
R3-09_t20,baseline,0,1.0,False,0.5974542561654733,0.09705648369132856
R3-09_t20,baseline,0,1.2,False,0.48607796340493237,0.0007955449482895784
R3-09_t20,baseline,1,0.8,True,0.5712012728719172,0.17899761336515513
R3-09_t20,baseline,1,1.0,True,0.38663484486873506,0.003977724741447892
R3-09_t20,baseline,1,1.2,True,0.1957040572792363,0.0
R3-09_t20,frozen_roi,0,0.8,False,0.7072394590294352,0.30628480509148764
R3-09_t20,frozen_roi,0,1.0,False,0.5974542561654733,0.09705648369132856
R3-09_t20,frozen_roi,0,1.2,False,0.48607796340493237,0.0007955449482895784
R3-09_t20,frozen_roi,1,0.8,True,0.5712012728719172,0.17899761336515513
R3-09_t20,frozen_roi,1,1.0,True,0.38663484486873506,0.003977724741447892
R3-09_t20,frozen_roi,1,1.2,True,0.1957040572792363,0.0
R3-10_t00,baseline,0,0.8,True,0.22195704057279236,0.0
R3-10_t00,baseline,0,1.0,True,0.04455051710421639,0.0
R3-10_t00,baseline,0,1.2,True,0.0,0.0
R3-10_t00,baseline,1,0.8,True,0.4972155926809865,0.42402545743834524
R3-10_t00,baseline,1,1.0,True,0.2832140015910899,0.22991249005568815
R3-10_t00,baseline,1,1.2,True,0.11376292760540971,0.08353221957040573
R3-10_t00,frozen_roi,0,0.8,True,0.22195704057279236,0.0
R3-10_t00,frozen_roi,0,1.0,True,0.04455051710421639,0.0
R3-10_t00,frozen_roi,0,1.2,True,0.0,0.0
R3-10_t00,frozen_roi,1,0.8,True,0.4972155926809865,0.42402545743834524
R3-10_t00,frozen_roi,1,1.0,True,0.2832140015910899,0.22991249005568815
R3-10_t00,frozen_roi,1,1.2,True,0.11376292760540971,0.08353221957040573
R3-10_t20,baseline,0,0.8,True,0.6443914081145584,0.2569610182975338
R3-10_t20,baseline,0,1.0,True,0.4916467780429594,0.0
R3-10_t20,baseline,0,1.2,True,0.3333333333333333,0.0
R3-10_t20,baseline,1,0.8,True,0.6046141607000796,0.0
R3-10_t20,baseline,1,1.0,True,0.3731105807478122,0.0
R3-10_t20,baseline,1,1.2,True,0.14081145584725538,0.0
R3-10_t20,frozen_roi,0,0.8,True,0.6558998022412657,0.3843111404087014
R3-10_t20,frozen_roi,0,1.0,True,0.5148319050758076,0.03889255108767304
R3-10_t20,frozen_roi,0,1.2,True,0.3691496374423204,0.0
R3-10_t20,frozen_roi,1,0.8,True,0.6183256427158866,0.02109426499670402
R3-10_t20,frozen_roi,1,1.0,True,0.4067237969676994,0.0
R3-10_t20,frozen_roi,1,1.2,True,0.18984838497033618,0.0
R3-14_t10,baseline,0,0.8,False,0.8750994431185362,0.5155131264916468
R3-14_t10,baseline,0,1.0,False,0.8011137629276054,0.26730310262529833
R3-14_t10,baseline,0,1.2,False,0.7175815433571997,0.09626093874303898
R3-14_t20,baseline,0,0.8,False,0.8719172633253779,0.6252983293556086
R3-14_t20,baseline,0,1.0,False,0.8066825775656324,0.4152744630071599
R3-14_t20,baseline,0,1.2,False,0.7279236276849642,0.1877486077963405
R3-14_t20,baseline,1,0.8,True,0.7517899761336515,0.7517899761336515
R3-14_t20,baseline,1,1.0,True,0.6332537788385044,0.6109785202863962
R3-14_t20,baseline,1,1.2,True,0.5139220365950676,0.4407319013524264
R3-22_t20,baseline,1,0.8,False,0.7645186953062848,0.3349244232299125
R3-22_t20,baseline,1,1.0,False,0.649164677804296,0.06841686555290374
R3-22_t20,baseline,1,1.2,False,0.5306284805091488,0.0
R3-22_t20,frozen_roi,0,0.8,True,0.7159904534606205,0.6722354813046937
R3-22_t20,frozen_roi,0,1.0,True,0.5871121718377088,0.5035799522673031
R3-22_t20,frozen_roi,0,1.2,True,0.44311853619729513,0.3747016706443914
R3-22_t20,frozen_roi,1,0.8,False,0.7645186953062848,0.3349244232299125
R3-22_t20,frozen_roi,1,1.0,False,0.649164677804296,0.06841686555290374
R3-22_t20,frozen_roi,1,1.2,False,0.5306284805091488,0.0
R3-23_t00,baseline,1,0.8,True,0.5831344470962609,0.0007955449482895784
R3-23_t00,baseline,1,1.0,True,0.4105011933174224,0.0
R3-23_t00,baseline,1,1.2,True,0.24343675417661098,0.0
R3-23_t00,frozen_roi,0,0.8,False,0.9538583929992045,0.40731901352426414
R3-23_t00,frozen_roi,0,1.0,False,0.9013524264120922,0.22991249005568815
R3-23_t00,frozen_roi,0,1.2,False,0.8273667462211615,0.08989657915672236
R3-23_t00,frozen_roi,1,0.8,True,0.5831344470962609,0.0007955449482895784
R3-23_t00,frozen_roi,1,1.0,True,0.4105011933174224,0.0
R3-23_t00,frozen_roi,1,1.2,True,0.24343675417661098,0.0
R3-23_t20,baseline,0,0.8,True,0.5584725536992841,0.00954653937947494
R3-23_t20,baseline,0,1.0,True,0.36515513126491644,0.0
R3-23_t20,baseline,0,1.2,True,0.17342879872712808,0.0
R3-23_t20,frozen_roi,0,0.8,True,0.5249722530521642,0.0
R3-23_t20,frozen_roi,0,1.0,True,0.3018867924528302,0.0
R3-23_t20,frozen_roi,0,1.2,True,0.09100998890122086,0.0
R3-24_t00,baseline,1,0.8,False,0.7692919649960223,0.3540175019888624
R3-24_t00,baseline,1,1.0,False,0.6563245823389021,0.0405727923627685
R3-24_t00,baseline,1,1.2,False,0.5298329355608592,0.0
R3-24_t00,frozen_roi,1,0.8,False,0.7692919649960223,0.3540175019888624
R3-24_t00,frozen_roi,1,1.0,False,0.6563245823389021,0.0405727923627685
R3-24_t00,frozen_roi,1,1.2,False,0.5298329355608592,0.0
R3-24_t10,baseline,0,0.8,False,0.9920445505171042,0.6181384248210023
R3-24_t10,baseline,0,1.0,False,0.9570405727923628,0.4009546539379475
