frame_id,variant,keypoint,normalized_center_distance,center_inside,radius,current_RF_temperature,human_center_same_radius_RF_temperature,human_ellipse_RF_temperature,current_minus_human_ellipse,recentered_minus_human_ellipse,role
R3-02_t00,baseline,0,0.9510759282910799,True,20,31.093712635515217,31.34515981902837,31.412401244936266,-0.3186886094210486,-0.06724142590789484,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-02_t00,frozen_roi,0,0.9510759282910799,True,20,31.093712635515217,31.34515981902837,31.412401244936266,-0.3186886094210486,-0.06724142590789484,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-02_t00,frozen_roi,1,1.22191645464669,False,20,32.56077314408382,32.02140832336882,32.00923249735784,0.5515406467259751,0.012175826010974333,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-02_t10,baseline,0,0.263030368697193,True,20,31.794038955097967,31.702674000102338,31.629695416994707,0.1643435381032603,0.07297858310763061,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-02_t10,baseline,1,0.13289302444509515,True,20,32.59626842006166,32.559386445112374,32.65438162829324,-0.05811320823157473,-0.09499518318086331,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-02_t10,frozen_roi,0,0.263030368697193,True,21,31.780852677776725,31.699135828243797,31.629695416994707,0.15115726078201774,0.06944041124909006,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-02_t10,frozen_roi,1,0.13289302444509515,True,21,32.570871749761984,32.541402295196534,32.65438162829324,-0.08350987853125247,-0.11297933309670327,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-02_t20,baseline,0,0.5669333412591387,True,20,31.28064539129098,31.565664010564184,31.622364084959017,-0.3417186936680352,-0.05670007439483271,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-02_t20,baseline,1,0.2090861917784841,True,20,32.241700640520484,32.13693268538849,32.11596716015274,0.12573348036774235,0.02096552523574502,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-02_t20,frozen_roi,0,0.5669333412591387,True,20,31.28064539129098,31.565664010564184,31.622364084959017,-0.3417186936680352,-0.05670007439483271,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-02_t20,frozen_roi,1,0.2090861917784841,True,20,32.241700640520484,32.13693268538849,32.11596716015274,0.12573348036774235,0.02096552523574502,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-03_t00,baseline,0,0.5849290745009026,True,20,31.259663191016198,32.417417272375424,31.928529422857316,-0.6688662318411183,0.4888878495181075,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-05_t10,baseline,1,0.24070662671656223,True,20,32.02985457737621,32.01551889561212,31.93428175657382,0.09557282080239204,0.0812371390382971,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-05_t10,frozen_roi,1,0.24070662671656223,True,18,32.03267263783041,32.02388367284166,31.93428175657382,0.0983908812565879,0.08960191626784209,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-06_t00,baseline,0,0.8059838702387981,True,20,32.1777140428131,32.18883285164514,32.37512203380288,-0.197407990989781,-0.18628918215774348,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-06_t00,baseline,1,2.216767131239226,False,20,30.15901307326733,32.117146118107726,32.27658284475662,-2.1175697714892863,-0.15943672664889164,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-09_t00,baseline,0,1.2407087923404092,False,20,33.091644262241054,33.313112080904325,33.33349984782259,-0.24185558558153275,-0.02038776691826172,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-09_t00,frozen_roi,0,1.2407087923404092,False,20,33.091644262241054,33.313112080904325,33.33349984782259,-0.24185558558153275,-0.02038776691826172,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
R3-09_t00,frozen_roi,1,1.2830973498989917,False,20,33.37732748995461,33.68819506336658,33.76605173351632,-0.3887242435617111,-0.07785667014974251,human_reference_assisted_single_frame_control_not_RR_or_absolute_temperature_truth
