thermal_file_id,thermal_path,rgb_file_id,rgb_path,filename_clock_difference_seconds,same_cow_verified,synchronization_offset_seconds,synchronization_status
jiufu_bc67a7e651f9ae,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T094125-A1021134.MP4,jiufu_8c12f43b7a3a98,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_094133.mp4,8.0,,,candidate_only_not_verified
jiufu_d0a278abbce35d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T094255-372.MP4,jiufu_8c12f43b7a3a98,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_094133.mp4,-82.0,,,candidate_only_not_verified
jiufu_d0a278abbce35d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T094255-372.MP4,jiufu_ddc66e7434aa1e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_094307.mp4,12.0,,,candidate_only_not_verified
jiufu_72f9214b6e39c9,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T094432-950.MP4,jiufu_ddc66e7434aa1e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_094307.mp4,-85.0,,,candidate_only_not_verified
jiufu_72f9214b6e39c9,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T094432-950.MP4,jiufu_3d1758ac8d1f57,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_094448.mp4,16.0,,,candidate_only_not_verified
jiufu_24b7bfc0889845,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T094604-707.MP4,jiufu_3d1758ac8d1f57,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_094448.mp4,-76.0,,,candidate_only_not_verified
jiufu_24b7bfc0889845,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T094604-707.MP4,jiufu_6d30efc9b61140,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_094609.mp4,5.0,,,candidate_only_not_verified
jiufu_44a8b44ef7ff55,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T095323-1268.MP4,jiufu_fd447b4289cbe3,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_095328.mp4,5.0,,,candidate_only_not_verified
jiufu_46aefc048b6969,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T095513-989.MP4,jiufu_7c70aa22f3da31,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_095518.mp4,5.0,,,candidate_only_not_verified
jiufu_f19803e664a7cb,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T095912-A1022198.MP4,jiufu_0dced963a7e979,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_095745.mp4,-87.0,,,candidate_only_not_verified
jiufu_a0f9d7a300aa30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T100057-655.MP4,jiufu_6faf0528d092f5,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_100103.mp4,6.0,,,candidate_only_not_verified
jiufu_ca838441c991bb,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T100248-1634.MP4,jiufu_6b49a94a546ddc,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_100253.mp4,5.0,,,candidate_only_not_verified
jiufu_fc574ca4aa0e22,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T100437-639.MP4,jiufu_059ec66eda8cf7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_100443.mp4,6.0,,,candidate_only_not_verified
jiufu_b3d785db3f3107,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T100607-1600.MP4,jiufu_059ec66eda8cf7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_100443.mp4,-84.0,,,candidate_only_not_verified
jiufu_b3d785db3f3107,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T100607-1600.MP4,jiufu_934a30b4d2dcf0,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_100613.mp4,6.0,,,candidate_only_not_verified
jiufu_366cb8600d5450,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T100819-1469.MP4,jiufu_e4905ced56813b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_100828.mp4,9.0,,,candidate_only_not_verified
jiufu_a72be27aa4d574,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T101007-546.MP4,jiufu_18575765ada6bc,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_101012.mp4,5.0,,,candidate_only_not_verified
jiufu_3c840580af889d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T101133-882.MP4,jiufu_18575765ada6bc,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_101012.mp4,-81.0,,,candidate_only_not_verified
jiufu_3c840580af889d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T101133-882.MP4,jiufu_057a1f4343af41,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_101156.mp4,23.0,,,candidate_only_not_verified
jiufu_cc8f24e9070eb6,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\20240803T101522-677.MP4,jiufu_b687e8cb4afc1b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0803\VID_20240803_101527.mp4,5.0,,,candidate_only_not_verified
jiufu_658fffa214f378,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T085308-606.MP4,jiufu_8dac184a16cadc,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_085323.mp4,15.0,,,candidate_only_not_verified
jiufu_9fc4ab4ff20989,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T085751-913.MP4,jiufu_0a80ae7ea03e13,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_085800.mp4,9.0,,,candidate_only_not_verified
jiufu_080c7e20b51912,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T090336-716.MP4,jiufu_b503c86b11d551,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_090343.mp4,7.0,,,candidate_only_not_verified
jiufu_4a28bba3529d28,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T090706-674.MP4,jiufu_e8ef52417d5157,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_090711.mp4,5.0,,,candidate_only_not_verified
jiufu_8f5bef5fd5a268,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T091409-608.MP4,jiufu_3c16052d6af90b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_091414.mp4,5.0,,,candidate_only_not_verified
jiufu_1f9c8c3925bc30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T091622-A1022186.MP4,jiufu_24dcb5cfede909,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_091628.mp4,6.0,,,candidate_only_not_verified
jiufu_14d4ade8b6206e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T092029-619.MP4,jiufu_72f753842ba41b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_092037.mp4,8.0,,,candidate_only_not_verified
jiufu_b7b6bd430c8fe7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T092241-719.MP4,jiufu_297e1f4fb7eb14,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_092246.mp4,5.0,,,candidate_only_not_verified
jiufu_2b9099fd06d9e1,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T092512-678.MP4,jiufu_cf710476345a6f,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_092536.mp4,24.0,,,candidate_only_not_verified
jiufu_370ef65c280bd7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\20240804T092832-A1022249.MP4,jiufu_4329581f45987f,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0804\VID_20240804_092838.mp4,6.0,,,candidate_only_not_verified
