frame_id,human_region,baseline,candidate
R3-02_t00,1,0.649164677804296,0.8058870326173428
R3-02_t10,0,0.2609387430389817,0.27048528241845665
R3-02_t10,1,0.18615751789976134,0.14478918058870327
R3-02_t20,0,0.13842482100238662,0.19809069212410502
R3-02_t20,1,0.29992044550517105,0.2720763723150358
R3-03_t00,0,0.18854415274463007,0.20445505171042164
R3-05_t10,0,0.011933174224343675,1.0
R3-06_t00,0,0.9427207637231504,0.8743038981702467
R3-06_t00,1,0.5783611774065235,0.6682577565632458
R3-09_t00,1,0.6913285600636436,0.645186953062848
R3-09_t20,0,0.38663484486873506,0.42800318217979316
R3-09_t20,1,0.5974542561654733,0.645186953062848
R3-10_t00,0,0.2832140015910899,0.4805091487669053
R3-10_t00,1,0.04455051710421639,0.0883054892601432
R3-10_t20,0,0.3731105807478122,0.13206046141607
R3-10_t20,1,0.4916467780429594,0.8774860779634049
R3-14_t10,1,0.8011137629276054,0.7748607796340493
R3-14_t20,0,0.6332537788385044,0.6109785202863962
R3-14_t20,1,0.8066825775656324,0.6046141607000796
R3-22_t20,0,0.649164677804296,0.4120922832140016
R3-23_t00,0,0.4105011933174224,0.10739856801909307
R3-23_t20,0,0.36515513126491644,0.5600636435958631
R3-24_t00,0,0.6563245823389021,0.979315831344471
R3-24_t10,0,0.2744630071599045,0.5019888623707239
R3-24_t10,1,0.9570405727923628,0.6801909307875895
R3-24_t20,0,0.08273667462211615,0.35719968178202066
