variant,frames,visible_frames,human_regions,predicted_points,correct_points,point_recall,point_precision,point_F1,visible_no_box,visible_no_high_point,visible_no_correct,matched_ROI_pairs,median_ROI_outside_all_assigned,median_ROI_outside_correct_centers
baseline,36,30,50,27,18,0.36,0.6666666666666666,0.4675324675324675,12,12,16,26,0.3985680190930787,0.29156722354813047
candidate,36,30,50,39,21,0.42,0.5384615384615384,0.47191011235955055,7,7,14,38,0.5950676213206046,0.33651551312649164
