variant,frame_id,human_region,normalized_distance,center_inside,outside_fraction_r20
baseline,R3-02_t00,1,0.9510759282910799,True,0.649164677804296
baseline,R3-02_t10,1,0.26303036869719326,True,0.18615751789976134
baseline,R3-02_t10,0,0.13289302444509515,True,0.2609387430389817
baseline,R3-02_t20,1,0.5669333412591387,True,0.29992044550517105
baseline,R3-02_t20,0,0.2090861917784841,True,0.13842482100238662
baseline,R3-03_t00,0,0.5849290745009026,True,0.18854415274463007
baseline,R3-05_t10,0,0.24070662671656223,True,0.011933174224343675
baseline,R3-06_t00,1,0.8059838702387981,True,0.5783611774065235
baseline,R3-06_t00,0,2.216767131239226,False,0.9427207637231504
baseline,R3-09_t00,1,1.2407087923404092,False,0.6913285600636436
baseline,R3-09_t20,1,1.0759627315049543,False,0.5974542561654733
baseline,R3-09_t20,0,0.6738831366709891,True,0.38663484486873506
baseline,R3-10_t00,1,0.410338447950985,True,0.04455051710421639
baseline,R3-10_t00,0,0.26709607020494275,True,0.2832140015910899
baseline,R3-10_t20,1,0.8140731410836085,True,0.4916467780429594
baseline,R3-10_t20,0,0.7707989662811501,True,0.3731105807478122
baseline,R3-14_t10,1,1.5894028274466119,False,0.8011137629276054
baseline,R3-14_t20,1,1.631537945364017,False,0.8066825775656324
baseline,R3-14_t20,0,0.49143273980444824,True,0.6332537788385044
baseline,R3-22_t20,0,1.1162606250401232,False,0.649164677804296
baseline,R3-23_t00,0,0.8160287065522905,True,0.4105011933174224
baseline,R3-23_t20,0,0.7342609514583068,True,0.36515513126491644
baseline,R3-24_t00,0,1.1314867281981846,False,0.6563245823389021
baseline,R3-24_t10,1,2.0823649209489394,False,0.9570405727923628
baseline,R3-24_t10,0,0.30957539539485035,True,0.2744630071599045
baseline,R3-24_t20,0,0.22586282397600868,True,0.08273667462211615
candidate,R3-02_t00,1,1.251644053640335,False,0.8058870326173428
candidate,R3-02_t00,0,0.3189796828795058,True,0.16070007955449483
candidate,R3-02_t10,1,0.1451158166475724,True,0.14478918058870327
candidate,R3-02_t10,0,0.17569416181485475,True,0.27048528241845665
candidate,R3-02_t20,1,0.509223262610101,True,0.2720763723150358
candidate,R3-02_t20,0,0.34781218196220404,True,0.19809069212410502
candidate,R3-03_t00,0,0.5978155989856306,True,0.20445505171042164
candidate,R3-05_t10,0,2.064125222457457,False,1.0
candidate,R3-06_t00,1,1.2486936795530514,False,0.6682577565632458
candidate,R3-06_t00,0,1.9130109502342194,False,0.8743038981702467
candidate,R3-06_t10,1,0.34859229439648626,True,0.27128082736674625
candidate,R3-06_t10,0,1.4109405111709823,False,0.7494033412887828
candidate,R3-06_t20,0,1.5198096586322756,False,0.8918058870326173
candidate,R3-09_t00,1,1.1252730765898997,False,0.645186953062848
candidate,R3-09_t00,0,1.400441314008886,False,0.745425616547335
candidate,R3-09_t10,1,1.1882620406610644,False,0.6738265712012729
candidate,R3-09_t10,0,1.260972832664024,False,0.7374701670644391
candidate,R3-09_t20,1,1.1452411486558813,False,0.645186953062848
candidate,R3-09_t20,0,0.7640834044905137,True,0.42800318217979316
candidate,R3-10_t00,1,0.4728279995812881,True,0.0883054892601432
candidate,R3-10_t00,0,0.7720280807841543,True,0.4805091487669053
candidate,R3-10_t20,1,1.5326485818337743,False,0.8774860779634049
candidate,R3-10_t20,0,0.5500910841655804,True,0.13206046141607
candidate,R3-11_t00,0,0.680548730433216,True,0.33651551312649164
candidate,R3-14_t00,1,2.869956416229381,False,0.9992044550517104
candidate,R3-14_t00,0,0.8942179437129859,True,0.7016706443914081
candidate,R3-14_t10,1,1.4961862415211316,False,0.7748607796340493
candidate,R3-14_t20,1,0.9975444710860006,True,0.6046141607000796
candidate,R3-14_t20,0,0.2135894591099819,True,0.6109785202863962
candidate,R3-22_t20,1,0.8296111920225571,True,0.5751789976133651
candidate,R3-22_t20,0,0.7319129900145411,True,0.4120922832140016
candidate,R3-23_t00,1,1.096058293816881,False,0.5855210819411297
candidate,R3-23_t00,0,0.41083460913371067,True,0.10739856801909307
candidate,R3-23_t20,0,0.9748336272378105,True,0.5600636435958631
candidate,R3-24_t00,0,1.893999054480415,False,0.979315831344471
candidate,R3-24_t10,1,1.0336324511956099,False,0.6801909307875895
candidate,R3-24_t10,0,0.8719441687952179,True,0.5019888623707239
candidate,R3-24_t20,0,0.6731498602375314,True,0.35719968178202066
