relative_seconds,absolute_seconds
0.0,0.0
0.12000000000000001,0.12000000000000001
0.2916666666666667,0.2916666666666667
0.4516666666666667,0.4516666666666667
0.4633333333333334,0.4633333333333334
0.5766666666666667,0.5766666666666667
0.6916666666666668,0.6916666666666668
0.9116666666666667,0.9116666666666667
0.925,0.925
1.0883333333333334,1.0883333333333334
1.1533333333333333,1.1533333333333333
1.3633333333333335,1.3633333333333335
1.3783333333333334,1.3783333333333334
1.4866666666666668,1.4866666666666668
1.6066666666666667,1.6066666666666667
1.715,1.715
1.8866666666666667,1.8866666666666667
1.9516666666666669,1.9516666666666669
2.06,2.06
2.1733333333333333,2.1733333333333333
2.295,2.295
2.4033333333333333,2.4033333333333333
2.5133333333333336,2.5133333333333336
2.686666666666667,2.686666666666667
2.7483333333333335,2.7483333333333335
2.956666666666667,2.956666666666667
3.066666666666667,3.066666666666667
3.08,3.08
3.2,3.2
3.306666666666667,3.306666666666667
3.5250000000000004,3.5250000000000004
3.5883333333333334,3.5883333333333334
3.6550000000000002,3.6550000000000002
3.776666666666667,3.776666666666667
3.8850000000000007,3.8850000000000007
4.096666666666667,4.096666666666667
4.11,4.11
4.223333333333334,4.223333333333334
4.391666666666667,4.391666666666667
4.456666666666667,4.456666666666667
4.665,4.665
4.766666666666667,4.766666666666667
4.796666666666667,4.796666666666667
4.906666666666667,4.906666666666667
5.016666666666667,5.016666666666667
5.196666666666667,5.196666666666667
5.346666666666667,5.346666666666667
5.445,5.445
5.4783333333333335,5.4783333333333335
5.598333333333334,5.598333333333334
5.703333333333334,5.703333333333334
5.821666666666667,5.821666666666667
5.993333333333334,5.993333333333334
6.136666666666667,6.136666666666667
6.196666666666667,6.196666666666667
6.368333333333334,6.368333333333334
6.486666666666667,6.486666666666667
6.501666666666667,6.501666666666667
6.673333333333334,6.673333333333334
6.828333333333334,6.828333333333334
6.936666666666668,6.936666666666668
7.050000000000001,7.050000000000001
7.163333333333334,7.163333333333334
7.191666666666667,7.191666666666667
7.298333333333334,7.298333333333334
7.510000000000001,7.510000000000001
7.595000000000001,7.595000000000001
7.646666666666667,7.646666666666667
7.758333333333334,7.758333333333334
7.988333333333334,7.988333333333334
8.081666666666667,8.081666666666667
8.193333333333333,8.193333333333333
8.328333333333333,8.328333333333333
8.376666666666667,8.376666666666667
8.450000000000001,8.450000000000001
8.556666666666667,8.556666666666667
8.753333333333334,8.753333333333334
8.866666666666667,8.866666666666667
8.903333333333334,8.903333333333334
9.106666666666667,9.106666666666667
9.166666666666668,9.166666666666668
9.338333333333335,9.338333333333335
9.436666666666667,9.436666666666667
9.466666666666667,9.466666666666667
9.676666666666668,9.676666666666668
9.780000000000001,9.780000000000001
9.898333333333333,9.898333333333333
10.016666666666667,10.016666666666667
10.123333333333337,10.123333333333337
10.24,10.24
10.351666666666667,10.351666666666667
10.468333333333334,10.468333333333334
10.588333333333335,10.588333333333335
10.700000000000001,10.700000000000001
10.798333333333334,10.798333333333334
10.881666666666668,10.881666666666668
10.958333333333334,10.958333333333334
11.111666666666668,11.111666666666668
11.268333333333334,11.268333333333334
11.301666666666668,11.301666666666668
11.401666666666667,11.401666666666667
11.711666666666668,11.711666666666668
11.773333333333333,11.773333333333333
11.836666666666668,11.836666666666668
11.950000000000001,11.950000000000001
12.063333333333334,12.063333333333334
12.198333333333334,12.198333333333334
12.211666666666668,12.211666666666668
12.426666666666668,12.426666666666668
12.528333333333334,12.528333333333334
12.633333333333335,12.633333333333335
12.74,12.74
12.773333333333333,12.773333333333333
12.98,12.98
13.088333333333335,13.088333333333335
13.208333333333334,13.208333333333334
13.281666666666668,13.281666666666668
13.433333333333334,13.433333333333334
13.548333333333334,13.548333333333334
13.661666666666667,13.661666666666667
13.773333333333333,13.773333333333333
13.896666666666668,13.896666666666668
14.020000000000001,14.020000000000001
