grid_index,time_seconds,is_human_reference
8,0.9195402298850576,False
22,2.528735632183908,False
29,3.3333333333333335,False
41,4.71264367816092,False
52,5.977011494252874,False
63,7.241379310344828,False
72,8.275862068965518,False
80,9.195402298850576,False
88,10.114942528735632,False
127,14.597701149425289,False
136,15.632183908045977,False
144,16.551724137931036,False
151,17.35632183908046,False
161,18.505747126436784,False
170,19.540229885057474,False
182,20.919540229885058,False
191,21.95402298850575,False
200,22.98850574712644,False
208,23.908045977011497,False
218,25.05747126436782,False
227,26.091954022988507,False
235,27.011494252873565,False
244,28.045977011494255,False
252,28.965517241379313,False
