epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.24754,4.51958,12.4259,2.84101,0,0,0,0,0,0,0,5e-05,5e-05,0.09505
2,2.24455,3.39215,5.6911,1.55466,0,0,0,0,0,0,0,0.000109505,0.000109505,0.0891095
3,3.20686,3.32833,5.28515,1.58696,0,0,0,0,0,0,0,0.00016847,0.00016847,0.0831685
4,4.15078,3.33658,4.83347,1.55518,0,0,0,0,0,0,0,0.000226895,0.000226895,0.0772269
5,5.10252,3.25671,4.60241,1.55687,0,0,0,0,0,0,0,0.00028478,0.00028478,0.0712848
6,6.04009,3.09816,4.39168,1.44185,0,0,0,0,0,0,0,0.000342125,0.000342125,0.0653421
7,6.95109,3.09798,4.30665,1.49034,0,0,0,0,0,0,0,0.00039893,0.00039893,0.0593989
8,7.82943,2.95171,4.21362,1.37619,0,0,0,0,0,0,0,0.000455195,0.000455195,0.0534552
9,8.7372,2.85863,4.02679,1.33469,0,0,0,0,0,0,0,0.00051092,0.00051092,0.0475109
10,9.64738,2.68715,3.96773,1.3117,0,0,0,0,0,0,0,0.000566105,0.000566105,0.0415661
11,10.5836,2.83238,3.88617,1.26912,0,0,0,0,0,0,0,0.00062075,0.00062075,0.0356207
12,11.4778,2.78678,3.82151,1.32129,0,0,0,0,0,0,0,0.000674855,0.000674855,0.0296749
13,12.3871,2.68544,3.62454,1.26083,0,0,0,0,0,0,0,0.00072842,0.00072842,0.0237284
14,13.3327,2.5654,3.47702,1.18267,0,0,0,0,0,0,0,0.000781445,0.000781445,0.0177814
15,14.3056,2.80274,3.41421,1.2991,0,0,0,0,0,0,0,0.00083393,0.00083393,0.0118339
16,15.1951,2.68762,3.22399,1.23734,0,0,0,0,0,0,0,0.000885875,0.000885875,0.00588587
17,16.3029,2.62928,3.1769,1.22036,0,0,0,0,0,0,0,0.000928,0.000928,0.000928
18,17.1803,2.44993,2.87995,1.21602,0,0,0,0,0,0,0,0.0009235,0.0009235,0.0009235
19,18.1047,2.4768,2.90593,1.19393,0,0,0,0,0,0,0,0.000919,0.000919,0.000919
20,19.0254,2.55665,3.004,1.25127,0,0,0,0,0,0,0,0.0009145,0.0009145,0.0009145
