cohort,method,window_id,tp,fp,fn,precision,recall,f1
R2_complete216,original,jiufu_6328167f32f25e_first30,0,0,13,0.0,0.0,0.0
R2_complete216,original,jiufu_80fa8dbe195b66_first30,14,4,8,0.7777777777777778,0.6363636363636364,0.7
R2_complete216,original,jiufu_012d9efb7d8d4c_first30,4,6,15,0.4,0.21052631578947367,0.27586206896551724
R2_complete216,original,jiufu_5623dc263f1364_first30,8,6,4,0.5714285714285714,0.6666666666666666,0.6153846153846154
R2_complete216,original,jiufu_8254fd394c755d_first30,7,5,7,0.5833333333333334,0.5,0.5384615384615384
R2_complete216,original,jiufu_33ff2c90bde0a7_first30,6,5,2,0.5454545454545454,0.75,0.631578947368421
R2_complete216,original,jiufu_c37db5cf8c7d4e_first30,3,3,4,0.5,0.42857142857142855,0.46153846153846156
R2_complete216,original,jiufu_3f44e994a4ccb7_first30,0,0,21,0.0,0.0,0.0
R2_complete216,original,jiufu_58a951a34f7249_first30,0,0,16,0.0,0.0,0.0
R2_complete216,original,jiufu_8ac17622997976_first30,5,5,5,0.5,0.5,0.5
R2_complete216,original,jiufu_ee2427b1f91c14_first30,8,6,6,0.5714285714285714,0.5714285714285714,0.5714285714285714
R2_complete216,original,jiufu_d40d50640e24a1_first30,23,6,6,0.7931034482758621,0.7931034482758621,0.7931034482758621
R2_complete216,original,jiufu_e20abde4e3a043_first30,14,4,7,0.7777777777777778,0.6666666666666666,0.717948717948718
R2_complete216,original,jiufu_fffa829b4cfc5f_first30,5,6,8,0.45454545454545453,0.38461538461538464,0.4166666666666667
R2_complete216,original,jiufu_39742bec07007b_first30,7,3,13,0.7,0.35,0.4666666666666667
R2_complete216,original,jiufu_a7f96cc7661e4a_first30,9,5,7,0.6428571428571429,0.5625,0.6
R2_complete216,original,jiufu_f5a7ada186a785_first30,7,11,6,0.3888888888888889,0.5384615384615384,0.45161290322580644
R2_complete216,original,jiufu_8f2aab0fc1ae4b_first30,19,11,7,0.6333333333333333,0.7307692307692307,0.6785714285714286
R2_complete216,original,jiufu_b230c11bab398b_first30,0,0,18,0.0,0.0,0.0
R2_complete216,original,jiufu_05aaedc28c6708_first30,5,6,4,0.45454545454545453,0.5555555555555556,0.5
R2_complete216,original,jiufu_0d1522aef374ec_first30,8,6,6,0.5714285714285714,0.5714285714285714,0.5714285714285714
R2_complete216,original,jiufu_2cdb051142d5ab_first30,13,1,1,0.9285714285714286,0.9285714285714286,0.9285714285714286
R2_complete216,original,jiufu_d4707a9c23271d_first30,11,3,3,0.7857142857142857,0.7857142857142857,0.7857142857142857
R2_complete216,original,jiufu_2f0c90ece853b4_first30,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
R2_complete216,original,jiufu_57c74728570ec9_first30,12,6,8,0.6666666666666666,0.6,0.631578947368421
