window_id,event_id,frame_index,event_time_seconds,retained,direct_center_sides,bracket_sides,review_id,prediction_event_id,peak_seconds,selected_mode,temporal_match,reference_event_id,reference_seconds,phase_basis,time_error_seconds,strict_visible_phase,contributor_count,all_contributors_direct,any_temperature_interpolated,any_same_image_anatomical_review,all_contributors_have_correct_anatomical_reference,raw_direct_contributors,raw_inferred_contributors,temperature_interpolated_contributors,modified_temperature_contributors,fused_interpolated_contributors
jiufu_bd77cfa7950eaa_first30,p35,35,4.022988505747127,True,right,right,R3-22,p35,4.022988505747127,min,TP,cfdc757a-228b-4e75-88e8-8cfbd67c45ff,3.877,thermal_extremum_only,0.1459885057471268,False,3,True,False,False,False,3,0,0,0,0
jiufu_bd77cfa7950eaa_first30,p51,51,5.862068965517242,True,right,right,R3-22,p51,5.862068965517242,min,TP,0b273f67-64fe-4e5c-aa3c-ab428d6ef04e,5.587,thermal_extremum_only,0.2750689655172422,False,3,True,False,False,False,3,0,0,0,0
jiufu_bd77cfa7950eaa_first30,p88,88,10.114942528735632,True,right,,R3-22,p88,10.114942528735632,min,TP,017f4e47-664b-4da1-a62f-70b750382f56,10.333,thermal_extremum_only,0.2180574712643679,False,3,False,True,True,False,2,0,1,0,0
jiufu_bd77cfa7950eaa_first30,p101,101,11.609195402298852,True,right,right,R3-22,p101,11.609195402298852,min,TP,7eb34894-5da5-4d08-b1e2-503f9dc5237b,11.733,thermal_extremum_only,0.1238045977011488,False,3,True,False,False,False,3,0,0,0,0
jiufu_bd77cfa7950eaa_first30,p112,112,12.873563218390805,False,,,R3-22,p112,12.873563218390805,min,TP,83f03499-ddf8-4f41-b655-9bd1e048d66b,13.053,thermal_extremum_only,0.1794367816091959,False,3,False,False,False,False,2,1,0,0,0
jiufu_bd77cfa7950eaa_first30,p121,121,13.908045977011495,False,,,R3-22,p121,13.908045977011495,min,FP,,,,,False,3,False,True,False,False,0,1,2,0,0
jiufu_bd77cfa7950eaa_first30,p140,140,16.091954022988507,True,right,right,R3-22,p140,16.091954022988507,min,TP,49cb0b5a-f877-422a-9029-a7c70c155e45,16.022,thermal_extremum_only,0.069954022988508,False,3,True,False,False,False,3,0,0,0,0
jiufu_bd77cfa7950eaa_first30,p150,150,17.24137931034483,True,right,right,R3-22,p150,17.24137931034483,min,FP,,,,,False,3,True,False,False,False,3,0,0,0,0
jiufu_bd77cfa7950eaa_first30,p169,169,19.42528735632184,True,left,left,R3-22,p169,19.42528735632184,min,FP,,,,,False,3,True,False,False,False,3,0,0,0,0
jiufu_bd77cfa7950eaa_first30,p178,178,20.45977011494253,False,,,R3-22,p178,20.45977011494253,min,FP,,,,,False,3,False,True,False,False,0,1,2,0,0
jiufu_bd77cfa7950eaa_first30,p188,188,21.60919540229885,True,right,right,R3-22,p188,21.60919540229885,min,FP,,,,,False,3,True,False,False,False,3,0,0,0,0
jiufu_bd77cfa7950eaa_first30,p203,203,23.333333333333336,True,right,right,R3-22,p203,23.333333333333336,min,FP,,,,,False,3,True,False,False,False,3,0,0,0,0
jiufu_bd77cfa7950eaa_first30,p222,222,25.517241379310345,True,right,right,R3-22,p222,25.517241379310345,min,FP,,,,,False,3,True,False,False,False,3,0,0,0,0
jiufu_bd77cfa7950eaa_first30,p238,238,27.35632183908046,False,,,R3-22,p238,27.35632183908046,min,TP,a0573fbd-8cee-4d86-a91f-54a41b3ecafe,27.103,thermal_extremum_only,0.2533218390804599,False,3,False,True,False,False,1,0,2,0,0
