cohort,method,event_windows,count_pairs,rr_mae,rr_r2,tp,fp,fn,precision,recall,f1
R2_complete216,original,216,173,5.15606936416185,0.4196293950907666,1324,1028,1706,0.5629251700680272,0.43696369636963694,0.4920104050538833
R2_complete216,center_support,216,173,8.115606936416185,-0.181173732987556,1150,760,1880,0.6020942408376964,0.3795379537953795,0.46558704453441296
R3_full11,original,11,7,2.5714285714285716,0.34615384615384615,41,42,102,0.4939759036144578,0.2867132867132867,0.36283185840707965
R3_full11,center_support,11,7,6.571428571428571,-2.9615384615384617,36,25,107,0.5901639344262295,0.2517482517482518,0.35294117647058826
R3_strict9,original,9,6,2.6666666666666665,0.24999999999999978,33,35,84,0.4852941176470588,0.28205128205128205,0.3567567567567568
R3_strict9,center_support,9,6,6.666666666666667,-3.406250000000001,30,20,87,0.6,0.2564102564102564,0.3592814371257485
