window_id,event_id,event_time_seconds
jiufu_336c6a37c1e8bf_first30,p14,1.6091954022988506
jiufu_336c6a37c1e8bf_first30,p32,3.6781609195402303
jiufu_336c6a37c1e8bf_first30,p101,11.609195402298852
jiufu_336c6a37c1e8bf_first30,p146,16.7816091954023
jiufu_336c6a37c1e8bf_first30,p160,18.390804597701152
jiufu_336c6a37c1e8bf_first30,p243,27.931034482758623
jiufu_3daca4f99093f5_first30,p11,1.264367816091954
jiufu_3daca4f99093f5_first30,p30,3.4482758620689657
jiufu_3daca4f99093f5_first30,p39,4.482758620689656
jiufu_3daca4f99093f5_first30,p58,6.666666666666667
jiufu_3daca4f99093f5_first30,p110,12.643678160919542
jiufu_3daca4f99093f5_first30,p119,13.67816091954023
jiufu_3daca4f99093f5_first30,p129,14.827586206896552
jiufu_3daca4f99093f5_first30,p138,15.862068965517242
jiufu_3daca4f99093f5_first30,p147,16.896551724137932
jiufu_3daca4f99093f5_first30,p156,17.931034482758623
jiufu_3daca4f99093f5_first30,p163,18.73563218390805
jiufu_3daca4f99093f5_first30,p181,20.804597701149422
jiufu_3daca4f99093f5_first30,p208,23.908045977011497
jiufu_3daca4f99093f5_first30,p219,25.17241379310345
jiufu_3daca4f99093f5_first30,p231,26.55172413793104
jiufu_3daca4f99093f5_first30,p252,28.965517241379317
jiufu_aed96a8cd6dde3_first30,p19,2.183908045977012
jiufu_aed96a8cd6dde3_first30,p40,4.597701149425288
jiufu_aed96a8cd6dde3_first30,p62,7.126436781609196
jiufu_aed96a8cd6dde3_first30,p78,8.965517241379311
jiufu_aed96a8cd6dde3_first30,p111,12.758620689655173
jiufu_aed96a8cd6dde3_first30,p150,17.24137931034483
jiufu_aed96a8cd6dde3_first30,p173,19.885057471264368
jiufu_aed96a8cd6dde3_first30,p192,22.06896551724138
jiufu_aed96a8cd6dde3_first30,p214,24.59770114942529
jiufu_d57a389e370ce5_first30,p11,1.264367816091954
jiufu_d57a389e370ce5_first30,p20,2.298850574712644
jiufu_d57a389e370ce5_first30,p45,5.172413793103448
jiufu_d57a389e370ce5_first30,p57,6.551724137931035
jiufu_d57a389e370ce5_first30,p67,7.701149425287357
