grid_index,time_seconds,is_human_reference
13,1.4942528735632186,False
25,2.873563218390805,False
36,4.137931034482759,False
46,5.287356321839081,False
57,6.551724137931035,False
70,8.045977011494253,False
80,9.195402298850576,False
90,10.344827586206897,False
100,11.49425287356322,False
109,12.52873563218391,False
127,14.597701149425289,False
152,17.471264367816094,False
167,19.195402298850578,False
177,20.344827586206897,False
188,21.60919540229885,False
200,22.98850574712644,False
212,24.367816091954026,False
223,25.632183908045977,False
235,27.011494252873565,False
245,28.160919540229887,False
