epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.846048,4.83434,12.8526,3.19369,0,0,0,0,0,0,0,5e-05,5e-05,0.09505
2,1.56572,3.82431,5.78142,1.76413,0,0,0,0,0,0,0,0.000109505,0.000109505,0.0891095
3,2.26546,3.46281,5.13345,1.54824,0,0,0,0,0,0,0,0.00016847,0.00016847,0.0831685
4,2.97872,3.34216,4.82019,1.45543,0,0,0,0,0,0,0,0.000226895,0.000226895,0.0772269
5,3.66323,3.41182,4.60837,1.48774,0,0,0,0,0,0,0,0.00028478,0.00028478,0.0712848
6,4.43852,3.38998,4.45463,1.4214,0,0,0,0,0,0,0,0.000342125,0.000342125,0.0653421
7,5.17866,3.31803,4.44365,1.39192,0,0,0,0,0,0,0,0.00039893,0.00039893,0.0593989
8,5.86791,3.29033,4.26757,1.38724,0,0,0,0,0,0,0,0.000455195,0.000455195,0.0534552
9,6.64439,3.14391,4.20215,1.32365,0,0,0,0,0,0,0,0.00051092,0.00051092,0.0475109
10,7.37955,3.07595,4.1062,1.32369,0,0,0,0,0,0,0,0.000566105,0.000566105,0.0415661
11,8.12865,2.91138,4.01217,1.26713,0,0,0,0,0,0,0,0.00062075,0.00062075,0.0356207
12,8.90786,2.96092,3.9128,1.30711,0,0,0,0,0,0,0,0.000674855,0.000674855,0.0296749
13,9.66186,3.01099,3.78146,1.31879,0,0,0,0,0,0,0,0.00072842,0.00072842,0.0237284
14,10.4405,2.92404,3.64156,1.28978,0,0,0,0,0,0,0,0.000781445,0.000781445,0.0177814
15,11.2551,3.09528,3.537,1.37821,0,0,0,0,0,0,0,0.00083393,0.00083393,0.0118339
16,12.0239,2.83916,3.67309,1.31195,0,0,0,0,0,0,0,0.000885875,0.000885875,0.00588587
17,12.7841,2.66265,3.55793,1.26699,0,0,0,0,0,0,0,0.000928,0.000928,0.000928
18,13.4524,2.65343,3.1871,1.32105,0,0,0,0,0,0,0,0.0009235,0.0009235,0.0009235
19,14.1818,2.93629,3.0545,1.38631,0,0,0,0,0,0,0,0.000919,0.000919,0.000919
20,14.9314,2.90158,3.34783,1.42451,0,0,0,0,0,0,0,0.0009145,0.0009145,0.0009145
21,15.6652,2.75416,3.05208,1.35297,0,0,0,0,0,0,0,0.00091,0.00091,0.00091
22,16.3952,2.69525,2.86405,1.3417,0,0,0,0,0,0,0,0.0009055,0.0009055,0.0009055
23,17.1662,2.62228,2.70294,1.31503,0,0,0,0,0,0,0,0.000901,0.000901,0.000901
24,17.938,2.72786,2.63124,1.30994,0,0,0,0,0,0,0,0.0008965,0.0008965,0.0008965
25,18.7546,2.69975,2.80573,1.45765,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
26,19.515,2.734,2.5968,1.38392,0,0,0,0,0,0,0,0.0008875,0.0008875,0.0008875
27,20.2215,2.71828,2.58931,1.36584,0,0,0,0,0,0,0,0.000883,0.000883,0.000883
28,21.0701,2.57377,2.74609,1.33289,0,0,0,0,0,0,0,0.0008785,0.0008785,0.0008785
29,21.949,2.76279,3.09864,1.30017,0,0,0,0,0,0,0,0.000874,0.000874,0.000874
30,22.7019,2.62669,2.36656,1.31301,0,0,0,0,0,0,0,0.0008695,0.0008695,0.0008695
31,23.5979,2.61674,2.63673,1.23531,0,0,0,0,0,0,0,0.000865,0.000865,0.000865
32,24.5561,2.75505,2.72681,1.30942,0,0,0,0,0,0,0,0.0008605,0.0008605,0.0008605
33,25.3372,2.36058,2.34844,1.19495,0,0,0,0,0,0,0,0.000856,0.000856,0.000856
34,26.1215,2.55674,2.81702,1.25405,0,0,0,0,0,0,0,0.0008515,0.0008515,0.0008515
35,26.8539,2.54286,2.58204,1.31993,0,0,0,0,0,0,0,0.000847,0.000847,0.000847
36,27.7684,2.41349,2.31508,1.26895,0,0,0,0,0,0,0,0.0008425,0.0008425,0.0008425
37,28.6269,2.3448,2.42868,1.20478,0,0,0,0,0,0,0,0.000838,0.000838,0.000838
38,29.3567,2.43377,2.37495,1.23799,0,0,0,0,0,0,0,0.0008335,0.0008335,0.0008335
39,30.1088,2.24169,2.47524,1.19445,0,0,0,0,0,0,0,0.000829,0.000829,0.000829
40,30.8898,2.56266,2.26281,1.30016,0,0,0,0,0,0,0,0.0008245,0.0008245,0.0008245
41,31.6799,2.34504,2.36074,1.22574,0,0,0,0,0,0,0,0.00082,0.00082,0.00082
42,32.5423,2.3456,2.15919,1.20984,0,0,0,0,0,0,0,0.0008155,0.0008155,0.0008155
43,33.3182,2.56505,2.84846,1.19443,0,0,0,0,0,0,0,0.000811,0.000811,0.000811
44,34.1505,2.30474,2.1811,1.23868,0,0,0,0,0,0,0,0.0008065,0.0008065,0.0008065
45,34.8843,2.44965,2.22213,1.20304,0,0,0,0,0,0,0,0.000802,0.000802,0.000802
46,35.5694,2.2662,2.26816,1.21469,0,0,0,0,0,0,0,0.0007975,0.0007975,0.0007975
47,36.3406,2.28261,2.27968,1.18304,0,0,0,0,0,0,0,0.000793,0.000793,0.000793
48,37.0784,2.24141,2.19155,1.15011,0,0,0,0,0,0,0,0.0007885,0.0007885,0.0007885
49,37.8655,2.23857,2.13955,1.1602,0,0,0,0,0,0,0,0.000784,0.000784,0.000784
50,38.6104,2.17038,2.04059,1.14284,0,0,0,0,0,0,0,0.0007795,0.0007795,0.0007795
51,39.3485,2.1752,2.05174,1.18932,0,0,0,0,0,0,0,0.000775,0.000775,0.000775
