relative_seconds,absolute_seconds
0.0,0.0
0.03833333333333334,0.03833333333333334
0.13833333333333334,0.13833333333333334
0.3516666666666667,0.3516666666666667
0.44833333333333336,0.44833333333333336
0.5700000000000001,0.5700000000000001
0.6866666666666668,0.6866666666666668
0.785,0.785
0.92,0.92
1.02,1.02
1.1316666666666668,1.1316666666666668
1.2533333333333334,1.2533333333333334
1.3633333333333335,1.3633333333333335
1.4683333333333335,1.4683333333333335
1.5550000000000002,1.5550000000000002
1.6216666666666668,1.6216666666666668
1.8316666666666668,1.8316666666666668
1.9316666666666669,1.9316666666666669
2.0500000000000003,2.0500000000000003
2.1583333333333337,2.1583333333333337
2.271666666666667,2.271666666666667
2.356666666666667,2.356666666666667
2.4200000000000004,2.4200000000000004
2.6183333333333336,2.6183333333333336
2.7283333333333335,2.7283333333333335
2.8400000000000003,2.8400000000000003
2.9633333333333334,2.9633333333333334
3.0683333333333334,3.0683333333333334
3.1533333333333333,3.1533333333333333
3.3033333333333337,3.3033333333333337
3.411666666666667,3.411666666666667
3.5300000000000002,3.5300000000000002
3.641666666666667,3.641666666666667
3.7483333333333335,3.7483333333333335
3.786666666666667,3.786666666666667
4.008333333333334,4.008333333333334
4.106666666666667,4.106666666666667
4.223333333333334,4.223333333333334
4.326666666666667,4.326666666666667
4.44,4.44
4.471666666666667,4.471666666666667
4.581666666666667,4.581666666666667
4.743333333333334,4.743333333333334
4.898333333333333,4.898333333333333
4.931666666666667,4.931666666666667
5.031666666666667,5.031666666666667
5.153333333333333,5.153333333333333
5.326666666666667,5.326666666666667
5.381666666666667,5.381666666666667
5.561666666666668,5.561666666666668
5.613333333333333,5.613333333333333
5.821666666666667,5.821666666666667
5.920000000000001,5.920000000000001
6.038333333333334,6.038333333333334
6.151666666666667,6.151666666666667
6.260000000000001,6.260000000000001
6.355,6.355
6.408333333333334,6.408333333333334
6.626666666666667,6.626666666666667
6.718333333333334,6.718333333333334
6.835000000000001,6.835000000000001
6.863333333333334,6.863333333333334
7.071666666666667,7.071666666666667
7.171666666666667,7.171666666666667
7.3066666666666675,7.3066666666666675
7.406666666666667,7.406666666666667
7.525,7.525
7.543333333333334,7.543333333333334
7.761666666666668,7.761666666666668
7.86,7.86
7.971666666666668,7.971666666666668
8.098333333333334,8.098333333333334
8.205,8.205
8.31,8.31
8.431666666666667,8.431666666666667
8.548333333333334,8.548333333333334
8.658333333333333,8.658333333333333
8.766666666666667,8.766666666666667
8.848333333333334,8.848333333333334
8.913333333333334,8.913333333333334
9.118333333333334,9.118333333333334
9.236666666666668,9.236666666666668
9.34,9.34
9.453333333333333,9.453333333333333
9.571666666666667,9.571666666666667
9.653333333333334,9.653333333333334
9.711666666666668,9.711666666666668
9.92,9.92
10.031666666666668,10.031666666666668
10.136666666666667,10.136666666666667
10.25,10.25
10.373333333333337,10.373333333333337
10.49,10.49
10.598333333333334,10.598333333333334
10.708333333333334,10.708333333333334
10.821666666666667,10.821666666666667
10.931666666666667,10.931666666666667
11.073333333333334,11.073333333333334
11.188333333333334,11.188333333333334
11.290000000000003,11.290000000000003
11.393333333333334,11.393333333333334
11.508333333333335,11.508333333333335
11.626666666666667,11.626666666666667
11.738333333333333,11.738333333333333
11.853333333333333,11.853333333333333
11.981666666666667,11.981666666666667
12.043333333333335,12.043333333333335
12.106666666666667,12.106666666666667
12.308333333333334,12.308333333333334
12.433333333333334,12.433333333333334
12.536666666666667,12.536666666666667
12.558333333333334,12.558333333333334
12.771666666666668,12.771666666666668
12.886666666666667,12.886666666666667
12.951666666666668,12.951666666666668
13.013333333333334,13.013333333333334
13.128333333333334,13.128333333333334
13.341666666666667,13.341666666666667
13.438333333333334,13.438333333333334
13.56,13.56
13.668333333333335,13.668333333333335
13.798333333333334,13.798333333333334
13.931666666666668,13.931666666666668
14.025,14.025
14.041666666666668,14.041666666666668
14.260000000000002,14.260000000000002
14.305000000000001,14.305000000000001
14.485000000000001,14.485000000000001
14.601666666666668,14.601666666666668
14.621666666666668,14.621666666666668
14.821666666666667,14.821666666666667
14.935,14.935
15.043333333333335,15.043333333333335
