window_id,review_id,finite_signal_fraction,longest_bilateral_missing_seconds,selected_mode,raw_absent_frames,missing_but_numeric_fused_frames,reference_events_during_missing,tp,fp,fn,rr_abs_error
jiufu_931fb29cee6b4b_first30,,0.3793103448275862,6.321839080459771,min,162,162,11,6.0,3.0,8.0,10.0
jiufu_b01f0755dc6a1f_first30,,0.7394636015325671,5.057471264367816,min,68,68,0,6.0,6.0,7.0,2.0
jiufu_f242385ce55e15_first30,,0.4980842911877394,9.42528735632184,left,131,131,5,3.0,7.0,7.0,0.0
jiufu_f920435ef76ec4_first30,R3-10,0.2758620689655172,5.862068965517242,right,189,189,4,4.0,4.0,4.0,0.0
jiufu_7f52d294468aa5_first30,,0.992337164750958,0.1149425287356322,left,2,2,0,3.0,13.0,12.0,2.0
jiufu_11acdc6d1c6ccc_first30,,0.8812260536398467,1.6091954022988506,left,31,31,1,4.0,6.0,8.0,4.0
jiufu_cc60214ff2d564_first30,R3-23,0.4827586206896552,6.321839080459771,min,135,135,4,3.0,7.0,9.0,4.0
jiufu_f23fd2fe9eb848_first30,,0.4559386973180077,4.482758620689656,right,142,142,3,4.0,5.0,6.0,2.0
jiufu_19e995b0eca6a3_first30,,0.2835249042145594,8.505747126436782,left,187,187,0,,,,
jiufu_126bdac0bd036b_first30,,0.9846743295019156,0.4597701149425288,left,4,4,0,3.0,9.0,9.0,0.0
jiufu_c6e5a206ad0c30_first30,,0.9540229885057472,1.0344827586206897,left,12,12,1,14.0,3.0,4.0,2.0
jiufu_0f7af9c769fda5_first30,,0.4942528735632184,2.528735632183908,min,132,132,7,7.0,3.0,9.0,12.0
jiufu_42402108cd09a9_first30,,0.3486590038314176,14.022988505747128,min,170,170,0,1.0,6.0,4.0,4.0
jiufu_a97a8ff157139f_first30,,0.6168582375478927,5.172413793103448,right,100,100,0,9.0,2.0,2.0,0.0
jiufu_a45d837f891e44_first30,,0.4942528735632184,5.862068965517242,min,132,132,1,3.0,4.0,5.0,2.0
