grid_index,time_seconds,is_human_reference
8,0.9195402298850576,False
21,2.4137931034482762,False
34,3.9080459770114944,False
47,5.402298850574713,False
63,7.241379310344828,False
88,10.114942528735632,False
102,11.724137931034484,False
112,12.873563218390805,False
129,14.827586206896553,False
143,16.436781609195403,False
155,17.81609195402299,False
166,19.080459770114945,False
177,20.344827586206897,False
185,21.264367816091955,False
198,22.758620689655174,False
211,24.252873563218394,False
228,26.20689655172414,False
246,28.27586206896552,False
