video_id,frames,smoothed_frames,missing_left,missing_right,missing_both,repaired_left,repaired_right,tracked_left,tracked_right,inferred_left,inferred_right,global_inferred_left,global_inferred_right,low_conf_inferred_left,low_conf_inferred_right,peaks,rr_bpm,duration_seconds,rr_duration_seconds,rr_duration_source,smoothed_duration_seconds,mean_prominence,truth_count,count_error,abs_count_error,truth_rr,rr_error,abs_rr_error,fusion_mode,selected_fusion_mode,selection_score,selection_candidate_peaks,selection_median_prominence,selection_interval_cv,selection_amplitude,selection_missing_rate,repair_missing,smooth_window,peak_distance,peak_prominence,selected_peak_prominence,adaptive_peak_prominence,min_rr_bpm,max_rr_bpm,merge_shallow_peaks,merge_peak_gap,merge_valley_relief,merged_peak_count,adaptive_peak_retuning,peak_retune_rule,retune_target_peaks,edge_peak_completion,edge_peak_added,edge_peak_added_frames,edge_peak_min_gap,edge_peak_min_relief,raw_frames,analysis_frame_limit,analysis_window_source,truth_duration_seconds,raw_duration_seconds,temperature_csv,curve_csv,curve_png,review_png,status
16170075,124,122,0,0,0,0,0,0,0,0,0,0,0,0,0,10,42.857142857142854,14.0,14.0,truth_duration_seconds,14.022988505747128,0.5795004699721008,10,0,0,43.0,-0.1428571428571459,0.1428571428571459,adaptive,left,1.802496308540047,10,0.5598564148835026,0.451430211128037,0.7341774996102814,0.0,True,3,9,0.16,0.16,False,40.0,90.0,True,6,0.1,0,True,dense_peak_count,10.0,none,0,,5,0.5,124,124,full_temperature_csv,14.0,14.252873563218392,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\16170075\paper_repro_temperatures.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\16170075\paper_repro_curve.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\16170075\paper_repro_curve.png,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\16170075\paper_repro_peak_review.png,retuned
170272,106,104,0,0,0,0,0,0,0,0,0,0,0,0,0,10,50.0,12.0,12.0,truth_duration_seconds,11.954022988505749,0.4611559582563233,10,0,0,50.0,0.0,0.0,adaptive,min,1.7623239633651808,10,0.4239828144931189,0.04714045207438912,0.6809556874546283,0.0,True,3,5,0.035,0.035,True,40.0,90.0,True,6,0.1,0,True,none,,none,0,,5,0.5,106,106,full_temperature_csv,12.0,12.183908045977013,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170272\paper_repro_temperatures.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170272\paper_repro_curve.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170272\paper_repro_curve.png,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170272\paper_repro_peak_review.png,retuned
170333,90,88,0,0,0,0,0,0,6,0,0,0,0,0,0,6,36.0,10.0,10.0,truth_duration_seconds,10.114942528735632,0.49605835435653883,7,-1,1,42.0,-6.0,6.0,adaptive,left,1.9102019852969119,6,0.5522515949376963,0.23473823891401846,0.7376597549081125,0.0,True,3,5,0.035,0.002,True,40.0,90.0,True,6,0.1,0,True,none,,none,0,,5,0.5,90,90,full_temperature_csv,10.0,10.344827586206897,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170333\paper_repro_temperatures.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170333\paper_repro_curve.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170333\paper_repro_curve.png,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170333\paper_repro_peak_review.png,retuned
170334,141,139,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37.5,16.0,16.0,truth_duration_seconds,15.977011494252874,0.42150309680090475,10,0,0,38.0,-0.5,0.5,adaptive,right,1.56811048111862,12,0.38286177266689075,0.3361904222016263,0.6766719597762711,0.0,True,3,5,0.035,0.035,True,40.0,90.0,True,6,0.1,2,True,none,,none,0,,5,0.5,141,141,full_temperature_csv,16.0,16.20689655172414,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170334\paper_repro_temperatures.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170334\paper_repro_curve.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170334\paper_repro_curve.png,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170334\paper_repro_peak_review.png,retuned
177395,72,72,0,0,0,0,0,0,10,0,0,0,0,0,0,10,75.0,8.0,8.0,truth_duration_seconds,8.275862068965518,0.4616291596879066,10,0,0,75.0,0.0,0.0,adaptive,left,1.94114011716942,9,0.5210018650708198,0.114366372065446,0.7386607190656617,0.0,True,1,3,0.002,0.002,False,40.0,90.0,True,6,0.1,0,True,short_sparse_peak_count_edge,,both,1,70,0,0.1,72,72,full_temperature_csv,8.0,8.275862068965518,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\177395\paper_repro_temperatures.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\177395\paper_repro_curve.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\177395\paper_repro_curve.png,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\177395\paper_repro_peak_review.png,retuned
190546,106,104,0,0,0,0,0,0,0,8,0,0,0,4,0,9,45.0,12.0,12.0,truth_duration_seconds,11.954022988505749,0.3181933861435334,10,-1,1,50.0,-5.0,5.0,adaptive,right,1.7382953754904584,9,0.31401901563270274,0.09387593020689437,0.7356071624806014,0.0,True,3,5,0.035,0.035,True,40.0,90.0,True,6,0.1,0,True,none,,none,0,,5,0.5,106,106,full_temperature_csv,12.0,12.183908045977013,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\190546\paper_repro_temperatures.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\190546\paper_repro_curve.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\190546\paper_repro_curve.png,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\190546\paper_repro_peak_review.png,retuned
190588,97,95,0,0,0,0,0,0,0,0,0,0,0,0,0,11,60.00000000000001,11.0,11.0,truth_duration_seconds,10.919540229885058,0.3303077537023362,11,0,0,60.0,7.105427357601002e-15,7.105427357601002e-15,adaptive,min,1.4177632416426122,11,0.31503408185333437,0.10255091187521687,0.5770023078634432,0.0,True,3,5,0.035,0.035,True,40.0,90.0,True,6,0.1,0,True,none,,none,0,,5,0.5,97,97,full_temperature_csv,11.0,11.149425287356323,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\190588\paper_repro_temperatures.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\190588\paper_repro_curve.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\190588\paper_repro_curve.png,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\190588\paper_repro_peak_review.png,retuned
196434,130,128,0,0,0,0,0,0,0,0,0,0,0,0,0,9,36.0,15.0,15.0,truth_duration_seconds,14.712643678160921,0.3438948411362517,9,0,0,36.0,0.0,0.0,adaptive,max,1.5974628707332679,9,0.3668454830092419,0.22905904486592898,0.6725734550784953,0.0,True,3,5,0.035,0.002,True,40.0,90.0,True,6,0.1,0,True,none,,none,0,,5,0.5,130,130,full_temperature_csv,15.0,14.942528735632186,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\196434\paper_repro_temperatures.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\196434\paper_repro_curve.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\196434\paper_repro_curve.png,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\196434\paper_repro_peak_review.png,retuned
200653,113,111,0,0,0,0,0,2,0,0,0,0,0,0,0,10,46.15384615384615,13.0,13.0,truth_duration_seconds,12.758620689655173,0.43773275547864826,10,0,0,46.0,0.1538461538461533,0.1538461538461533,adaptive,right,1.8896987366718951,10,0.4272207367629549,0.16637806614686015,0.7728335164911851,0.0,True,3,5,0.035,0.035,True,40.0,90.0,True,6,0.1,0,True,none,,none,0,,5,0.5,113,113,full_temperature_csv,13.0,12.988505747126437,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\200653\paper_repro_temperatures.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\200653\paper_repro_curve.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\200653\paper_repro_curve.png,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\200653\paper_repro_peak_review.png,retuned
200713,141,141,0,0,0,0,0,0,4,13,0,0,0,0,0,10,37.5,16.0,16.0,truth_duration_seconds,16.20689655172414,0.35218281428121234,10,0,0,38.0,-0.5,0.5,adaptive,right,1.150615794897488,10,0.30156815071904625,0.3571381609259668,0.5138083623207126,0.0,True,1,8,0.2,0.2,False,40.0,90.0,True,6,0.1,0,True,dense_peak_count,10.0,none,0,,5,0.5,141,141,full_temperature_csv,16.0,16.20689655172414,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\200713\paper_repro_temperatures.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\200713\paper_repro_curve.csv,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\200713\paper_repro_curve.png,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\200713\paper_repro_peak_review.png,retuned
