grid_index,time_seconds,is_human_reference
7,0.8045977011494253,False
21,2.4137931034482762,False
32,3.6781609195402303,False
58,6.666666666666667,False
67,7.701149425287357,False
76,8.735632183908047,False
86,9.88505747126437,False
96,11.03448275862069,False
104,11.954022988505749,False
116,13.333333333333334,False
148,17.011494252873565,False
167,19.195402298850578,False
186,21.379310344827587,False
196,22.52873563218391,False
206,23.678160919540232,False
216,24.827586206896555,False
225,25.862068965517242,False
238,27.35632183908046,False
