target_index,target_time_seconds,source_frame_index,source_time_seconds,time_supported
0,0.0,0,0.0,True
1,0.1149425287356322,1,0.1966666666666666,True
2,0.2298850574712644,1,0.1966666666666666,True
3,0.3448275862068966,3,0.3433333333333334,True
4,0.4597701149425288,4,0.5433333333333333,True
5,0.574712643678161,4,0.5433333333333333,True
6,0.6896551724137931,5,0.6583333333333333,True
7,0.8045977011494253,6,0.775,True
8,0.9195402298850576,7,0.8416666666666667,True
9,1.0344827586206897,8,1.0116666666666667,True
10,1.149425287356322,9,1.0750000000000002,True
11,1.264367816091954,10,1.2283333333333335,True
12,1.3793103448275863,11,1.3333333333333337,True
13,1.4942528735632186,12,1.461666666666667,True
14,1.6091954022988506,13,1.5650000000000002,True
15,1.7241379310344829,14,1.6666666666666667,True
16,1.8390804597701151,15,1.7833333333333334,True
17,1.9540229885057472,16,1.915,True
18,2.0689655172413794,17,2.021666666666667,True
19,2.1839080459770117,18,2.126666666666667,True
20,2.298850574712644,19,2.2533333333333334,True
21,2.4137931034482762,20,2.361666666666667,True
22,2.528735632183908,21,2.475,True
23,2.6436781609195403,22,2.6383333333333336,True
24,2.7586206896551726,23,2.708333333333333,True
25,2.873563218390805,25,2.9250000000000003,True
26,2.988505747126437,26,3.0450000000000004,True
27,3.1034482758620694,27,3.1533333333333333,True
28,3.218390804597701,28,3.2350000000000003,True
29,3.3333333333333335,29,3.2983333333333333,True
30,3.4482758620689657,30,3.476666666666667,True
31,3.563218390804598,31,3.5333333333333337,True
32,3.6781609195402303,31,3.5333333333333337,True
33,3.7931034482758625,32,3.8483333333333336,True
34,3.9080459770114944,33,3.8633333333333337,True
35,4.022988505747127,35,3.981666666666667,True
36,4.137931034482759,36,4.165,True
37,4.252873563218391,37,4.303333333333334,True
38,4.367816091954023,38,4.418333333333334,True
39,4.482758620689656,39,4.476666666666667,True
40,4.597701149425288,40,4.653333333333333,True
41,4.71264367816092,41,4.711666666666667,True
42,4.8275862068965525,42,4.891666666666667,True
43,4.942528735632185,43,4.986666666666667,True
44,5.057471264367816,44,5.1000000000000005,True
45,5.172413793103448,45,5.216666666666667,True
46,5.287356321839081,46,5.341666666666667,True
47,5.402298850574713,46,5.341666666666667,True
48,5.517241379310345,47,5.491666666666667,True
49,5.6321839080459775,49,5.698333333333334,True
50,5.74712643678161,49,5.698333333333334,True
51,5.862068965517242,51,5.811666666666668,True
52,5.977011494252874,52,6.036666666666667,True
53,6.0919540229885065,53,6.093333333333334,True
54,6.206896551724139,54,6.251666666666667,True
55,6.321839080459771,55,6.278333333333333,True
56,6.436781609195402,56,6.481666666666667,True
57,6.551724137931035,57,6.496666666666667,True
58,6.666666666666667,58,6.718333333333334,True
59,6.781609195402299,59,6.781666666666667,True
60,6.8965517241379315,60,6.951666666666667,True
61,7.011494252873564,61,6.993333333333334,True
62,7.126436781609196,62,7.155,True
63,7.241379310344828,63,7.275,True
64,7.356321839080461,64,7.348333333333334,True
65,7.471264367816093,65,7.496666666666667,True
66,7.586206896551725,66,7.623333333333334,True
67,7.701149425287357,67,7.778333333333334,True
