frame_index,frame_name,left_norm,right_norm,fused_norm,smoothed_norm,is_peak,selected_mode
0,zs170419_frame_000000.jpg,0.49191057132370225,0.38131207575581927,0.49191057132370225,,False,framewise_max
1,zs170419_frame_000001.jpg,0.49191057132370225,0.38131207575581927,0.49191057132370225,0.5278529006430333,False,framewise_max
2,zs170419_frame_000002.jpg,0.5997375592816956,,0.5997375592816956,0.5925797249958591,False,framewise_max
3,zs170419_frame_000003.jpg,0.6860910443821794,,0.6860910443821794,0.6831993535856243,False,framewise_max
4,zs170419_frame_000004.jpg,0.7637694570929981,,0.7637694570929981,0.7258859829298252,False,framewise_max
5,zs170419_frame_000005.jpg,0.727797447314298,,0.727797447314298,0.5913717951153369,False,framewise_max
6,zs170419_frame_000006.jpg,0.28254848093871454,,0.28254848093871454,0.6559738752957055,False,framewise_max
7,zs170419_frame_000007.jpg,0.9575756976341042,,0.9575756976341042,0.7197563040504378,False,framewise_max
8,zs170419_frame_000008.jpg,0.9191447335784948,,0.9191447335784948,0.9026205788524219,True,framewise_max
9,zs170419_frame_000009.jpg,0.8311413053446667,,0.8311413053446667,0.8158450828399304,False,framewise_max
10,zs170419_frame_000010.jpg,0.6972492095966296,,0.6972492095966296,0.7240096508073468,False,framewise_max
11,zs170419_frame_000011.jpg,0.643638437480744,,0.643638437480744,0.604189598618298,False,framewise_max
12,zs170419_frame_000012.jpg,0.4716811487775205,,0.4716811487775205,0.5326337735770357,False,framewise_max
13,zs170419_frame_000013.jpg,0.4825817344728425,,0.4825817344728425,0.5088575348219225,False,framewise_max
14,zs170419_frame_000014.jpg,0.5723097212154047,,0.5723097212154047,0.5184354316367967,False,framewise_max
15,zs170419_frame_000015.jpg,0.500414839222143,,0.500414839222143,0.5308673952460456,False,framewise_max
16,zs170419_frame_000016.jpg,0.5198776253005892,,0.5198776253005892,0.34009748817424407,False,framewise_max
17,zs170419_frame_000017.jpg,0.0,,0.0,0.31887038349857366,False,framewise_max
18,zs170419_frame_000018.jpg,0.4367335251951317,,0.4367335251951317,0.44371425819968435,False,framewise_max
19,zs170419_frame_000019.jpg,0.8944092494039214,,0.8944092494039214,0.734437956081124,False,framewise_max
20,zs170419_frame_000020.jpg,0.8721710936443191,0.6741429827360949,0.8721710936443191,0.8933305863132474,False,framewise_max
21,zs170419_frame_000021.jpg,0.9134114158915019,0.7546192547845413,0.9134114158915019,0.9104682758711986,False,framewise_max
22,zs170419_frame_000022.jpg,0.9458223180777752,0.6991609603246783,0.9458223180777752,0.9417590810314301,True,framewise_max
23,zs170419_frame_000023.jpg,0.9660435091250135,0.674109790097766,0.9660435091250135,0.9049950536187193,False,framewise_max
24,zs170419_frame_000024.jpg,0.8031193336533694,0.5109773035284652,0.8031193336533694,0.8312195991419953,False,framewise_max
25,zs170419_frame_000025.jpg,0.7244959546476033,0.4534851087167701,0.7244959546476033,0.7176878303542225,False,framewise_max
26,zs170419_frame_000026.jpg,0.6254482027616944,,0.6254482027616944,0.6359990479656329,False,framewise_max
27,zs170419_frame_000027.jpg,0.558052986487601,,0.558052986487601,0.526074072703015,False,framewise_max
28,zs170419_frame_000028.jpg,0.39472102885974963,,0.39472102885974963,0.36567405511406187,False,framewise_max
29,zs170419_frame_000029.jpg,0.1442481499948349,,0.1442481499948349,0.5129897262848615,False,framewise_max
30,zs170419_frame_000030.jpg,0.27417187081832534,1.0,1.0,0.6661208273248198,False,framewise_max
31,zs170419_frame_000031.jpg,0.567582026044306,0.8541143319796247,0.8541143319796247,0.8977268629560213,True,framewise_max
32,zs170419_frame_000032.jpg,0.7669410351656488,0.8390662568884392,0.8390662568884392,0.8465564095299528,False,framewise_max
33,zs170419_frame_000033.jpg,0.8076244133388986,0.8464886397217949,0.8464886397217949,0.8348938441845822,False,framewise_max
34,zs170419_frame_000034.jpg,0.807069601114351,0.8191266359435129,0.8191266359435129,0.8352412803000239,False,framewise_max
35,zs170419_frame_000035.jpg,0.8378260028834246,0.840108565234764,0.840108565234764,0.7914275354225269,False,framewise_max
36,zs170419_frame_000036.jpg,0.6749487622075787,0.7150474050893039,0.7150474050893039,0.7567166066715505,False,framewise_max
