method,frames,cows,expected_nostrils,predicted_points,correct_points,precision,recall,point_f1,no_correct_visible_frames
direct_nostril_oof,36,12,50,0,0,0.0,0.0,0.0,30
no_keypoint_fallback_oof,36,12,50,27,18,0.6666666666666666,0.36,0.4675324675324675,16
original_pose,36,12,50,27,18,0.6666666666666666,0.36,0.4675324675324675,16
