method,frames,cows,expected_nostrils,predicted_points,correct_points,precision,recall,point_f1,no_correct_visible_frames
direct_nostril_oof,36,12,50,31,23,0.7419354838709677,0.46,0.5679012345679012,13
no_keypoint_fallback_oof,36,12,50,34,21,0.6176470588235294,0.42,0.5,13
original_pose,36,12,50,27,18,0.6666666666666666,0.36,0.4675324675324675,16
