review_id,window_id,frame_index,side,stored,recomputed,absolute_error,frame_sha256
R3-22,jiufu_bd77cfa7950eaa_first30,174,left,32.28626864526458,32.28626864526458,0.0,08f2fab60e7d5116a236f94f2806ec6f927963e0ab309b4c5224aced20e1d373
R3-22,jiufu_bd77cfa7950eaa_first30,174,right,32.19747016719851,32.19747016719851,0.0,08f2fab60e7d5116a236f94f2806ec6f927963e0ab309b4c5224aced20e1d373
R3-05,jiufu_0d1522aef374ec_first30,87,right,32.03267263783041,32.03267263783041,0.0,5a30aedbb250082d423417be2ac32a5c1cc6eff10619a426c1aa0c1adbf825cb
R3-02,jiufu_7cb985938d0a6a_first30,0,left,31.093712635515217,31.093712635515217,0.0,b4ebee8983237069b201efc2c43070060d44b3ccefa58bbd348cc22ce42b7a0e
R3-02,jiufu_7cb985938d0a6a_first30,0,right,32.56077314408382,32.56077314408382,0.0,b4ebee8983237069b201efc2c43070060d44b3ccefa58bbd348cc22ce42b7a0e
R3-02,jiufu_7cb985938d0a6a_first30,87,left,31.780852677776725,31.780852677776725,0.0,8ff4a463b2b26e7c4184e0f168f741015e7a882bce181a51c172ca51f17a2b08
R3-02,jiufu_7cb985938d0a6a_first30,87,right,32.570871749761984,32.570871749761984,0.0,8ff4a463b2b26e7c4184e0f168f741015e7a882bce181a51c172ca51f17a2b08
R3-02,jiufu_7cb985938d0a6a_first30,174,left,31.28064539129098,31.28064539129098,0.0,8741a85bf4d1d2f66d7d58a299f4635c9fc771558c8de9f5e876e25b261e4bf4
R3-02,jiufu_7cb985938d0a6a_first30,174,right,32.241700640520484,32.241700640520484,0.0,8741a85bf4d1d2f66d7d58a299f4635c9fc771558c8de9f5e876e25b261e4bf4
R3-10,jiufu_f920435ef76ec4_first30,0,left,32.40100556792414,32.40100556792414,0.0,b4c18e7a3dc217a62d0d781c0e972686f7afd6146c298fe0eb54c2c29bd838d4
R3-10,jiufu_f920435ef76ec4_first30,0,right,32.22011918009247,32.22011918009247,0.0,b4c18e7a3dc217a62d0d781c0e972686f7afd6146c298fe0eb54c2c29bd838d4
R3-10,jiufu_f920435ef76ec4_first30,174,left,31.95538504801976,31.95538504801976,0.0,8f8f0b2729788bae3a45ede103947a27346122ac64b5298362ac2725684f7d7b
R3-10,jiufu_f920435ef76ec4_first30,174,right,31.818615636804164,31.818615636804164,0.0,8f8f0b2729788bae3a45ede103947a27346122ac64b5298362ac2725684f7d7b
R3-23,jiufu_cc60214ff2d564_first30,0,left,32.34793851499744,32.34793851499744,0.0,460223278a5a55ccd82622284db2a2003e3d0ddbc5a14c284c5e49d6e4460cbf
R3-23,jiufu_cc60214ff2d564_first30,0,right,33.15857983964355,33.15857983964355,0.0,460223278a5a55ccd82622284db2a2003e3d0ddbc5a14c284c5e49d6e4460cbf
R3-23,jiufu_cc60214ff2d564_first30,174,left,32.91057015699772,32.91057015699772,0.0,d102bd45191676f84274af0d79b0ebe35796b97f4c705107bacdc698061866f0
R3-23,jiufu_cc60214ff2d564_first30,174,right,32.66940605432768,32.66940605432768,0.0,d102bd45191676f84274af0d79b0ebe35796b97f4c705107bacdc698061866f0
R3-11,jiufu_13f838ff73e069_first30,174,left,29.59852465822566,29.59852465822566,0.0,60b9b89b8904d723346d93e940785557574c2a47ccbdd5fb5e5aad5b4d5c6750
R3-11,jiufu_13f838ff73e069_first30,174,right,31.047950312446183,31.047950312446186,3.552713678800501e-15,60b9b89b8904d723346d93e940785557574c2a47ccbdd5fb5e5aad5b4d5c6750
R3-09,jiufu_440a29cebcae1c_first30,0,left,33.091644262241054,33.091644262241054,0.0,89bb3c46c01e82220ded4182ae757a91eb25ea9dcb3e9c221faccb6b99c11bab
R3-09,jiufu_440a29cebcae1c_first30,0,right,33.37732748995461,33.37732748995461,0.0,89bb3c46c01e82220ded4182ae757a91eb25ea9dcb3e9c221faccb6b99c11bab
R3-09,jiufu_440a29cebcae1c_first30,174,left,33.29600664785322,33.29600664785322,0.0,be82f44453ae8ab8f278ac2d65d3b8b12e29a9b3c112e072ea3be28ce10746ba
R3-09,jiufu_440a29cebcae1c_first30,174,right,33.49203583951978,33.49203583951978,0.0,be82f44453ae8ab8f278ac2d65d3b8b12e29a9b3c112e072ea3be28ce10746ba
R3-24,jiufu_55441b4c6fe974_first30,0,left,31.564374031742187,31.564374031742187,0.0,ce540ab8bd9cce27f617caab156e884c93d922d97c1b02f86f1fe9e38f350cc2
R3-24,jiufu_55441b4c6fe974_first30,0,right,33.75764189251745,33.75764189251745,0.0,ce540ab8bd9cce27f617caab156e884c93d922d97c1b02f86f1fe9e38f350cc2
R3-24,jiufu_55441b4c6fe974_first30,87,left,33.179750178783664,33.179750178783664,0.0,829700d8ed1b69c7d2b4262223e5431dcee2ef8d084ec5cc9e9b64f201baac12
R3-24,jiufu_55441b4c6fe974_first30,87,right,32.92657812236308,32.92657812236308,0.0,829700d8ed1b69c7d2b4262223e5431dcee2ef8d084ec5cc9e9b64f201baac12
R3-24,jiufu_55441b4c6fe974_first30,174,left,32.31188622079141,32.31188622079141,0.0,d0cb2c4735047bfcc76b8de3f548c0b433ddeb68f9006147d3f68df953490d4b
R3-24,jiufu_55441b4c6fe974_first30,174,right,33.440498251415214,33.440498251415214,0.0,d0cb2c4735047bfcc76b8de3f548c0b433ddeb68f9006147d3f68df953490d4b
