review_id,window_id,frame_index,variant,imgsz,box_threshold,detections,best_box_confidence,high_conf_nostril_count,left_x,left_y,left_conf,right_x,right_y,right_conf
R3-02,jiufu_7cb985938d0a6a_first30,0,baseline640,640,0.25,1,0.6816357374191284,1,447.034423828125,755.9613647460938,0.999376118183136,327.5013427734375,752.8344116210938,0.003406795207411051
R3-02,jiufu_7cb985938d0a6a_first30,0,resolution1280,1280,0.25,0,,0,,,,,,
R3-02,jiufu_7cb985938d0a6a_first30,0,low_box_conf,640,0.05,1,0.6816357374191284,1,447.034423828125,755.9613647460938,0.999376118183136,327.5013427734375,752.8344116210938,0.003406795207411051
R3-02,jiufu_7cb985938d0a6a_first30,87,baseline640,640,0.25,1,0.8923643827438354,2,580.7210083007812,452.81610107421875,0.9998936653137207,469.6941833496094,448.0564270019531,0.973076343536377
R3-02,jiufu_7cb985938d0a6a_first30,87,resolution1280,1280,0.25,1,0.8459714651107788,2,576.6162109375,444.46087646484375,0.9992826581001282,475.05328369140625,444.2279968261719,0.999695897102356
R3-02,jiufu_7cb985938d0a6a_first30,87,low_box_conf,640,0.05,1,0.8923643827438354,2,580.7210083007812,452.81610107421875,0.9998936653137207,469.6941833496094,448.0564270019531,0.973076343536377
R3-02,jiufu_7cb985938d0a6a_first30,174,baseline640,640,0.25,1,0.8931835293769836,2,602.7296142578125,429.6632385253906,0.9943978786468506,496.54791259765625,432.57269287109375,0.9891746044158936
R3-02,jiufu_7cb985938d0a6a_first30,174,resolution1280,1280,0.25,1,0.860448956489563,2,600.2022094726562,427.7693786621094,0.9992689490318298,493.1678161621094,427.94512939453125,0.9998010993003845
R3-02,jiufu_7cb985938d0a6a_first30,174,low_box_conf,640,0.05,1,0.8931835293769836,2,602.7296142578125,429.6632385253906,0.9943978786468506,496.54791259765625,432.57269287109375,0.9891746044158936
R3-10,jiufu_f920435ef76ec4_first30,0,baseline640,640,0.25,1,0.8083230257034302,2,549.6657104492188,492.775634765625,0.9998606443405151,353.2779541015625,494.3876953125,0.9057146906852722
R3-10,jiufu_f920435ef76ec4_first30,0,resolution1280,1280,0.25,0,,0,,,,,,
R3-10,jiufu_f920435ef76ec4_first30,0,low_box_conf,640,0.05,1,0.8083230257034302,2,549.6657104492188,492.775634765625,0.9998606443405151,353.2779541015625,494.3876953125,0.9057146906852722
R3-10,jiufu_f920435ef76ec4_first30,87,baseline640,640,0.25,0,,0,,,,,,
R3-10,jiufu_f920435ef76ec4_first30,87,resolution1280,1280,0.25,0,,0,,,,,,
R3-10,jiufu_f920435ef76ec4_first30,87,low_box_conf,640,0.05,0,,0,,,,,,
R3-10,jiufu_f920435ef76ec4_first30,174,baseline640,640,0.25,1,0.7925143837928772,2,940.2680053710938,249.4210205078125,0.9997535347938538,692.3167724609375,242.28163146972656,0.9934709072113037
R3-10,jiufu_f920435ef76ec4_first30,174,resolution1280,1280,0.25,0,,0,,,,,,
R3-10,jiufu_f920435ef76ec4_first30,174,low_box_conf,640,0.05,1,0.7925143837928772,2,940.2680053710938,249.4210205078125,0.9997535347938538,692.3167724609375,242.28163146972656,0.9934709072113037
R3-01,jiufu_bb78a10aeab6d5_first30,0,baseline640,640,0.25,0,,0,,,,,,
R3-01,jiufu_bb78a10aeab6d5_first30,0,resolution1280,1280,0.25,0,,0,,,,,,
R3-01,jiufu_bb78a10aeab6d5_first30,0,low_box_conf,640,0.05,0,,0,,,,,,
R3-01,jiufu_bb78a10aeab6d5_first30,87,baseline640,640,0.25,0,,0,,,,,,
R3-01,jiufu_bb78a10aeab6d5_first30,87,resolution1280,1280,0.25,0,,0,,,,,,
R3-01,jiufu_bb78a10aeab6d5_first30,87,low_box_conf,640,0.05,0,,0,,,,,,
R3-01,jiufu_bb78a10aeab6d5_first30,174,baseline640,640,0.25,0,,0,,,,,,
R3-01,jiufu_bb78a10aeab6d5_first30,174,resolution1280,1280,0.25,0,,0,,,,,,
R3-01,jiufu_bb78a10aeab6d5_first30,174,low_box_conf,640,0.05,0,,0,,,,,,
