frame_index,time_seconds,det_index,x,y,x0,y0,x1,y1,confidence,temperature
77,8.85057471264368,0,556.3806762695312,424.78955078125,532.97216796875,397.4610595703125,579.7891845703125,452.1180419921875,0.29248061776161194,34.431832183462745
79,9.080459770114944,0,639.4285278320312,673.8476867675781,618.716064453125,647.6800537109375,660.1409912109375,700.0153198242188,0.4392760992050171,33.017213381662884
79,9.080459770114944,1,593.6994018554688,502.5165557861328,567.6497802734375,476.0093078613281,619.7490234375,529.0238037109375,0.37578052282333374,34.461075407359736
80,9.195402298850576,0,618.3352661132812,538.0714263916016,593.434326171875,511.6369323730469,643.2362060546875,564.5059204101562,0.2983240783214569,34.27824351085668
81,9.310344827586208,0,635.5752868652344,564.6419067382812,606.09033203125,535.1207885742188,665.0602416992188,594.1630249023438,0.5560262799263,34.29753379352161
82,9.42528735632184,0,628.9723510742188,572.1015014648438,599.8756103515625,544.0741577148438,658.069091796875,600.1288452148438,0.388729989528656,34.324055339019054
83,9.540229885057473,0,637.5382690429688,584.8521118164062,607.7032470703125,556.1175537109375,667.373291015625,613.586669921875,0.45547911524772644,34.262223065130215
84,9.655172413793103,0,636.5882263183594,589.7090148925781,611.258544921875,566.0953369140625,661.9179077148438,613.3226928710938,0.40733349323272705,34.231089281920354
85,9.770114942528735,0,637.453125,589.3736572265625,612.85498046875,565.7883911132812,662.05126953125,612.9589233398438,0.3971268832683563,34.236111036804914
86,9.88505747126437,0,637.1294250488281,589.1202697753906,613.4931640625,565.474365234375,660.7656860351562,612.7661743164062,0.36515069007873535,34.2785827168161
87,10.0,0,674.9423828125,587.8453369140625,651.7068481445312,561.64306640625,698.1779174804688,614.047607421875,0.44356733560562134,34.53475774952097
174,20.0,0,697.1174621582031,333.94581604003906,671.8361206054688,308.5320129394531,722.3988037109375,359.359619140625,0.30645063519477844,34.432492577308345
231,26.55172413793104,0,683.7214965820312,329.26011657714844,660.4448852539062,301.2910461425781,706.9981079101562,357.22918701171875,0.2693864107131958,34.4944957448981
