reference,method,windows,tp,fp,fn,precision,recall,f1
R2,frozen,216,1324,1028,1706,0.5629251700680272,0.43696369636963694,0.4920104050538833
R2,partial_timestamp,216,1584,1289,1446,0.5513400626522799,0.5227722772277228,0.5366762663052685
R3,frozen,11,41,42,102,0.4939759036144578,0.2867132867132867,0.36283185840707965
R3,partial_timestamp,11,63,62,80,0.504,0.4405594405594406,0.4701492537313433
