reference,windows,clusters,delta_f1,delta_ci_low,delta_ci_high,additional_tp,additional_fp,improved_windows,worsened_windows
R2,216,144,0.04466586125138522,0.02637896747050035,0.06512179562245424,260,261,42,0
R3,11,11,0.10731739532426365,-7.370283018864468e-07,0.2849129587732529,22,20,3,0
