window_id,video_id,video_path,source_path,source_start_seconds,duration_seconds,cohort,annotation_round,annotator,annotation_status,manual_breath_count,event_definition,predictions_hidden,reference_notes,prior_algorithm_exposure,browser_video_path,view_start_seconds,duration_seconds_prediction,predicted_count,prediction_status,timebase_verified,timebase,truth_count,truth_rr_bpm,predicted_rr_bpm,verified_cow_id
16170075_anchored_30s,16170075,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\16170075_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163542n16170075\20230805T163542n16170075.MP4,205.75383084577115,30.05393034825871,lindian49,R2,1,complete,28,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\16170075_browser_lossless.mp4,0,30.05393034825871,27.0,ok,true,annotation_video_seconds,28.0,55.89951066407982,53.90309956893412,source_d070ccee03a2
170272_anchored_30s,170272,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\170272_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162420n170272\20230805T162420n170272.MP4,0,30.017849344978167,lindian49,R2,1,complete,24,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\170272_browser_lossless.mp4,0,30.017849344978167,26.0,ok,true,annotation_video_seconds,24.0,47.97145802988396,51.969079532374295,source_a00e16b0299d
170333_anchored_30s,170333,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\170333_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T173428n170333\20230805T173428n170333.MP4,0,30.042281382880383,lindian49,R2,1,complete,16,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\170333_browser_lossless.mp4,0,30.042281382880383,18.0,ok,true,annotation_video_seconds,16.0,31.95496333201435,35.949333748516146,source_f7578df41d28
170334_anchored_30s,170334,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\170334_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164143n170334\20230805T164143n170334.MP4,141.6646900269542,29.95859838274933,lindian49,R2,1,complete,18,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\170334_browser_lossless.mp4,0,29.95859838274933,18.0,ok,true,annotation_video_seconds,18.0,36.04975059920969,36.04975059920969,source_21ee784cc1b6
177395_anchored_30s,177395,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\177395_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T172615n177395哆嗦\20230805T172615n177395哆嗦.MP4,0,29.998069276741063,lindian49,R2,1,complete,36,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\177395_browser_lossless.mp4,0,29.998069276741063,35.0,ok,true,annotation_video_seconds,36.0,72.00463403405602,70.00450531088781,source_70cedf09ae50
190546_anchored_30s,190546,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\190546_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T171734n190546\20230805T171734n190546.MP4,107.34997020262216,30.01181962653953,lindian49,R2,1,complete,21,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\190546_browser_lossless.mp4,0,30.01181962653953,23.0,ok,true,annotation_video_seconds,21.0,41.983459039777074,45.98188371023203,source_a802b65daed4
190588_anchored_30s,190588,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\190588_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,63.388757951121526,29.959285236022765,lindian49,R2,1,complete,23,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\190588_browser_lossless.mp4,0,29.959285236022765,25.0,ok,true,annotation_video_seconds,23.0,46.06251414638894,50.06795015911842,source_84e533641218
196434_anchored_30s,196434,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\196434_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T173827n196434\20230805T173827n196434.MP4,32.14201870999508,30.04580009847366,lindian49,R2,1,complete,16,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\196434_browser_lossless.mp4,0,30.04580009847366,15.0,ok,true,annotation_video_seconds,16.0,31.951221031014196,29.95426971657581,source_47fd3c9e5b8a
200713_anchored_30s,200713,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\200713_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160920n200713\20230805T160920n200713.MP4,201.9588941229251,29.975560789591743,lindian49,R2,1,complete,18,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\200713_browser_lossless.mp4,0,29.975560789591743,20.0,ok,true,annotation_video_seconds,18.0,36.029350962968564,40.03261218107618,source_f96c6a9f60a1
200718_anchored_30s,200718,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\200718_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160223n200718\20230805T160223n200718.MP4,0,30.05568670847165,lindian49,R2,1,complete,17,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\200718_browser_lossless.mp4,0,30.05568670847165,18.0,ok,true,annotation_video_seconds,17.0,33.937005329260955,35.93329976039395,source_d2d6ccd57b09
210989_anchored_30s,210989,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\210989_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T170919n210989\20230805T170919n210989.MP4,65.15901861252115,30.03784545967288,lindian49,R2,1,complete,18,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\210989_browser_lossless.mp4,0,30.03784545967288,19.0,ok,true,annotation_video_seconds,18.0,35.95464266736265,37.952122815549465,source_809362945179
211056_anchored_30s,211056,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\211056_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163001n211056\20230805T163001n211056.MP4,138.91940685611186,29.96526048714479,lindian49,R2,1,complete,24,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\211056_browser_lossless.mp4,0,29.96526048714479,26.0,ok,true,annotation_video_seconds,24.0,48.0556476596546,52.06028496462582,source_8c9317db9782
211070_anchored_30s,211070,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\211070_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T171538n211070\20230805T171538n211070.MP4,17.14854570637119,29.952793167128345,lindian49,R2,1,complete,28,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\211070_browser_lossless.mp4,0,29.952793167128345,25.0,ok,true,annotation_video_seconds,28.0,56.08825830118955,50.07880205463353,source_1d9b491543db
ba170296_anchored_30s,ba170296,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\ba170296_anchored30s.mp4,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806下午\20230806T173354n170296\20230806T173354n170296.MP4,0,30.01586849106804,lindian49,R2,1,complete,18,expiration_peak,true,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\ba170296_browser_lossless.mp4,0,30.01586849106804,18.0,ok,true,annotation_video_seconds,18.0,35.98096787775375,35.98096787775375,source_cbcfd5bce3eb
