frame_index,frame_name,left_norm,right_norm,fused_norm,smoothed_norm,is_peak,selected_mode
0,211070_frame_000000.jpg,0.31990989409928194,0.7147784424663014,0.7147784424663014,,False,right
1,211070_frame_000001.jpg,0.3186135511713497,0.7147784424663014,0.7147784424663014,0.7245502503699743,False,right
2,211070_frame_000002.jpg,0.3456393814043952,0.7440938661773203,0.7440938661773203,0.7548313222426325,False,right
3,211070_frame_000003.jpg,0.35825279871701016,0.805621658084276,0.805621658084276,0.6445327094946934,False,right
4,211070_frame_000004.jpg,0.3207635938353337,0.3838826042224843,0.3838826042224843,0.44799729674490113,False,right
5,211070_frame_000005.jpg,0.17760770006527643,0.15448762792794327,0.15448762792794327,0.27992787665972463,False,right
6,211070_frame_000006.jpg,0.0936436587750246,0.3014133978287464,0.3014133978287464,0.36803066966198883,False,right
7,211070_frame_000007.jpg,0.2599864374027488,0.6481909832292768,0.6481909832292768,0.5649907055503495,False,right
8,211070_frame_000008.jpg,0.21064123006258312,0.7453677355930253,0.7453677355930253,0.746563647973905,False,right
9,211070_frame_000009.jpg,0.2476899014135947,0.8461322250994129,0.8461322250994129,0.8307423816327347,False,right
10,211070_frame_000010.jpg,0.2876044863304466,0.9007271842057661,0.9007271842057661,0.8316033842976793,True,right
11,211070_frame_000011.jpg,0.13628024326125543,0.7479507435878594,0.7479507435878594,0.7828817104235799,False,right
12,211070_frame_000012.jpg,0.12077292639907458,0.699967203477114,0.699967203477114,0.5527307674610467,False,right
13,211070_frame_000013.jpg,0.1309322143998485,0.21027435531816666,0.21027435531816666,0.49480748413477843,False,right
14,211070_frame_000014.jpg,0.2726264012474396,0.5741808936090546,0.5741808936090546,0.5020233258493512,False,right
15,211070_frame_000015.jpg,0.28074019320059596,0.7216147286208324,0.7216147286208324,0.7157010487426985,False,right
16,211070_frame_000016.jpg,0.30571745955438895,0.8513075239982087,0.8513075239982087,0.8202772715140261,True,right
17,211070_frame_000017.jpg,0.373692592342657,0.887909561923037,0.887909561923037,0.81775986447684,False,right
18,211070_frame_000018.jpg,0.2686153415373595,0.7140625075092745,0.7140625075092745,0.6713802653933456,False,right
19,211070_frame_000019.jpg,0.11007477799241065,0.41216872674772564,0.41216872674772564,0.5136564975376585,False,right
20,211070_frame_000020.jpg,0.08082519729320956,0.41473825835597566,0.41473825835597566,0.4173497537092161,False,right
21,211070_frame_000021.jpg,0.14353105763919968,0.4251422760239471,0.4251422760239471,0.42998423110956746,False,right
22,211070_frame_000022.jpg,0.15716415058769506,0.4500721589487798,0.4500721589487798,0.5110559669589217,False,right
23,211070_frame_000023.jpg,0.2616663815330499,0.6579534659040385,0.6579534659040385,0.6099197038420126,False,right
24,211070_frame_000024.jpg,0.22737979965485144,0.7217334866732197,0.7217334866732197,0.7511328484500889,True,right
25,211070_frame_000025.jpg,0.45870852593463574,0.8737115927730087,0.8737115927730087,0.7042496805308591,False,right
26,211070_frame_000026.jpg,0.12999308706123086,0.5173039621463492,0.5173039621463492,0.5782454390816427,False,right
27,211070_frame_000027.jpg,0.0,0.34372076232557025,0.34372076232557025,0.39343212052294363,False,right
28,211070_frame_000028.jpg,0.05767945402979895,0.3192716370969115,0.3192716370969115,0.40529262352483975,False,right
29,211070_frame_000029.jpg,0.10121361836819927,0.5528854711520375,0.5528854711520375,0.4516820174124655,False,right
30,211070_frame_000030.jpg,0.17802185215131472,0.4828889439884476,0.4828889439884476,0.5650629306944395,False,right
31,211070_frame_000031.jpg,0.14165308711795863,0.6594143769428333,0.6594143769428333,0.5905180540441465,True,right
