cohort,video_id,saved_count,replay_count,matches,scope
internal73,16170075,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,170272,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,170333,6,6,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,170334,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,177395,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,190546,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,190588,11,11,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,196434,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,200653,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,200713,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,200718,11,11,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,200937,11,11,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,200939,11,11,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,210944,4,4,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,210989,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,210994,6,6,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,211040,11,11,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,211049,5,5,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,211056,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,211070,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ba170296,7,7,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ba177610,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ba455,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ba6516,6,6,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs0514,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs1479,8,8,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs170227,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs177611,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs189556,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs190624,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs190625,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs196399,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs200673,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs200723,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs200794,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs210974,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs210984,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs211046,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs211063,11,11,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs3015,6,6,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs450,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs455,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs4717,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,bs6516,8,8,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns153017,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns170082,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns179166,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns196527,11,11,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns200886,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns210947,13,13,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns211003,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns211013,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns211030,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns211095,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns211117,11,11,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns211146,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns211154,11,11,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,ns5364,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs16110159,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs16110577,6,6,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs170053,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs170065,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs170236,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs170416,9,9,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs170419,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs170554,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs179187,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs190621,8,8,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs197000,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs200751,11,11,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs200783,11,11,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs200796,11,11,True,historical_per_clip_config_replay_not_transferable_test_method
internal73,zs211062,10,10,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,16170075,27,27,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,170272,26,26,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,170333,20,20,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,170334,18,18,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,177395,35,35,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,190546,23,23,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,190588,23,23,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,196434,15,15,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,200713,18,18,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,200718,18,18,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,210989,19,19,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,211056,25,25,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,211070,25,25,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,ba170296,18,18,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,ba177610,23,23,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,ba455,29,29,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,ba6516,24,24,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs0514,20,20,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs170227,18,18,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs177611,19,19,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs189556,13,13,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs190624,27,27,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs200673,31,31,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs200794,29,29,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs210974,23,23,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs211046,17,17,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs211063,32,32,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs450,32,32,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs455,20,20,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs4717,31,31,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,bs6516,18,18,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,ns170082,31,31,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,ns179166,36,36,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,ns196527,37,37,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,ns200886,31,31,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,ns210947,22,22,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,ns211003,22,22,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,ns211095,26,26,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,ns211117,35,35,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,ns211146,30,30,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,zs170053,20,20,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,zs170236,31,31,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,zs170416,21,21,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,zs170554,22,22,True,historical_per_clip_config_replay_not_transferable_test_method
anchored49,zs190621,19,19,True,historical_per_clip_config_replay_not_transferable_test_method
