cohort,analysis_set,variant,n,rr_r2,rr_mae_bpm,rr_rmse_bpm,count_mae,exact_count,within_one_count,mean_count_accuracy_percent,bias_bpm,loa_low_bpm,loa_high_bpm
anchored49,all_numeric,F0G0P0,49,0.23701724591192475,5.471675763156356,9.888742864174763,2.7346938775510203,12,31,87.9203439394861,-2.9403519773531155,-21.637424886451583,15.75672093174535
anchored49,all_numeric,F0G0P1,49,0.616734058974082,4.368565951233812,7.008641356551126,2.183673469387755,13,31,90.63782294912241,-1.511207480536791,-15.064020433771885,12.041605472698302
anchored49,all_numeric,F0G1P0,49,0.23701724591192475,5.471675763156356,9.888742864174763,2.7346938775510203,12,31,87.9203439394861,-2.9403519773531155,-21.637424886451583,15.75672093174535
anchored49,all_numeric,F0G1P1,49,0.616734058974082,4.368565951233812,7.008641356551126,2.183673469387755,13,31,90.63782294912241,-1.511207480536791,-15.064020433771885,12.041605472698302
anchored49,all_numeric,F1G0P0,49,0.8325227378878142,3.0610307473178944,4.632993059358652,1.530612244897959,14,34,93.0297262373622,0.4490182566360614,-8.682559819918342,9.580596333190464
anchored49,all_numeric,F1G0P1,49,0.8809440013919597,2.815783130136477,3.906243971064354,1.4081632653061225,13,32,93.78854628258965,1.5103240321728149,-5.623653603406716,8.644301667752346
anchored49,all_numeric,F1G1P0,49,0.8280610827677386,3.1018612438893722,4.694299744318554,1.5510204081632653,14,34,92.95123330172642,0.4898487532075391,-8.755575749652584,9.735273256067662
anchored49,all_numeric,F1G1P1,49,0.876482346271884,2.8566136267079547,3.978764552335362,1.4285714285714286,13,32,93.71005334695386,1.5511545287442925,-5.704595995241556,8.80690505273014
anchored49,primary_completed,F0G0P0,39,0.5616949430380078,4.05321662967651,7.950486695979216,2.0256410256410255,11,27,90.76517816749185,-1.2833293154753356,-16.862973628315945,14.296314997365275
anchored49,primary_completed,F0G0P1,39,0.7748959823481661,3.283105736754121,5.697667450759646,1.641025641025641,12,29,92.74107509682798,-0.3088345578101365,-11.605616559057086,10.987947443436813
anchored49,primary_completed,F0G1P0,39,0.5616949430380078,4.05321662967651,7.950486695979216,2.0256410256410255,11,27,90.76517816749185,-1.2833293154753356,-16.862973628315945,14.296314997365275
anchored49,primary_completed,F0G1P1,39,0.7748959823481661,3.283105736754121,5.697667450759646,1.641025641025641,12,29,92.74107509682798,-0.3088345578101365,-11.605616559057086,10.987947443436813
anchored49,primary_completed,F1G0P0,39,0.8770211507123158,2.7175233619594517,4.211343701127511,1.358974358974359,12,28,93.75175040238392,0.2567094143699605,-8.089877188279951,8.603296017019874
anchored49,primary_completed,F1G0P1,39,0.9303435611372881,2.3581841286331464,3.1694660805816426,1.1794871794871795,11,28,94.62471094348692,1.1282770541815674,-4.752820949407076,7.009375057770211
anchored49,primary_completed,F1G1P0,39,0.8720393773337688,2.76882321662618,4.295795976099919,1.3846153846153846,12,28,93.65313107299535,0.30800926903668896,-8.199863936890523,8.8158824749639
anchored49,primary_completed,F1G1P1,39,0.9253617877587412,2.409483983299875,3.2808478378625634,1.205128205128205,11,28,94.52609161409833,1.179576908848296,-4.899333054231366,7.258486871927958
internal73,all_numeric,F0G0P0,73,0.3426645123754961,5.43415602662178,10.547608375658683,0.958904109589041,33,57,90.08425744727116,-2.527845442229004,-22.73757044641411,17.6818795619561
internal73,all_numeric,F0G0P1,73,0.705786812755,2.7204302546768298,7.056535394216338,0.4657534246575342,46,71,95.07941449722273,-1.158275514439898,-14.895911065399847,12.57936003652005
internal73,all_numeric,F0G1P0,73,0.3426645123754961,5.43415602662178,10.547608375658683,0.958904109589041,33,57,90.08425744727116,-2.527845442229004,-22.73757044641411,17.6818795619561
internal73,all_numeric,F0G1P1,73,0.705786812755,2.7204302546768298,7.056535394216338,0.4657534246575342,46,71,95.07941449722273,-1.158275514439898,-14.895911065399847,12.57936003652005
internal73,all_numeric,F1G0P0,73,0.677707635011794,4.356471154416361,7.385594603449902,0.7671232876712328,35,61,91.82910316471961,-1.3786658546932518,-15.698405808481475,12.941074099094973
internal73,all_numeric,F1G0P1,73,0.9447702357801693,1.6156149786286773,3.0573633233617397,0.3013698630136986,51,73,96.67205321314911,-0.1421341215861764,-6.1695129718533455,5.885244728680993
internal73,all_numeric,F1G1P0,73,0.677707635011794,4.356471154416361,7.385594603449902,0.7671232876712328,35,61,91.82910316471961,-1.3786658546932518,-15.698405808481475,12.941074099094973
internal73,all_numeric,F1G1P1,73,0.9447702357801693,1.6156149786286773,3.0573633233617397,0.3013698630136986,51,73,96.67205321314911,-0.1421341215861764,-6.1695129718533455,5.885244728680993
