cohort,video_id,side,frame_index,temperature,image_path,rule
internal73,170333,right,56,35.36043600565896,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170333\170333_frame_000056.jpg,internal_gap<=3;direct_anchors;shift<=20px
internal73,170333,right,57,36.356322842458944,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170333\170333_frame_000057.jpg,internal_gap<=3;direct_anchors;shift<=20px
internal73,200653,left,16,35.981548348469914,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\200653\200653_frame_000016.jpg,internal_gap<=3;direct_anchors;shift<=20px
internal73,200653,left,17,34.742982816740486,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\200653\200653_frame_000017.jpg,internal_gap<=3;direct_anchors;shift<=20px
internal73,ba455,right,40,32.06582860775652,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\ba455\ba455_frame_000040.jpg,internal_gap<=3;direct_anchors;shift<=20px
internal73,bs210984,right,34,32.149154221719556,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\bs210984\bs210984_frame_000034.jpg,internal_gap<=3;direct_anchors;shift<=20px
internal73,bs210984,right,79,32.29537569354039,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\bs210984\bs210984_frame_000079.jpg,internal_gap<=3;direct_anchors;shift<=20px
internal73,zs170065,right,8,29.697318444503733,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\zs170065\zs170065_frame_000008.jpg,internal_gap<=3;direct_anchors;shift<=20px
internal73,zs170065,right,9,29.84613740042765,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\zs170065\zs170065_frame_000009.jpg,internal_gap<=3;direct_anchors;shift<=20px
internal73,zs170065,right,10,29.95780919097529,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\zs170065\zs170065_frame_000010.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,170333,right,82,35.39150543801694,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\170333\frame_000082.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,170333,right,83,36.344177197231964,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\170333\frame_000083.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,200713,left,230,32.08747210256472,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200713\frame_000230.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,200718,left,167,33.738140792712464,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200718\frame_000167.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,200718,left,189,33.768233348320116,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200718\frame_000189.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,200718,left,191,33.83245759521884,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200718\frame_000191.jpg,internal_gap<=3;direct_anchors;shift<=20px
anchored49,200718,left,197,33.17159597701113,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200718\frame_000197.jpg,internal_gap<=3;direct_anchors;shift<=20px
