grid_index,time_seconds,is_human_reference
8,0.9195402298850576,False
34,3.9080459770114944,False
50,5.74712643678161,False
94,10.804597701149426,False
128,14.712643678160921,False
144,16.551724137931036,False
149,17.126436781609197,False
155,17.81609195402299,False
173,19.885057471264368,False
191,21.95402298850575,False
245,28.160919540229887,False
253,29.080459770114945,False
