window_id,prediction_event_id,contributor_frame,center_frame,side,origin,reference_frame_id,spatially_reviewed,center_inside_human_region
jiufu_7cb985938d0a6a_first30,p4,3,4,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p4,4,4,left,temperature_interpolated,,False,
jiufu_7cb985938d0a6a_first30,p4,5,4,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p21,20,21,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p21,21,21,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p21,22,21,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p72,71,72,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p72,72,72,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p72,73,72,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p88,87,88,left,raw_direct,R3-02_t10,True,True
jiufu_7cb985938d0a6a_first30,p88,88,88,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p88,89,88,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p116,115,116,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p116,116,116,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p116,117,116,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p142,141,142,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p142,142,142,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p142,143,142,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p159,158,159,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p159,159,159,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p159,160,159,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p182,181,182,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p182,182,182,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p182,183,182,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p204,203,204,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p204,204,204,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p204,205,204,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p223,222,223,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p223,223,223,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p223,224,223,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p242,241,242,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p242,242,242,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p242,243,242,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p257,256,257,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p257,257,257,left,raw_direct,,False,
jiufu_7cb985938d0a6a_first30,p257,258,257,left,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p15,14,15,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p15,15,15,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p15,16,15,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p27,26,27,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p27,27,27,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p27,28,27,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p63,62,63,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p63,63,63,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p63,64,63,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p74,73,74,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p74,74,74,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p74,75,74,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p90,89,90,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p90,90,90,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p90,91,90,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p104,103,104,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p104,104,104,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p104,105,104,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p140,139,140,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p140,140,140,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p140,141,140,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p149,148,149,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p149,149,149,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p149,150,149,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p166,165,166,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p166,166,166,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p166,167,166,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p182,181,182,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p182,182,182,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p182,183,182,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p195,194,195,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p195,195,195,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p195,196,195,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p211,210,211,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p211,211,211,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p211,212,211,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p234,233,234,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p234,234,234,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p234,235,234,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p257,256,257,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p257,257,257,right,raw_direct,,False,
jiufu_0d1522aef374ec_first30,p257,258,257,right,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p20,19,20,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p20,20,20,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p20,21,20,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p35,34,35,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p35,35,35,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p35,36,35,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p53,52,53,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p53,53,53,left,temperature_interpolated,,False,
jiufu_440a29cebcae1c_first30,p53,54,53,left,temperature_interpolated,,False,
jiufu_440a29cebcae1c_first30,p128,127,128,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p128,128,128,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p128,129,128,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p157,156,157,left,temperature_interpolated,,False,
jiufu_440a29cebcae1c_first30,p157,157,157,left,temperature_interpolated,,False,
jiufu_440a29cebcae1c_first30,p157,158,157,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p173,172,173,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p173,173,173,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p173,174,173,left,raw_direct,R3-09_t20,True,False
jiufu_440a29cebcae1c_first30,p188,187,188,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p188,188,188,left,raw_inferred,,False,
jiufu_440a29cebcae1c_first30,p188,189,188,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p193,192,193,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p193,193,193,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p193,194,193,left,temperature_interpolated,,False,
jiufu_440a29cebcae1c_first30,p208,207,208,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p208,208,208,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p208,209,208,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p219,218,219,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p219,219,219,left,raw_inferred,,False,
jiufu_440a29cebcae1c_first30,p219,220,219,left,raw_direct,,False,
jiufu_440a29cebcae1c_first30,p239,238,239,left,raw_inferred,,False,
