window_id,review_id,event_id,reference_seconds,phase_basis,strict_visible_phase,prediction_event_id,matching_status,classification
jiufu_bb78a10aeab6d5_first30,R3-01,a1a38e48-a3e7-46af-9fda-23fe358e94d8,1.057,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,f51b81b8-ee46-46c1-a1b8-42d381ee050e,2.392,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,f7cd228b-8cec-4b62-8d24-207c353ed0bd,3.762,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,5aab7c59-9d0b-46e7-a1e2-f8989c4adf66,7.058,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,66667ef8-bcda-4787-9df9-3dc05f9cf873,11.075,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,887e9f81-ee6c-4c56-b04d-ce774e046586,13.298,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,630f7727-4300-47ea-a310-cbc56538e7f4,15.493,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,8ee7db32-8df6-4ff3-a72b-ae97891fbc02,17.202,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,473a7805-84f1-4d08-a532-55ca9e4dbb9c,18.933,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,01b523c2-0528-4c0d-80f5-edc3e3ca997b,20.982,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,a6f5d58d-71e5-4b1e-9ee3-87b5bd64d93f,22.983,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,79ccafed-a152-497c-b24b-872da0fb5ca9,24.847,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,432afd6b-28e0-4d15-94cc-13bb76e4aadf,26.357,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,4dac8326-154e-4bac-84f1-7a87fb472cfb,28.063,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,70e98bb5-5b3d-4f7b-a181-dce9785a4c0d,29.412,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_bb78a10aeab6d5_first30,R3-01,02635026-3620-4550-9e64-ca58f7bff52e,29.972,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_7cb985938d0a6a_first30,R3-02,c122f8ca-ce53-4cc5-a574-f9bb73550d79,0.463,visible_expiration,True,p4,TP,no_observed_ROI_sample
jiufu_7cb985938d0a6a_first30,R3-02,691ffb59-98ec-4870-8d47-0de8256f0ffa,2.393,visible_expiration,True,p21,TP,maximum_only
jiufu_7cb985938d0a6a_first30,R3-02,22a8ae49-841b-4140-9af5-616d02269582,6.042,visible_expiration,True,,FN,both_extrema_nearby
jiufu_7cb985938d0a6a_first30,R3-02,752782c0-cab6-4e0c-a8fe-ab461172a372,7.982,visible_expiration,True,p72,TP,maximum_only
jiufu_7cb985938d0a6a_first30,R3-02,a09c4cab-f656-41e6-a5a4-9c5fb02ebc74,9.915,visible_expiration,True,p88,TP,maximum_only
jiufu_7cb985938d0a6a_first30,R3-02,4b1d015f-0eee-4778-970a-0c06448b1c84,11.972,visible_expiration,True,,FN,no_extremum_within_tolerance
jiufu_7cb985938d0a6a_first30,R3-02,339d1027-5c13-4539-943d-3097beed242e,15.725,visible_expiration,True,,FN,no_extremum_within_tolerance
jiufu_7cb985938d0a6a_first30,R3-02,4c84c598-59a0-470d-96cc-8c2c7f9f6b53,17.687,visible_expiration,True,,FN,no_extremum_within_tolerance
jiufu_7cb985938d0a6a_first30,R3-02,d44427b2-7ceb-475c-9847-ac5a06befb1d,20.282,visible_expiration,True,,FN,no_extremum_within_tolerance
jiufu_7cb985938d0a6a_first30,R3-02,cda7bd1c-2efe-42ae-b814-727b0217f9a1,23.022,visible_expiration,True,,FN,no_extremum_within_tolerance
jiufu_7cb985938d0a6a_first30,R3-02,c15ccea0-6342-410e-873e-de878200e1b2,25.523,visible_expiration,True,p223,TP,no_extremum_within_tolerance
jiufu_7cb985938d0a6a_first30,R3-02,a7c8a2ed-23eb-4e10-baf2-2f0e3411c539,27.315,visible_expiration,True,,FN,maximum_only
jiufu_7cb985938d0a6a_first30,R3-02,b3b6f137-1568-407c-9b73-07c3f3de1b44,29.058,visible_expiration,True,,FN,maximum_only
jiufu_2aaced556ff39d_first30,R3-03,9bfa3ab7-c3e1-48fd-b185-7b9fbf8f6981,2.243,visible_expiration,True,,FN,no_extremum_within_tolerance
jiufu_2aaced556ff39d_first30,R3-03,ebd600ce-7158-48dd-afbd-66fab0b3e4ba,7.348,visible_expiration,True,,FN,maximum_only
jiufu_2aaced556ff39d_first30,R3-03,47a6325a-a462-4be5-b849-bbab570dc132,14.127,visible_expiration,True,,FN,no_extremum_within_tolerance
jiufu_2aaced556ff39d_first30,R3-03,d3093677-46ea-4225-9fbb-93f9177190e0,15.898,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_2aaced556ff39d_first30,R3-03,4b36944b-d0ce-430f-8a72-4913b7b51099,19.943,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_2aaced556ff39d_first30,R3-03,5e3b9eee-ba8e-4a56-b3a5-3764acf4b326,23.922,visible_expiration,True,,FN,maximum_only
jiufu_2aaced556ff39d_first30,R3-03,7f4dd91d-913d-459e-b8aa-f73bd253c518,26.033,visible_expiration,True,,FN,no_observed_ROI_sample
jiufu_2aaced556ff39d_first30,R3-03,956ce040-e899-4ae6-860f-ba8053b00dad,27.78,visible_expiration,True,,FN,no_extremum_within_tolerance
jiufu_2aaced556ff39d_first30,R3-03,94dd5183-85e3-433a-8069-2833c17d269f,29.678,visible_expiration,True,,FN,no_extremum_within_tolerance
jiufu_0d1522aef374ec_first30,R3-05,e4517388-45a6-401f-ba51-457a0436096e,1.238,visible_expiration,True,,FN,no_extremum_within_tolerance
jiufu_0d1522aef374ec_first30,R3-05,18ba1a1d-6029-44fa-a291-a2444a1f02e4,2.942,visible_expiration,True,p27,TP,maximum_only
jiufu_0d1522aef374ec_first30,R3-05,42f0cd75-f99b-4fe4-a4ad-d1e6bb7a1bf3,4.427,visible_expiration,True,,FN,no_extremum_within_tolerance
jiufu_0d1522aef374ec_first30,R3-05,678c6d42-c2fe-47e2-b226-a30fd746ccfa,7.172,visible_expiration,True,p63,TP,maximum_only
