window_id,review_id,prediction_event_id,peak_seconds,selected_mode,temporal_match,reference_event_id,reference_seconds,phase_basis,time_error_seconds,strict_visible_phase,contributor_count,all_contributors_direct,any_temperature_interpolated,any_same_image_anatomical_review,all_contributors_have_correct_anatomical_reference,raw_direct_contributors,raw_inferred_contributors,temperature_interpolated_contributors,modified_temperature_contributors,fused_interpolated_contributors
jiufu_7cb985938d0a6a_first30,R3-02,p4,0.4597701149425288,left,TP,c122f8ca-ce53-4cc5-a574-f9bb73550d79,0.463,visible_expiration,0.003229885057471238,True,3,False,True,False,False,2,0,1,0,0
jiufu_7cb985938d0a6a_first30,R3-02,p21,2.413793103448276,left,TP,691ffb59-98ec-4870-8d47-0de8256f0ffa,2.393,visible_expiration,0.020793103448276007,True,3,True,False,False,False,3,0,0,0,0
jiufu_7cb985938d0a6a_first30,R3-02,p72,8.275862068965518,left,TP,752782c0-cab6-4e0c-a8fe-ab461172a372,7.982,visible_expiration,0.2938620689655176,True,3,True,False,False,False,3,0,0,0,0
jiufu_7cb985938d0a6a_first30,R3-02,p88,10.114942528735632,left,TP,a09c4cab-f656-41e6-a5a4-9c5fb02ebc74,9.915,visible_expiration,0.19994252873563312,True,3,True,False,True,False,3,0,0,0,0
jiufu_7cb985938d0a6a_first30,R3-02,p116,13.333333333333334,left,FP,,,,,True,3,True,False,False,False,3,0,0,0,0
jiufu_7cb985938d0a6a_first30,R3-02,p142,16.32183908045977,left,FP,,,,,True,3,True,False,False,False,3,0,0,0,0
jiufu_7cb985938d0a6a_first30,R3-02,p159,18.27586206896552,left,FP,,,,,True,3,True,False,False,False,3,0,0,0,0
jiufu_7cb985938d0a6a_first30,R3-02,p182,20.919540229885055,left,FP,,,,,True,3,True,False,False,False,3,0,0,0,0
jiufu_7cb985938d0a6a_first30,R3-02,p204,23.448275862068968,left,FP,,,,,True,3,True,False,False,False,3,0,0,0,0
jiufu_7cb985938d0a6a_first30,R3-02,p223,25.632183908045977,left,TP,c15ccea0-6342-410e-873e-de878200e1b2,25.523,visible_expiration,0.10918390804597777,True,3,True,False,False,False,3,0,0,0,0
jiufu_7cb985938d0a6a_first30,R3-02,p242,27.81609195402299,left,FP,,,,,True,3,True,False,False,False,3,0,0,0,0
