case_type,window_id,event_id
matched_direct,jiufu_7cb985938d0a6a_first30,p21
unmatched_direct,jiufu_7cb985938d0a6a_first30,p116
matched_with_interpolation,jiufu_7cb985938d0a6a_first30,p4
