reference,method,event_windows,count_pairs,rr_r2,rr_mae,tp,fp,fn,precision,recall,f1
R2,frozen,216,173,0.4196293950907666,5.15606936416185,1324,1028,1706,0.5629251700680272,0.43696369636963694,0.4920104050538833
R2,direct_roi_only,216,173,0.32072728826166497,5.76878612716763,1282,945,1748,0.5756623259991019,0.4231023102310231,0.48773064485447976
R3,frozen,11,7,0.34615384615384615,2.5714285714285716,41,42,102,0.4939759036144578,0.2867132867132867,0.36283185840707965
R3,direct_roi_only,11,7,0.2692307692307693,2.5714285714285716,45,36,98,0.5555555555555556,0.3146853146853147,0.4017857142857143
