reference,method,window_id,cluster,tp,fp,fn,precision,recall,f1
R2,direct_roi_only,jiufu_3ac83315834f77_first30,713,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285
R2,frozen,jiufu_c68c62cb67dede_first30,623,3,10,7,0.23076923076923078,0.3,0.2608695652173913
R2,direct_roi_only,jiufu_c68c62cb67dede_first30,623,5,7,5,0.4166666666666667,0.5,0.45454545454545453
R2,frozen,jiufu_3721f7cf5a844c_first30,653,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
R2,direct_roi_only,jiufu_3721f7cf5a844c_first30,653,4,1,2,0.8,0.6666666666666666,0.7272727272727273
R2,frozen,jiufu_65b745e540b8c7_first30,281,7,5,4,0.5833333333333334,0.6363636363636364,0.6086956521739131
R2,direct_roi_only,jiufu_65b745e540b8c7_first30,281,7,5,4,0.5833333333333334,0.6363636363636364,0.6086956521739131
R2,frozen,jiufu_2e919f7b4ce7d4_first30,353,0,0,18,0.0,0.0,0.0
R2,direct_roi_only,jiufu_2e919f7b4ce7d4_first30,353,1,0,17,1.0,0.05555555555555555,0.10526315789473684
R2,frozen,jiufu_f7266533e3399d_first30,558,15,2,2,0.8823529411764706,0.8823529411764706,0.8823529411764706
R2,direct_roi_only,jiufu_f7266533e3399d_first30,558,15,2,2,0.8823529411764706,0.8823529411764706,0.8823529411764706
R2,frozen,jiufu_943fc8675c704c_first30,347,0,0,9,0.0,0.0,0.0
R2,direct_roi_only,jiufu_943fc8675c704c_first30,347,0,0,9,0.0,0.0,0.0
R2,frozen,jiufu_bd77cfa7950eaa_first30,743,7,8,8,0.4666666666666667,0.4666666666666667,0.4666666666666667
R2,direct_roi_only,jiufu_bd77cfa7950eaa_first30,743,8,8,7,0.5,0.5333333333333333,0.5161290322580645
R2,frozen,jiufu_2aaced556ff39d_first30,957,0,0,8,0.0,0.0,0.0
R2,direct_roi_only,jiufu_2aaced556ff39d_first30,957,0,0,8,0.0,0.0,0.0
R2,frozen,jiufu_90ed4ac916a295_first30,179,2,2,20,0.5,0.09090909090909091,0.15384615384615385
R2,direct_roi_only,jiufu_90ed4ac916a295_first30,179,3,2,19,0.6,0.13636363636363635,0.2222222222222222
R2,frozen,jiufu_cd5eea76388f30_first30,728,6,5,8,0.5454545454545454,0.42857142857142855,0.48
R2,direct_roi_only,jiufu_cd5eea76388f30_first30,728,3,4,11,0.42857142857142855,0.21428571428571427,0.2857142857142857
R2,frozen,jiufu_6cbcb0311b3ebf_first30,956,7,10,7,0.4117647058823529,0.5,0.45161290322580644
R2,direct_roi_only,jiufu_6cbcb0311b3ebf_first30,956,7,9,7,0.4375,0.5,0.4666666666666667
R2,frozen,jiufu_4f7144680fca9d_first30,583,0,0,18,0.0,0.0,0.0
R2,direct_roi_only,jiufu_4f7144680fca9d_first30,583,0,0,18,0.0,0.0,0.0
R2,frozen,jiufu_6a641dd078f572_first30,753,10,7,10,0.5882352941176471,0.5,0.5405405405405406
R2,direct_roi_only,jiufu_6a641dd078f572_first30,753,10,6,10,0.625,0.5,0.5555555555555556
